ScenarioName,Rln,CargoId,Location,FromLocation,ToLocation,Ccc,Mode,ClosureTimePeriod,Rdd,CloseDay,Cargo,Pax,Pol,AirStons,Bulk,Over,Out,AirPax,SeaStons,Area,Vol,Cntr,SeaPax,SeaPol
metadata-scenario,1:0EBQC,1:0EBQC.A2D0006,HPBF,HNTS,HPBF,A2D,ROAD,On Time,32,32,88.99999618530273,0,0.0,0.0,0.0,0.0,0.0,0,88.99999618530273,88.99999618530273,0.0,0.0,0,0.0
metadata-scenario,1:03AUP,1:03AUP.PAX,JEAH,JEAH,JEAH,PAX,NONE,Early,34,33,0.0,514,0.0,0.0,0.0,0.0,0.0,514,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:WP00025,1:WP00025.PAX,WSVC,FUQN,WSVC,PAX,ROAD,6 - 9 Days Late,38,45,0.0,28,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:00FK,1:00FK.J7C0002,WSVC,FUQN,WSVC,J7C,ROAD,1 - 2 Days Late,17,19,0.5,0,0.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R2D0006,NWXN,VKNP,NWXN,R2D,ROAD,6 - 9 Days Late,34,42,83.99999856948853,0,0.0,0.0,0.0,0.0,0.0,0,83.99999856948853,83.99999856948853,0.0,0.0,0,0.0
metadata-scenario,1:0YCCC,1:0YCCC.R2D0002,WSVC,HNTS,WSVC,R2D,ROAD,3 - 5 Days Late,37,42,13.999999761581421,0,0.0,0.0,0.0,0.0,0.0,0,13.999999761581421,13.999999761581421,0.0,0.0,0,0.0
metadata-scenario,1:0ZDC,1:0ZDC.R1D0001,BQWK,VKNP,BQWK,R1D,ROAD,3 - 5 Days Late,28,32,305.79998779296875,0,0.0,0.0,0.0,0.0,0.0,0,305.79998779296875,305.79998779296875,0.0,0.0,0,0.0
metadata-scenario,1:0YCAC,1:0YCAC.R1D0001,WSVC,HNTS,WSVC,R1D,ROAD,6 - 9 Days Late,37,43,177.7999906539917,0,0.0,0.0,0.0,0.0,0.0,0,177.7999906539917,177.7999906539917,0.0,0.0,0,0.0
metadata-scenario,1:0ZHCC,1:0ZHCC.A2D0002,NWXN,JEAH,NWXN,A2D,ROAD,10+ Days Late,34,45,12.899999618530273,0,0.0,0.0,0.0,0.0,0.0,0,12.899999618530273,12.899999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0DBCC,1:0DBCC.R2D0005,HPBF,HNTS,HPBF,R2D,ROAD,Early,30,29,6.199999809265137,0,0.0,0.0,0.0,0.0,0.0,0,6.199999809265137,6.199999809265137,0.0,0.0,0,0.0
