Dictionary,Field,Type,Repeats,MPFD,Version,Area,DomainClass,Definition,Precision,LowValue,HiValue,MaxLength,UOM,DefaultValue,Required,GUI Editor,Comments,GuiWidth,Edit,Filter,Search,Sort,Alter,DEX,DiffKey
automatedReports.csv,Name,STRING,,,0,,,,,,,,,,,,,,,,,,,,
automatedReports.csv,ExportName,STRING,,,0,,,,,,,,,,,,,,,,,,,,
automatedReports.csv,ExportFormat,STRING,,,0,,,,,,,,,,,,,,,,,,,,
dplan/cargoDefs.csv,Key,STRING,,,0,Requirements,ampdom.dplan.defaults.CargoDefault,Cargo Category Code,,,,3,,,,Cargo Defaults,,,,,,,,,y
dplan/cargoDefs.csv,StonsPerItem,STRING,,,0,Requirements,ampdom.dplan.defaults.CargoDefault,Factor for dividing L3 cargo into L4 items,1,0.1,,,stons,,,Cargo Defaults,,,,,,,,,
dplan/cargoDefs.csv,Width,STRING,,,0,Requirements,ampdom.dplan.defaults.CargoDefault,Width of defaulted L4 items,1,0,999,,inches,,,Cargo Defaults,,,,,,,,,
dplan/cargoDefs.csv,Height,STRING,,,0,Requirements,ampdom.dplan.defaults.CargoDefault,Height of defaulted L4 items,1,0,999,,inches,,,Cargo Defaults,,,,,,,,,
dplan/commodity/commodity.csv,COMMODITY_NUM,INT,,,1,Cargo,ampdom.commodity.Commodity,Unique Identifier for the commodity,,,,,,,,,,,,,,,,,y
dplan/commodity/commodity.csv,NAME,STRING,,,1,Cargo,ampdom.commodity.Commodity,Name describing the commodity,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,TYPE,STRING,,,1,Cargo,ampdom.commodity.Commodity,"Configuration type of the commodity (Breakbulk, roro, container, etc)",,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,AMOUNT_PER_VEHICLE,FLOAT,,,1,Cargo,ampdom.commodity.Commodity,Number of the commodity that can fit per vehicle,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,FT_PER_ST_RATIO,FLOAT,,,1,Cargo,ampdom.commodity.Commodity,square foot to ston ratio,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,AREA_STOW_FACTOR,FLOAT,,,1,Cargo,ampdom.commodity.Commodity,percent of the vehicle's sqft area allowed to be used to store this commodity,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,VOLUME_STOW_FACTOR,FLOAT,,,1,Cargo,ampdom.commodity.Commodity,percent of the vehicle's volume that is allowed to store this commodity,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,POUNDS_PER_PALLET,INT,,,1,Cargo,ampdom.commodity.Commodity,number of pounds per pallet when the commodity is converted to pallets,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,MT_PER_CONTAINER,FLOAT,,,1,Cargo,ampdom.commodity.Commodity,number of mtons per container when the commodity is converted to conts,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,HET,INT,,,1,Cargo,ampdom.commodity.Commodity,If RORO - does it require a HET transport to move it,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,FORTY_FOOT,INT,,,1,Cargo,ampdom.commodity.Commodity,indicates whether the commodity forms 40ft or 20ft containers,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,CHANGE_DATE,STRING,,,1,Cargo,ampdom.commodity.Commodity,date last changed,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,IS_HOT,INT,,,1,Cargo,ampdom.commodity.Commodity,flag that indicates if the cargo commodity should be handled as hot,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,PRIORITY,INT,,,1,Cargo,ampdom.commodity.Commodity,priority used to assign cargo commodities to details,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,DESCRIPTION,STRING,,,1,Cargo,ampdom.commodity.Commodity,description of the commodity.,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,MT_PER_PALLET,FLOAT,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodity.csv,CARRY_SECONDARY,INT,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRule.csv,COMMODITY_NUM,INT,,,1,Cargo,,Unique Identifier for the commodity,,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRule.csv,LEG,STRING,,,1,Cargo,,O / S / T (Origin Strat or Theater),,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRule.csv,NAME,STRING,,,1,Cargo,,Name of the commodity,,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRuleStatement.csv,COMMODITY_NUM,INT,,,1,Cargo,,Unique Identifier for the commodity,,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRuleStatement.csv,VALUE_METHOD_CLASS,STRING,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE_METHOD_ARG,STRING,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE_METHOD_ARG_TYPE,STRING,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE_METHOD_PARAM_1,STRING,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE_METHOD_PARAM_2,STRING,,,1,,,,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,LEG,STRING,,,1,Cargo,,O / S / T (Origin Strat or Theater),,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRuleStatement.csv,EXPRESSION_ID,INT,,,1,Cargo,,Unique identifier for the expression in this rule,,,,,,,,,,,,,,,,,y
dplan/commodity/commodityRuleStatement.csv,PARENT_EXPR_ID,INT,,,1,Cargo,,Identifier for a parent expression that this is linked with,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,NEGATE_FLAG,INT,,,1,Cargo,,0 or 1 where 1 denotes the expression is to be checked for negated.,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,LOGICAL_OPERATOR,STRING,,,1,Cargo,,"Blank, ||, or && to build complex expressions",,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,DBKEY,STRING,,,1,Cargo,,Blank or the name of the field that is to be compared,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,KEY,STRING,,,1,Cargo,,Blank or the code of the field that is to be compared,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,OPERATOR,STRING,,,1,Cargo,,The logical operator to be applied to the field,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE_TYPE,STRING,,,1,Cargo,,The type of field of the value to be compared,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,VALUE,STRING,,,1,Cargo,,The value the field is to be compared against,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,USER_ARG_TYPE,STRING,,,1,Cargo,,Type of additional parameter required in query,,,,,,,,,,,,,,,,,
dplan/commodity/commodityRuleStatement.csv,USER_ARG_VALUE,STRING,,,1,Cargo,,Value of additional parameter required in query,,,,,,,,,,,,,,,,,
