COMMODITY_NUM,NAME,TYPE,AMOUNT_PER_VEHICLE,FT_PER_ST_RATIO,AREA_STOW_FACTOR,VOLUME_STOW_FACTOR,POUNDS_PER_PALLET,MT_PER_CONTAINER,HET,FORTY_FOOT,CHANGE_DATE,IS_HOT,PRIORITY,DESCRIPTION,MT_PER_PALLET,CARRY_SECONDARY
20,FortyFootContainer,c,20.0,10.0,75.0,90.0,2000,18.0,0,1,Aug 07 2013,0,1,,9.1,0
19,TwentyFootContainer,c,10.0,10.0,75.0,90.0,2000,18.0,0,0,Aug 07 2013,0,2,,9.1,0
18,SecondaryCargo,a,5.0,0.0,100.0,90.0,2000,18.0,0,0,Aug 06 2013,0,3,,9.1,0
16,NSDA,r,25.0,25.0,50.0,90.0,2000,18.0,0,0,Feb 05 2010,0,4,,9.1,0
15,PAX,x,45.0,0.0,100.0,90.0,2000,18.0,0,0,Feb 05 2010,0,5,,9.1,0
1,Large Wheels,r,15.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,6,,9.1,0
2,Medium Wheels,r,12.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,7,,9.1,0
3,Small Wheels,r,10.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,8,,9.1,0
4,Large Tracks,r,20.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,9,,9.1,0
5,Medium Tracks,r,12.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,10,,9.1,0
6,Small Tracks,r,10.0,20.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,11,,9.1,0
13,Palletized UE,b,2.0,10.0,75.0,90.0,0,0.0,0,0,Feb 05 2010,0,12,,9.1,0
12,TEU UE,b,10.0,10.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,13,,9.1,0
11,FEU Resupply,b,20.0,10.0,75.0,90.0,2000,18.0,0,1,Feb 05 2010,0,14,,9.1,0
10,TEU Resupply,b,10.0,10.0,75.0,90.0,2000,18.0,0,0,Feb 05 2010,0,15,,9.1,0
9,Bulk Resupply,b,2.0,10.0,75.0,90.0,0,0.0,0,0,Feb 05 2010,0,16,,9.1,0
8,Bulk Ammo,b,5.0,10.0,75.0,90.0,0,0.0,0,0,Feb 05 2010,1,17,,9.1,0
14,POL,p,12.0,0.0,100.0,90.0,2000,18.0,0,0,Feb 05 2010,0,18,,9.1,0
7,Cont Ammo,b,12.0,10.0,100.0,90.0,2000,18.0,0,0,Feb 05 2010,1,19,,9.1,0
17,Catch All,b,12.0,20.0,75.0,90.0,0,0.0,0,0,Feb 05 2010,0,20,,9.1,0
