COMMODITY_NUM,LEG,EXPRESSION_ID,PARENT_EXPR_ID,NEGATE_FLAG,LOGICAL_OPERATOR,DBKEY,KEY,OPERATOR,VALUE_TYPE,VALUE,VALUE_METHOD_CLASS,VALUE_METHOD_ARG,VALUE_METHOD_ARG_TYPE,VALUE_METHOD_PARAM_1,VALUE_METHOD_PARAM_2,USER_ARG_TYPE,USER_ARG_VALUE,IGNORE_CASE
1,T,0,-1,0,,,,,,,,,,,,,,0
1,T,1,0,0,,,,,,,,,,,,,,0
1,T,2,1,0,,,CCC1,=,java.lang.String,K,,,,,,,,0
1,T,3,1,0,||,,CCC1,=,java.lang.String,L,,,,,,,,0
1,T,4,1,0,||,,CCC1,=,java.lang.String,R,,,,,,,,0
1,T,5,0,0,&&,,,,,,,,,,,,,0
1,T,6,5,0,&&,,CCC2,=,java.lang.String,0,,,,,,,,0
1,T,7,5,0,||,,CCC2,=,java.lang.String,1,,,,,,,,0
1,T,8,5,0,||,,CCC2,=,java.lang.String,4,,,,,,,,0
1,T,9,5,0,||,,CCC2,=,java.lang.String,5,,,,,,,,0
1,T,10,5,0,||,,CCC2,=,java.lang.String,A,,,,,,,,0
1,T,11,5,0,||,,CCC2,=,java.lang.String,B,,,,,,,,0
1,T,12,-1,0,,,Commodity,,ampdom.commodity.Commodity,1,,,,,,,,0
2,T,0,-1,0,,,,,,,,,,,,,,0
2,T,1,0,0,,,,,,,,,,,,,,0
2,T,2,1,0,,,CCC1,=,java.lang.String,K,,,,,,,,0
2,T,3,1,0,||,,CCC1,=,java.lang.String,L,,,,,,,,0
2,T,4,1,0,||,,CCC1,=,java.lang.String,R,,,,,,,,0
2,T,5,0,0,&&,,,,,,,,,,,,,0
2,T,6,5,0,&&,,CCC2,=,java.lang.String,2,,,,,,,,0
2,T,7,5,0,||,,CCC2,=,java.lang.String,3,,,,,,,,0
2,T,8,5,0,||,,CCC2,=,java.lang.String,6,,,,,,,,0
2,T,9,5,0,||,,CCC2,=,java.lang.String,7,,,,,,,,0
2,T,10,5,0,||,,CCC2,=,java.lang.String,C,,,,,,,,0
2,T,11,5,0,||,,CCC2,=,java.lang.String,D,,,,,,,,0
2,T,12,0,0,&&,,Weight,>=,java.lang.Double,12.0,,,,,,,,0
2,T,13,-1,0,,,Commodity,,ampdom.commodity.Commodity,2,,,,,,,,0
3,T,0,-1,0,,,,,,,,,,,,,,0
3,T,1,0,0,,,,,,,,,,,,,,0
3,T,2,1,0,,,CCC1,=,java.lang.String,K,,,,,,,,0
3,T,3,1,0,||,,CCC1,=,java.lang.String,L,,,,,,,,0
3,T,4,1,0,||,,CCC1,=,java.lang.String,R,,,,,,,,0
3,T,5,0,0,&&,,,,,,,,,,,,,0
3,T,6,5,0,&&,,CCC2,=,java.lang.String,2,,,,,,,,0
3,T,7,5,0,||,,CCC2,=,java.lang.String,3,,,,,,,,0
3,T,8,5,0,||,,CCC2,=,java.lang.String,6,,,,,,,,0
3,T,9,5,0,||,,CCC2,=,java.lang.String,7,,,,,,,,0
3,T,10,5,0,||,,CCC2,=,java.lang.String,C,,,,,,,,0
3,T,11,5,0,||,,CCC2,=,java.lang.String,D,,,,,,,,0
3,T,12,0,0,&&,,Weight,<,java.lang.Double,12.0,,,,,,,,0
3,T,13,-1,0,,,Commodity,,ampdom.commodity.Commodity,3,,,,,,,,0
4,T,0,-1,0,,,,,,,,,,,,,,0
4,T,1,0,0,,,CCC1,=,java.lang.String,A,,,,,,,,0
4,T,2,0,0,&&,,,,,,,,,,,,,0
4,T,3,2,0,&&,,CCC2,=,java.lang.String,0,,,,,,,,0
4,T,4,2,0,||,,CCC2,=,java.lang.String,1,,,,,,,,0
4,T,5,2,0,||,,CCC2,=,java.lang.String,4,,,,,,,,0
4,T,6,2,0,||,,CCC2,=,java.lang.String,5,,,,,,,,0
4,T,7,2,0,||,,CCC2,=,java.lang.String,A,,,,,,,,0
4,T,8,2,0,||,,CCC2,=,java.lang.String,B,,,,,,,,0
4,T,9,-1,0,,,Commodity,,ampdom.commodity.Commodity,4,,,,,,,,0
5,T,0,-1,0,,,,,,,,,,,,,,0
5,T,1,0,0,,,CCC1,=,java.lang.String,A,,,,,,,,0
5,T,2,0,0,&&,,,,,,,,,,,,,0
5,T,3,2,0,&&,,CCC2,=,java.lang.String,2,,,,,,,,0
5,T,4,2,0,||,,CCC2,=,java.lang.String,3,,,,,,,,0
5,T,5,2,0,||,,CCC2,=,java.lang.String,6,,,,,,,,0
5,T,6,2,0,||,,CCC2,=,java.lang.String,7,,,,,,,,0
5,T,7,2,0,||,,CCC2,=,java.lang.String,C,,,,,,,,0
5,T,8,2,0,||,,CCC2,=,java.lang.String,D,,,,,,,,0
5,T,9,0,0,&&,,Weight,>=,java.lang.Double,12.0,,,,,,,,0
