RLN,Category,Mtons,Stons
00DDA,BLK,0,0
00DDA,NAT,0,0
00DDA,OUT,60,19.1
00DDA,OVR,0,0
00DDC,BLK,49,17.6
00DDC,NAT,0,0
00DDC,OUT,60,19.1
00DDC,OVR,747,166.300003
00DDP,BLK,0,0
00DDP,NAT,0,0
00DDP,OUT,0,0
00DDP,OVR,0,0
00DEA,BLK,0,0
00DEA,NAT,0,0
00DEA,OUT,0,0
00DEA,OVR,0,0
00DEC,BLK,64,25.799999
00DEC,NAT,0,0
00DEC,OUT,121,15.4
00DEC,OVR,1163,216.600006
00FB,BLK,132,47.299999
00FB,NAT,0,0
00FB,OUT,0,0
00FB,OVR,149,18.9
00FC,BLK,83,32.200001
00FC,NAT,0,0
00FC,OUT,0,0
00FC,OVR,22,2.7
00FD,BLK,1,0.9
00FD,NAT,0,0
00FD,OUT,0,0
00FD,OVR,1141,241
00FDA,BLK,0,0
00FDA,NAT,0,0
00FDA,OUT,0,0
00FDA,OVR,0,0
00FE,BLK,42,15.3
00FE,NAT,0,0
00FE,OUT,0,0
00FE,OVR,222,30.9
00FF,BLK,0,0
00FF,NAT,0,0
00FF,OUT,0,0
00FF,OVR,0,0
00FG,BLK,330,128.199997
00FG,NAT,0,0
00FG,OUT,0,0
00FG,OVR,1059,157.699997
00FH,BLK,3,3.3
00FH,NAT,0,0
00FH,OUT,0,0
00FH,OVR,822,159.800003
00FJ,BLK,31,11.4
00FJ,NAT,0,0
00FJ,OUT,0,0
00FJ,OVR,796,150.100006
00FK,BLK,47,19.1
00FK,NAT,0,0
00FK,OUT,0,0
00FK,OVR,107,13.5
00FL,BLK,47,19.1
00FL,NAT,0,0
00FL,OUT,0,0
00FL,OVR,341,44.099998
00FQ,BLK,44,18.799999
00FQ,NAT,0,0
00FQ,OUT,0,0
00FQ,OVR,43,5.4
00FR,BLK,44,18.799999
00FR,NAT,0,0
00FR,OUT,0,0
00FR,OVR,65,8.1
00FS,BLK,1,0.1
00FS,NAT,0,0
00FS,OUT,0,0
00FS,OVR,0,0
00FTC,BLK,93,34.099998
00FTC,NAT,0,0
00FTC,OUT,0,0
00FTC,OVR,86,10.8
00FTP,BLK,0,0
00FTP,NAT,0,0
00FTP,OUT,0,0
00FTP,OVR,0,0
00FV,BLK,41,16.4
00FV,NAT,0,0
00FV,OUT,0,0
00FV,OVR,563,210.800003
00FVA,BLK,0,0
00FVA,NAT,0,0
00FVA,OUT,0,0
00FVA,OVR,0,0
00GB,BLK,48,19.4
00GB,NAT,0,0
00GB,OUT,0,0
00GB,OVR,0,0
00GC,BLK,48,19.4
00GC,NAT,0,0
00GC,OUT,0,0
00GC,OVR,65,8.1
00GDC,BLK,0,0
00GDC,NAT,0,0
00GDC,OUT,60,19.1
00GDC,OVR,0,0
00GDP,BLK,0,0
00GDP,NAT,0,0
00GDP,OUT,0,0
00GDP,OVR,0,0
00GE,BLK,24,9.8
00GE,NAT,0,0
00GE,OUT,0,0
00GE,OVR,41,11.6
00GF,BLK,31,11.6
00GF,NAT,0,0
00GF,OUT,0,0
00GF,OVR,349,91.300003
00GFA,BLK,0,0
00GFA,NAT,0,0
00GFA,OUT,0,0
00GFA,OVR,0,0
00GG,BLK,29,11.4
00GG,NAT,0,0
00GG,OUT,0,0
00GG,OVR,86,10.8
00GH,BLK,29,11.4
00GH,NAT,0,0
00GH,OUT,0,0
00GH,OVR,387,58
00GHA,BLK,0,0
00GHA,NAT,0,0
00GHA,OUT,0,0
00GHA,OVR,0,0
00HB,BLK,132,47.299999
00HB,NAT,0,0
00HB,OUT,0,0
00HB,OVR,149,18.9
00HC,BLK,42,15.3
00HC,NAT,0,0
00HC,OUT,0,0
00HC,OVR,222,30.9
00HDC,BLK,330,128.199997
00HDC,NAT,0,0
00HDC,OUT,0,0
00HDC,OVR,1059,157.699997
00HDP,BLK,0,0
00HDP,NAT,0,0
00HDP,OUT,0,0
00HDP,OVR,0,0
00HE,BLK,3,3.3
00HE,NAT,0,0
00HE,OUT,0,0
00HE,OVR,822,159.800003
00HF,BLK,31,11.4
00HF,NAT,0,0
00HF,OUT,0,0
00HF,OVR,796,150.100006
00HG,BLK,47,19.1
00HG,NAT,0,0
00HG,OUT,0,0
00HG,OVR,107,13.5
00HK,BLK,44,18.799999
00HK,NAT,0,0
00HK,OUT,0,0
00HK,OVR,43,5.4
00HL,BLK,44,18.799999
00HL,NAT,0,0
00HL,OUT,0,0
00HL,OVR,65,8.1
00JC,BLK,44,22.1
00JC,NAT,0,0
00JC,OUT,0,0
00JC,OVR,548,232.399994
00JCC,BLK,0,0
00JCC,NAT,0,0
00JCC,OUT,60,19.1
00JCC,OVR,0,0
00JCP,BLK,0,0
00JCP,NAT,0,0
00JCP,OUT,0,0
00JCP,OVR,0,0
00JD,BLK,33,13.5
00JD,NAT,0,0
00JD,OUT,109,24.4
00JD,OVR,278,24.5
00JDA,BLK,0,0
00JDA,NAT,0,0
00JDA,OUT,0,0
00JDA,OVR,0,0
00JE,BLK,24,9.8
00JE,NAT,0,0
00JE,OUT,0,0
00JE,OVR,41,11.6
00JFA,BLK,0,0
00JFA,NAT,0,0
00JFA,OUT,0,0
00JFA,OVR,0,0
03AEC,BLK,375.5,144
03AEC,OUT,3660.199951,1687
03AEC,OVR,6457.400391,2413.899902
03AEP,BLK,0,0
03AEP,NAT,0,0
03AEP,OUT,0,0
03AEP,OVR,0,0
03AFC,BLK,375.5,144
03AFC,OUT,3660.199951,1687
03AFC,OVR,6457.400391,2413.899902
03AFP,BLK,0,0
03AFP,NAT,0,0
03AFP,OUT,0,0
03AFP,OVR,0,0
03AGC,BLK,423.899994,175.199997
03AGC,OUT,6204.200195,4807.299805
03AGC,OVR,4324.100098,1433.400024
03AGP,BLK,0,0
03AGP,NAT,0,0
03AGP,OUT,0,0
03AGP,OVR,0,0
03AJC,BLK,423.899994,175.199997
03AJC,OUT,6204.200195,4807.299805
03AJC,OVR,4324.100098,1433.400024
03AJP,BLK,0,0
03AJP,NAT,0,0
03AJP,OUT,0,0
03AJP,OVR,0,0
03AKC,BLK,423.899994,175.199997
03AKC,OUT,6204.200195,4807.299805
03AKC,OVR,4324.100098,1433.400024
03AKP,BLK,0,0
03AKP,NAT,0,0
03AKP,OUT,0,0
03AKP,OVR,0,0
03AUC,BLK,423.899994,175.199997
03AUC,OUT,6204.200195,4807.299805
03AUC,OVR,4324.100098,1433.400024
03AUP,BLK,0,0
03AUP,NAT,0,0
03AUP,OUT,0,0
03AUP,OVR,0,0
04DDC,BLK,80.300003,30.4
04DDC,OUT,2984.699951,599.900024
04DDC,OVR,7867.5,1222.699951
04DDP,BLK,0,0
04DDP,NAT,0,0
04DDP,OUT,0,0
04DDP,OVR,0,0
0DAAC,BLK,43,16.9
0DAAC,OUT,150,49.700001
0DAAC,OVR,387.799988,80.099998
0DAAP,BLK,0,0
0DAAP,NAT,0,0
0DAAP,OUT,0,0
0DAAP,OVR,0,0
0DBBC,BLK,47,18.6
0DBBC,OUT,280.399994,92.599998
0DBBC,OVR,486.400024,93.699997
0DBBP,BLK,0,0
0DBBP,NAT,0,0
0DBBP,OUT,0,0
0DBBP,OVR,0,0
0DBCC,BLK,47,18.6
0DBCC,OUT,280.399994,92.599998
0DBCC,OVR,486.400024,93.699997
0DBCP,BLK,0,0
0DBCP,NAT,0,0
0DBCP,OUT,0,0
0DBCP,OVR,0,0
0DBDC,BLK,63.200001,25
0DBDC,OUT,233,70.099998
0DBDC,OVR,524.700012,142.800003
0DBDP,BLK,0,0
0DBDP,NAT,0,0
0DBDP,OUT,0,0
0DBDP,OVR,0,0
0EBFC,BLK,85,32.099998
0EBFC,NAT,0,0
0EBFC,OUT,274,78.099998
0EBFC,OVR,1764,409.100006
0EBFP,BLK,0,0
0EBFP,NAT,0,0
0EBFP,OUT,0,0
0EBFP,OVR,0,0
0EBQC,BLK,394.299988,147.600006
0EBQC,OUT,611.699951,156.699997
0EBQC,OVR,7543.800293,2182.899902
0EBQP,BLK,0,0
0EBQP,NAT,0,0
0EBQP,OUT,0,0
0EBQP,OVR,0,0
0EBRC,BLK,394.299988,147.600006
0EBRC,OUT,611.699951,156.699997
0EBRC,OVR,7543.800293,2182.899902
0EBRP,BLK,0,0
0EBRP,NAT,0,0
0EBRP,OUT,0,0
0EBRP,OVR,0,0
0EGBC,BLK,169.699997,36.700001
0EGBC,OUT,2160.599854,604.799988
0EGBC,OVR,3271.599854,893.400024
0EGBP,BLK,0,0
0EGBP,NAT,0,0
0EGBP,OUT,0,0
0EGBP,OVR,0,0
0HBGC,BLK,73.300003,29
0HBGC,NAT,10308.600586,1186.199951
0HBGC,OUT,77.5,29.9
0HBGC,OVR,236.099976,42.700001
0HBGP,BLK,0,0
