RLN,CCC,Mtons,Stons,Sqft
00FB,A2D,149,18.9,742
00FB,J3C,24,3.6,72
00FB,J7C,107,42.799999,856
00FB,M7C,1,0.9,1
00FC,A2D,22,2.7,106
00FC,J3C,5,0.4,8
00FC,J7C,77,30.9,618
00FC,M7C,1,0.9,1
00FD,A2D,104,45.200001,515
00FD,M7C,1,0.9,1
00FD,R2B,338,71.199997,2974
00FD,R2D,699,124.599998,3712
00FE,A2D,222,30.9,1131
00FE,J3C,4,0.2,4
00FE,J7C,37,14.7,294
00FE,M7C,1,0.4,1
00FG,A2D,1059,157.699997,5477
00FG,A3D,11,1.5,105
00FG,J3C,28,8.1,162
00FG,J7C,288,115.300003,2306
00FG,M7C,3,3.3,1
00FH,A2D,822,159.800003,4858
00FH,M7C,3,3.3,1
00FJ,A2D,796,150.100006,4660
00FJ,J3C,28,8.1,162
00FJ,M7C,3,3.3,1
00FK,A2D,107,13.5,530
00FK,J7C,46,18.5,370
00FK,M7C,1,0.6,1
00FL,A2D,341,44.099998,1940
00FL,J7C,46,18.5,370
00FL,M7C,1,0.6,1
00FQ,A2D,43,5.4,212
00FQ,J7C,41,16.200001,324
00FQ,M7C,3,2.6,1
00FR,A2D,65,8.1,318
00FR,J7C,41,16.200001,324
00FR,M7C,3,2.6,1
00FS,J3C,1,0.1,2
00FV,A2D,563,210.800003,3160
00FV,J7C,40,15.9,318
00FV,M7C,1,0.5,1
00GB,J7C,47,18.700001,374
00GB,M7C,1,0.7,1
00GC,A2D,65,8.1,318
00GC,J7C,47,18.700001,374
00GC,M7C,1,0.7,1
00GE,A2D,41,11.6,273
00GE,J7C,23,9.3,186
00GE,M7C,1,0.5,1
00GF,A2D,349,91.300003,2042
00GF,A3D,7,1.8,60
00GF,J7C,23,9.3,186
00GF,M7C,1,0.5,1
00GG,A2D,86,10.8,424
00GG,J7C,28,11.2,224
00GG,M7C,1,0.2,1
00GH,A2D,387,58,2075
00GH,J7C,28,11.2,224
00GH,M7C,1,0.2,1
00HB,A2D,149,18.9,742
00HB,J3C,24,3.6,72
00HB,J7C,107,42.799999,856
00HB,M7C,1,0.9,1
00HC,A2D,222,30.9,1131
00HC,J3C,4,0.2,4
00HC,J7C,37,14.7,294
00HC,M7C,1,0.4,1
00HDC,A2D,1059,157.699997,5477
00HDC,A3D,11,1.5,105
00HDC,J3C,28,8.1,162
00HDC,J7C,288,115.300003,2306
00HDC,M7C,3,3.3,1
00HE,A2D,822,159.800003,4858
00HE,M7C,3,3.3,1
00HF,A2D,796,150.100006,4660
00HF,J3C,28,8.1,162
00HF,M7C,3,3.3,1
00HG,A2D,107,13.5,530
00HG,J7C,46,18.5,370
00HG,M7C,1,0.6,1
00HK,A2D,43,5.4,212
00HK,J7C,41,16.200001,324
00HK,M7C,3,2.6,1
00HL,A2D,65,8.1,318
00HL,J7C,41,16.200001,324
00HL,M7C,3,2.6,1
00JC,A2D,548,232.399994,2688
00JC,J7C,36,14.2,284
00JC,M7C,8,7.9,1
00JD,A1D,109,24.4,463
00JD,A2D,215,17.4,1914
00JD,J2C,63,7.1,363
00JD,J7C,32,12.9,258
00JD,M7C,1,0.6,1
00JE,A2D,41,11.6,273
00JE,J7C,23,9.3,186
00JE,M7C,1,0.5,1
03AEC,A1D,1943.699951,1218,8237
03AEC,A2D,3347.300293,1640.599976,16223
03AEC,J2D,17.700001,2.2,101
03AEC,J7C,340,135.800003,2716
03AEC,M7C,4,4.4,1
03AEC,R1D,1716.5,469,7779
03AEC,R2B,530.5,97.400002,4383
03AEC,R2D,2561.899902,673.700012,15124
03AEC,R3B,22.200001,2.4,240
03AEC,R3D,9.3,1.4,50
03AFC,A1D,1943.699951,1218,8237
03AFC,A2D,3347.300293,1640.599976,16223
03AFC,J2D,17.700001,2.2,101
03AFC,J7C,340,135.800003,2716
03AFC,M7C,4,4.4,1
03AFC,R1D,1716.5,469,7779
03AFC,R2B,530.5,97.400002,4383
03AFC,R2D,2561.899902,673.700012,15124
03AFC,R3B,22.200001,2.4,240
03AFC,R3D,9.3,1.4,50
03AGC,A1D,4604.400391,4187.399902,19466
03AGC,A2D,710,363.399994,3919
03AGC,J2D,177.699997,58.700001,901
03AGC,J3D,92.400002,29.4,462
03AGC,J7C,262,104.800003,2096
03AGC,M7C,38,37.200001,744
03AGC,R1D,1599.800049,619.900024,7005
03AGC,R2B,29.699999,2.7,210
03AGC,R2D,3406.699951,1008.599976,19047
03AGC,R3B,22.200001,2.4,240
03AGC,R3D,9.3,1.4,50
03AJC,A1D,4604.400391,4187.399902,19466
03AJC,A2D,710,363.399994,3919
03AJC,J2D,177.699997,58.700001,901
03AJC,J3D,92.400002,29.4,462
03AJC,J7C,262,104.800003,2096
03AJC,M7C,38,37.200001,744
03AJC,R1D,1599.800049,619.900024,7005
03AJC,R2B,29.699999,2.7,210
03AJC,R2D,3406.699951,1008.599976,19047
03AJC,R3B,22.200001,2.4,240
03AJC,R3D,9.3,1.4,50
03AKC,A1D,4604.400391,4187.399902,19466
03AKC,A2D,710,363.399994,3919
03AKC,J2D,177.699997,58.700001,901
03AKC,J3D,92.400002,29.4,462
