RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,DodicId,HazardDivision,StorageCompatibilityGroup,NetExplosivePounds
03AEC,A1D,30.299999,12,143,3,194,106,102,C11158CARR CMN,,Default*,ONE_PNT_ONE,A,0
03AEC,A1D,50.700001,22.1,210,6,258,117,116,F60530FIGHTING,,Default*,ONE_PNT_ONE,A,0
03AEC,A1D,55.599998,28,230,6,283,117,116,Z06157ARMD MAI,,Default*,ONE_PNT_ONE,A,0
03AEC,A1D,55.400002,36,244,12,279,126,109,Z54664ANTI-TAN,,Default*,ONE_PNT_ONE,A,0
03AEC,A1D,78.599998,64.199997,320,7,341,135,118,Z62381RECOVERY,,Default*,ONE_PNT_ONE,A,0
03AEC,A2D,25.799999,13.8,155,6,210,106,80,C10990CARRIER:,,Default*,ONE_PNT_ONE,A,0
03AEC,A2D,24.4,12.5,144,17,208,100,81,C18234CARRIER,,Default*,ONE_PNT_ONE,A,0
03AEC,A2D,28.9,12.7,133,5,192,100,104,D11538CARRIER,,Default*,ONE_PNT_ONE,A,0
03AEC,A2D,45.400002,22.1,210,58,258,117,104,F40375FIGHTING,,Default*,ONE_PNT_ONE,A,0
03AEC,J2D,17.700001,2.2,101,1,167,87,84,W32730SHOP EQU,,Default*,ONE_PNT_ONE,A,0
03AEC,R1D,37.5,10.1,170,34,255,96,106,Z40430TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R1D,40.900002,11.7,185,4,278,96,106,Z40439TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R1D,37.5,10.1,170,6,255,96,106,Z60951TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R1D,52.900002,18.200001,239,1,359,96,106,Z94433TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AEC,R2B,12,2.6,109,32,187,84,53,T61494TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AEC,R2B,15.4,1.5,91,9,162,81,81,W98825TRAILER,,Default*,ONE_PNT_ONE,A,0
03AEC,R2B,7.9,0.7,76,1,147,74,50,W95537TRAILER,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,31.1,2.7,161,5,254,91,93,K28601FIELD FE,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,22.5,3.6,115,4,178,93,94,L28351KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,59.599998,23,283,4,400,102,101,T39586TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,59.599998,23.4,283,1,400,102,101,T39654TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,59.799999,22.6,284,5,401,102,101,T39518TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,56.299999,22.6,267,7,401,96,101,T59278TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,56.700001,21.700001,269,1,384,101,101,T63093TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,56.299999,19.1,267,8,401,96,101,T87243TRK TANK,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,24.1,3.7,119,1,179,96,97,W48391WLD SHOP,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,8.8,0.7,81,6,136,86,52,Z36272TRAILER,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,16.799999,1.2,139,22,209,96,58,Z36068TRAILER,,Default*,ONE_PNT_ONE,A,0
03AEC,R2D,17.700001,2.4,147,21,220,96,58,Z90712TRLR CGO,,Default*,ONE_PNT_ONE,A,0
03AEC,R3B,3.7,0.4,40,6,95,60,45,M68405MORTAR 1,,Default*,ONE_PNT_ONE,A,0
03AEC,R3D,9.3,1.4,50,1,100,72,89,C32887CLEANER,,Default*,ONE_PNT_ONE,A,0
03AFC,A1D,30.299999,12,143,3,194,106,102,C11158CARR CMN,,Default*,ONE_PNT_ONE,A,0
03AFC,A1D,50.700001,22.1,210,6,258,117,116,F60530FIGHTING,,Default*,ONE_PNT_ONE,A,0
03AFC,A1D,55.599998,28,230,6,283,117,116,Z06157ARMD MAI,,Default*,ONE_PNT_ONE,A,0
03AFC,A1D,55.400002,36,244,12,279,126,109,Z54664ANTI-TAN,,Default*,ONE_PNT_ONE,A,0
03AFC,A1D,78.599998,64.199997,320,7,341,135,118,Z62381RECOVERY,,Default*,ONE_PNT_ONE,A,0
03AFC,A2D,25.799999,13.8,155,6,210,106,80,C10990CARRIER:,,Default*,ONE_PNT_ONE,A,0
03AFC,A2D,24.4,12.5,144,17,208,100,81,C18234CARRIER,,Default*,ONE_PNT_ONE,A,0
03AFC,A2D,28.9,12.7,133,5,192,100,104,D11538CARRIER,,Default*,ONE_PNT_ONE,A,0
03AFC,A2D,45.400002,22.1,210,58,258,117,104,F40375FIGHTING,,Default*,ONE_PNT_ONE,A,0
03AFC,J2D,17.700001,2.2,101,1,167,87,84,W32730SHOP EQU,,Default*,ONE_PNT_ONE,A,0
03AFC,R1D,37.5,10.1,170,34,255,96,106,Z40430TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R1D,40.900002,11.7,185,4,278,96,106,Z40439TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R1D,37.5,10.1,170,6,255,96,106,Z60951TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R1D,52.900002,18.200001,239,1,359,96,106,Z94433TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AFC,R2B,12,2.6,109,32,187,84,53,T61494TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AFC,R2B,15.4,1.5,91,9,162,81,81,W98825TRAILER,,Default*,ONE_PNT_ONE,A,0
03AFC,R2B,7.9,0.7,76,1,147,74,50,W95537TRAILER,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,31.1,2.7,161,5,254,91,93,K28601FIELD FE,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,22.5,3.6,115,4,178,93,94,L28351KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,59.599998,23,283,4,400,102,101,T39586TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,59.599998,23.4,283,1,400,102,101,T39654TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,59.799999,22.6,284,5,401,102,101,T39518TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,56.299999,22.6,267,7,401,96,101,T59278TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,56.700001,21.700001,269,1,384,101,101,T63093TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,56.299999,19.1,267,8,401,96,101,T87243TRK TANK,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,24.1,3.7,119,1,179,96,97,W48391WLD SHOP,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,8.8,0.7,81,6,136,86,52,Z36272TRAILER,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,16.799999,1.2,139,22,209,96,58,Z36068TRAILER,,Default*,ONE_PNT_ONE,A,0
03AFC,R2D,17.700001,2.4,147,21,220,96,58,Z90712TRLR CGO,,Default*,ONE_PNT_ONE,A,0
03AFC,R3B,3.7,0.4,40,6,95,60,45,M68405MORTAR 1,,Default*,ONE_PNT_ONE,A,0
03AFC,R3D,9.3,1.4,50,1,100,72,89,C32887CLEANER,,Default*,ONE_PNT_ONE,A,0
03AGC,A1D,78.599998,64.599998,320,7,341,135,118,R50885RECOVERY,,Default*,ONE_PNT_ONE,A,0
03AGC,A1D,69.900002,64.400002,297,58,312,137,113,T13305TANK CBT,,Default*,ONE_PNT_ONE,A,0
03AGC,A2D,25.799999,13.9,155,6,210,106,80,C10990CARRIER,,Default*,ONE_PNT_ONE,A,0
03AGC,A2D,30.299999,12.9,142,3,205,100,102,C11158CARRIER,,Default*,ONE_PNT_ONE,A,0
03AGC,A2D,24.6,13.6,146,13,210,100,81,C18234CARRIER,,Default*,ONE_PNT_ONE,A,0
03AGC,A2D,28.9,12.9,133,5,192,100,104,D11538CARRIER,,Default*,ONE_PNT_ONE,A,0
03AGC,J2D,32,7.6,160,1,240,96,96,C27633CONTAINE,,Default*,ONE_PNT_ONE,A,0
03AGC,J2D,32,12.2,160,4,240,96,96,F64544FORWARD,,Default*,ONE_PNT_ONE,A,0
03AGC,J2D,17.700001,2.3,101,1,167,87,84,W32730SHOP EQU,,Default*,ONE_PNT_ONE,A,0
03AGC,J3D,13.2,4.2,66,7,108,88,96,R50885RECOVERY,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,81.400002,41.599998,305,4,431,102,128,T40999TRK CGO,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,40.299999,17,183,1,274,96,106,T41135TRK CARG,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,45.099998,17.799999,204,3,306,96,106,T41203TRK CARG,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,37.200001,12.9,169,22,253,96,106,T60081TRK CARG,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,37.200001,12.9,169,5,253,96,106,T60149TRK CARG,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,40.299999,16.5,183,1,274,96,106,T61908TRK CGO,,Default*,ONE_PNT_ONE,A,0
03AGC,R1D,53.900002,18.299999,244,1,366,96,106,T94709TRK WREC,,Default*,ONE_PNT_ONE,A,0
03AGC,R2B,9.9,0.9,70,3,146,69,68,L63994LIGHT SE,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,31.1,2.8,161,4,254,91,93,K28601KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,21.200001,4.3,109,1,171,92,93,L28351KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,19.799999,2.7,99,2,168,85,96,T00474SHELTER,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,59.799999,29.6,284,5,401,102,101,T39518TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,59.799999,26.200001,284,10,401,102,101,T59278TRUCK CG,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,12.5,2.8,108,30,180,86,56,T61494TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,13,2.9,111,1,186,86,56,T61562TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,60.5,21.799999,285,1,402,102,102,T63093TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,56.299999,19.299999,267,16,401,96,101,T87243TRK TANK,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,17.6,3.5,114,5,191,86,74,T92242TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,17.1,3.3,111,5,186,86,74,T92310TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,26.200001,4.8,153,1,230,96,82,T95555TRLR CGO,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,8.8,0.9,81,4,136,86,52,T95992TRL CGO,,Default*,ONE_PNT_ONE,A,0
03AGC,R2D,23,3.6,140,19,210,96,79,T96564TRLR CGO,,Default*,ONE_PNT_ONE,A,0
