BaseName,Description,LongDescription
1ME,MECH UNITS OUT OF FT HOOD,    FORCE MODULE 1ME - NO DESCRIPTION GIVEN; CREATED 1ME AT 1/10/2001 12;29;4; 2; ; WITH DART PROTOTYPE
24M,24TH MECH OUT OF FT STEWART,    FORCE MODULE 24M - NO DESCRIPTION GIVEN; CREATED 24M AT 1/10/2001 12;35;3; 1; ; WITH DART PROTOTYPE
ABN,AIRBORNE UNITS OUT OF FT BRAGG,    FORCE MODULE ABN - NO DESCRIPTION GIVEN; CREATED ABN AT 1/10/2001 13;08;4; 9; ; WITH DART PROTOTYPE
CTK,COMBAT TANK BATTALIONS,    FORCE MODULE CTK - NO DESCRIPTION GIVEN; CREATED CTK AT 1/11/2001 15;09;2; 3; ; WITH DART PROTOTYPE
ECB,ENGINEER COMBAT BATTALION OUT OF SILL,    FORCE MODULE ECB - NO DESCRIPTION GIVEN; CREATED ECB AT 1/10/2001 12;50;2; 9; ; WITH DART PROTOTYPE
ELW,ENGINEER COMBAT BN OUT OF FT LEONARD WOOD,    FORCE MODULE ELW - NO DESCRIPTION GIVEN; CREATED ELW AT 1/10/2001 12;55;1; 8; ; WITH DART PROTOTYPE
ENP,ENGINEER COMBAT BATTALION OUT OF FT POLK,    FORCE MODULE ENP - NO DESCRIPTION GIVEN; CREATED ENP AT 1/10/2001 12;53;5; 0; ; WITH DART PROTOTYPE
H20,WATERCRAFT UNITS OUT OF FT EUSTIS,    FORCE MODULE H20 - NO DESCRIPTION GIVEN; CREATED H20 AT 1/10/2001 14;09;1; 9; ; WITH DART PROTOTYPE
INF,INFANTRY DIVISION OUT OF FT STEWART,    FORCE MODULE INF - NO DESCRIPTION GIVEN; CREATED INF AT 1/10/2001 12;37;3; 7; ; WITH DART PROTOTYPE
MON,FINANCE SUPPORT,    FORCE MODULE MON - NO DESCRIPTION GIVEN; CREATED MON AT 1/10/2001 12;48;4; 7; ; WITH DART PROTOTYPE
MRS,MLRS UNIT OUT OF FT SILL,    FORCE MODULE MRS - NO DESCRIPTION GIVEN; CREATED MRS AT 1/10/2001 12;45;0; 2; ; WITH DART PROTOTYPE
PIN,PIN FOLLOW-ON PERSONNEL,    FORCE MODULE PIN - NO DESCRIPTION GIVEN; CREATED PIN AT 1/11/2001 13;56;2; 5; ; WITH DART PROTOTYPE
POL,POL RESUPPLY,    FORCE MODULE POL - NO DESCRIPTION GIVEN; CREATED POL AT 1/11/2001 13;54;2; 4; ; WITH DART PROTOTYPE
PSY,PSYOP UNITS OUT OF FT BRAGG,    FORCE MODULE PSY - NO DESCRIPTION GIVEN; CREATED PSY AT 1/10/2001 13;06;0; 4; ; WITH DART PROTOTYPE
THE,COMBAT HET TRANS UNITS,    FORCE MODULE THE - NO DESCRIPTION GIVEN; CREATED THE AT 1/11/2001 13;46;3; 8; ; WITH DART PROTOTYPE
TLT,LIGHT/MEDIUM TRUCK COMPANY OUT OF FT EUSTIS,    FORCE MODULE TLT - NO DESCRIPTION GIVEN; CREATED TLT AT 1/10/2001 14;31;3; 4; ; WITH DART PROTOTYPE
TMD,MEDIUM TRUCK COMPANIES 40 FOOT CONTAINER,    FORCE MODULE TMD - NO DESCRIPTION GIVEN; CREATED TMD AT 1/10/2001 14;46;5; 0; ; WITH DART PROTOTYPE
TPL,MEDIUM TRUCK COMPANIES 5000 GAL TANKER,    FORCE MODULE TPL - NO DESCRIPTION GIVEN; CREATED TPL AT 1/10/2001 14;41;5; 9; ; WITH DART PROTOTYPE
