RLN,Origin,RLD,POEModeSource,POE,ALD,PODModeSource,POD,EAD,LAD,DestModeSource,Destination,RDD,JopesPriority,PriorityAddOn,PODDischargeConstraint,PODLoadConfigCode,DestDischargeConstraint,DestLoadConfigCode
00DDA,HCTL,8,LG,TMKH,25,AK,FUQN,24,26,LD,WSVC,28,214,,,,,
00DDC,HCTL,8,LH,ZBES,14,SE,HNTS,24,26,LD,WSVC,28,214,,,,,
00DDP,HCTL,17,LH,TMKH,19,AK,FUQN,19,20,LD,WSVC,20,214,,,,,
00DEA,HCTL,8,LH,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
00DEC,HCTL,8,LH,ZBES,14,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
00FB,HCTL,0,LM,TMKH,15,AK,FUQN,12,25,LD,WSVC,25,214,,,,,
00FC,HCTL,0,LM,TMKH,24,AK,FUQN,24,27,LD,WSVC,27,214,,,,,
00FD,HCTL,0,LG,DKSD,18,SE,HNTS,28,32,LD,WSVC,33,214,,,,,
00FDA,HCTL,0,LM,TMKH,28,AK,FUQN,28,32,LD,WSVC,33,214,,,,,
00FE,HCTL,0,LG,TMKH,12,AK,FUQN,12,16,LD,WSVC,16,214,,,,,
00FF,HCTL,17,LM,TMKH,19,AK,FUQN,19,20,LD,WSVC,21,214,,,,,
00FG,HCTL,0,LM,TMKH,13,AK,FUQN,13,16,LD,WSVC,17,214,,,,,
00FH,HCTL,0,LM,TMKH,12,AK,FUQN,12,16,LD,WSVC,17,214,,,,,
00FJ,HCTL,0,LM,TMKH,12,AK,FUQN,12,16,LD,WSVC,17,214,,,,,
00FK,HCTL,0,LM,TMKH,13,AK,FUQN,12,16,LD,WSVC,17,214,,,,,
00FL,HCTL,0,LM,TMKH,13,AK,FUQN,12,16,LD,WSVC,17,214,,,,,
00FQ,HCTL,0,LM,TMKH,13,AK,FUQN,12,16,LD,WSVC,17,214,,,,,
00FR,HCTL,0,LM,TMKH,22,AK,FUQN,22,26,LD,WSVC,27,214,,,,,
00FS,HCTL,0,LM,TMKH,22,AK,FUQN,22,26,LD,WSVC,27,214,,,,,
00FTC,HCTL,0,LM,NPTU,7,SE,VKNP,22,26,LD,WSVC,27,214,,,,,
00FTP,HCTL,0,LM,TMKH,22,AK,FUQN,22,26,LD,WSVC,27,214,,,,,
00FV,HCTL,0,LG,DKSD,15,SE,VKNP,22,26,LD,WSVC,27,214,,,,,
00FVA,HCTL,0,LG,TMKH,22,AK,FUQN,22,26,LD,WSVC,27,214,,,,,
00GB,HCTL,0,LM,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00GC,HCTL,0,LM,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00GDC,HCTL,0,LM,NPTU,7,SE,VKNP,20,24,LD,WSVC,25,214,,,,,
00GDP,HCTL,0,LM,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00GE,HCTL,0,LM,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
