RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
00DDA,A,7,"HQS   HQS CO, SPT BN, ABN",,,6ZZZZ,N,,64ZZZ,,,,,95,0,HHC,95,,,,Y,,,false,false,,,,
00DDC,A,7,"HQS   HQS CO, SPT BN, ABN",,,6ZZZZ,P,,64ZZZ,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
00DDP,A,7,"HQS   HQS CO, SPT BN, ABN",,,6ZZZZ,C,,64ZZZ,,,,,9,0,HHC,9,,,,Y,,,false,false,,,,
00DEA,A,7,HHC SIG BDE  ABN,,,6RB22,C,,,,,,,152,0,HHC,156,,,,Y,,,false,false,,,,
00DEC,A,7,HHC SIG BDE  ABN,,,6RB22,P,,,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
00FB,A,7,HHC AIRBORNE DIVISION,,,0MBNN,N,,01082,,,,,25,0,HHC,259,,,,Y,,,false,false,,,,
00FC,A,7,"HHC/MMC, SPT CMD, ABN DIV",,,NTCNN,N,,01082,,,,,21,0,HHC,187,,,,Y,,,false,false,,,,
00FD,A,7,"HHC/MMC, SPT CMD, ABN DIV",,,NTCNN,N,,01082,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
00FDA,A,7,"HHC/MMC, SPT CMD, ABN DIV",,,NTCNN,N,,01082,,,,,20,0,HHC,203,,,,Y,,,false,false,,,,
00FE,A,7,HHC AIRBORNE BRIGADE,,,3MBNN,N,,01082,,,,,30,0,HHC,89,,,,Y,,,false,false,,,,
00FF,A,7,HHC AIRBORNE DIVISION,,,099BB,N,,01082,,,,,150,0,HHC,150,,,,Y,,,false,false,,,,
00FG,A,7,INF BN  ABN,,,0YSNN,N,,01082,,,,,517,0,BN,697,,,,Y,,,false,false,,,,
00FH,A,7,INF BN  ABN,,,0YSNN,N,,01082,,,,,517,0,BN,697,,,,Y,,,false,false,,,,
00FJ,A,7,INF BN  ABN,,,0YSNN,N,,01082,,,,,517,0,BN,697,,,,Y,,,false,false,,,,
00FK,A,7,ADA BTRY VUL/MPDS  ABN,,,1S7NN,N,,01082,,,,,50,0,BTY,112,,,,Y,,,false,false,,,,
00FL,A,7,ADA BTRY VUL/MPDS  ABN,,,1S7NN,N,,01082,,,,,17,0,BTY,112,,,,Y,,,false,false,,,,
00FQ,A,7,MP COMPANY AIRBORNE DIV,,,QXTTT,N,,01082,,,,,21,0,CO,98,,,,Y,,,false,false,,,,
00FR,A,7,MP COMPANY AIRBORNE DIV,,,QXTTT,N,,01082,,,,,5,0,CO,98,,,,Y,,,false,false,,,,
00FS,A,7,FWD COMM CO  ABN,,,6D444,N,,01082,,,,,15,0,CO,183,,,,Y,,,false,false,,,,
00FTC,A,7,FWD COMM CO  ABN,,,6D444,N,,01082,,,,,0,0,CO,183,,,,Y,,,false,false,,,,
00FTP,A,7,FWD COMM CO  ABN,,,6D444,C,,01082,,,,,10,0,CO,183,,,,Y,,,false,false,,,,
00FV,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,N,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
00FVA,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,C,,01082,,,,,94,0,CO,94,,,,Y,,,false,false,,,,05027L000
00GB,A,7,C J CO MI BN ABN DIV,,,PC4NN,N,,01082,,,,,12,0,CO,113,,,,Y,,,false,false,,,,
