Utc,Ulc,UtcShortName,Service,AuthPers,Pax,Cbbls,UtcLongName,DeployIndCode,SecurityClass,UtcStatus,OriginatorUic,RecordIndicator,ReferenceDoc,ReplacerUtc,CreateDate,ChangeDate,CancelDate,Configuration
00077,DIV,LID 29TH DIV,A,11630,11630,0,LID 29TH DIV,1,U,A,W0ZUFF,,77000A300100,,Aug 25 2099,Jul 19 2002,,7
00BBB,CO,RFL CO INF BN (,A,110,110,0,RFL CO INF BN (MECH) (XXI),1,U,A,W0ZUFF,,07247F000100,,Feb 23 2099,Jul 21 2003,,7
00JJJ,CO,RIFLE CO INF BN,A,129,129,0,RIFLE CO INF BN (LIGHT),1,U,A,W0ZUFF,,07017L300100,,Jul 21 2003,Jul 21 2003,,7
01322,HHC,HHC INF DIV BDE,A,81,81,0,HHC INF DIV BDE  LID,1,U,A,W0ZUFF,,77042L000100,,Dec 26 2085,Jul 21 2003,,7
01P77,BN,***CANCELLED***,A,0,61,0,INF BN AA DIV  SE,,U,C,W0ZUFF,,,,Oct 29 2091,Jun 12 2000,,7
01Q77,DET,***CANCELLED***,A,0,99082,0,LRS DET MI BN  HVY,,U,C,W0ZUFF,,,,May 18 2094,Aug 25 2099,,7
021VV,HHC,***CANCELLED***,A,0,99080,0,HHC IN DIV ARTIC SPT TM,,U,C,W0ZUFF,,,,Mar 02 2087,Aug 04 2099,,7
02444,DIV,AIRBORNE DIVISI,A,13431,13431,0,AIRBORNE DIVISION AOE,1,U,A,W0ZUFF,,57000L000100,,Aug 28 2085,Jan 22 2002,,7
02JJJ,CO,ANTIARMOR CO IN,A,65,2012,0,ANTIARMOR CO INF BN M  IT,,U,C,W0ZUFF,,07248J200100,,Nov 09 2082,Jan 22 2002,,7
02Q77,HHC,HHC SEP INF BDE,A,263,261,0,HHC SEP INF BDE,1,U,A,W0ZUFF,,07402L100100,,May 18 2094,Jul 21 2003,,7
02SNN,HHC,HHC INF BN (ABN,A,195,195,0,HHC INF BN  ABN,1,U,A,W0ZUFF,,07036L000100,,Jun 06 2086,Jul 21 2003,,7
02VNN,BN,INFANTRY BN,A,745,745,0,INFANTRY BN,1,U,A,W0ZUFF,,07075L000100,,Sep 24 2086,Jul 21 2003,,7
03677,HHC,***CANCELLED***,A,0,99080,0,HHC AIR ASSAULT DIVISION,,U,C,W0ZUFF,,,,Oct 29 2091,Aug 04 2099,,7
03777,BN,INF BN AA DIV (,A,681,681,0,INF BN AA DIV (SE),1,U,A,W0ZUFF,,07055L100100,,Feb 05 2098,Jul 21 2003,,7
03Q77,HHC,HHC SEP INF BDE,A,384,384,0,HHC SEP INF BDE,1,U,A,W0ZUFF,,07402L200100,,May 18 2094,Jul 21 2003,,7
03SNN,CO,RIFLE CO (ABN),A,131,131,0,RIFLE CO  ABN,1,U,A,W0ZUFF,,07037L000100,,Jun 06 2086,Jul 21 2003,,7
043NN,HHC,***CANCELLED***,A,0,98020,0,HHC MP BATTALION  EPW CI,,U,C,W0ZUFF,,,,Sep 24 2086,Feb 19 2098,,7
04777,BN,INF BN (AASLT),A,674,674,0,INF BN (AASLT),1,U,A,W0ZUFF,,07055L200100,,Feb 05 2098,Jul 21 2003,,7
04BBB,BN,INF BN MECH (FX,A,492,492,0,INF BN MECH (FXXI),1,U,A,W0ZUFF,,07245F100100,,Feb 23 2099,Jul 21 2003,,7
04HHH,BN,***CANCELLED***,A,0,1050,0,INF BN (BCT),,U,C,W0ZUFF,,,,Aug 30 2000,May 02 2001,,7
