Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,1.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,2.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,4.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,5.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,6.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,7.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,8.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,9.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,10.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,11.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,12.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,13.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,14.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,15.0,5000.0,0.0,0.0,571.375,0.114275,653.0,0.1306,0.0,0.8750001,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,16.0,5000.0,653.0,0.1306,797.99994,0.15959999,1349.0,0.2698,1.0,1.2083335,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,17.0,5000.0,1349.0,0.2698,1644.7089,0.32894176,2029.0,0.4058,2.0,2.4166665,3.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,18.0,5000.0,0.0,0.0,602.3333,0.120466664,1376.0,0.2752,0.0,0.9166668,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,19.0,5000.0,0.0,0.0,1077.5831,0.21551663,1262.0,0.2524,0.0,1.7083335,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,20.0,5000.0,0.0,0.0,870.8332,0.17416663,950.0,0.19,0.0,0.9166668,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,21.0,5000.0,950.0,0.19,1075.4166,0.21508333,1552.0,0.3104,1.0,1.2083335,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,22.0,5000.0,682.0,0.1364,1796.6661,0.35933322,3025.0,0.605,1.0,2.3749998,4.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,23.0,5000.0,0.0,0.0,727.5418,0.14550836,1363.0,0.2726,0.0,1.0000002,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,24.0,5000.0,0.0,0.0,794.2499,0.15884997,1713.0,0.3426,0.0,0.9166668,2.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,25.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
