"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Required at POE<Float>,Origin<Float>,Port of Embarkation<Float>,Delivered of Required: POE<Float>
0.0,13.125422,0.0,0.0,0.0
1.0,13.125422,0.0,2652.25,0.0
2.0,13.125422,0.0,3948.8499,0.0
3.0,13.125422,0.0,4460.6,0.0
4.0,138.12543,0.0,4610.6,0.0
5.0,146.52542,0.0,4620.4,0.0
6.0,146.52542,0.0,5026.5,133.4
7.0,364.52542,0.0,5043.0,133.4
8.0,364.52542,0.0,5425.0,274.4
9.0,364.52542,0.0,11987.01,274.4
10.0,365.02542,0.0,31089.81,274.9
11.0,490.02542,0.0,53060.867,274.9
12.0,699.32544,0.0,58546.72,534.19995
13.0,862.22546,0.0,66853.914,772.1
14.0,23340.984,0.0,74783.31,23311.746
15.0,38753.484,0.0,77351.31,36372.86
16.0,47050.285,0.0,80075.3,58504.64
17.0,80368.0,0.0,86691.0,80922.15
18.0,96093.195,0.0,98033.6,86039.84
19.0,96352.49,0.0,100568.63,88927.27
20.0,107500.39,0.0,106157.55,97425.484
21.0,107912.19,0.0,109586.55,99755.88
22.0,125205.49,0.0,111706.02,108748.56
23.0,125488.39,0.0,116348.78,113424.22
24.0,130218.09,0.0,120019.125,118474.66
25.0,130987.3,0.0,121937.2,120408.0
26.0,131491.5,0.0,126309.055,124771.76
27.0,140218.4,0.0,128668.445,128194.74
28.0,140593.4,0.0,131059.7,130931.805
29.0,141563.2,0.0,134772.47,134768.58
30.0,142063.2,0.0,137328.17,137324.28
31.0,142563.2,0.0,139472.94,139469.05
32.0,142938.2,0.0,141522.06,141398.17
33.0,143489.8,0.0,142901.03,142781.08
34.0,143614.8,0.0,143228.33,143104.38
35.0,144238.8,0.0,143715.03,143715.08
36.0,144738.8,0.0,144387.6,144387.64
37.0,144738.8,0.0,144645.61,144645.66
38.0,144863.8,0.0,144653.11,144653.16
39.0,145363.8,0.0,145271.1,145147.14
40.0,145863.8,0.0,145592.52,145468.56
41.0,146112.8,0.0,146056.8,146056.84
42.0,146612.8,0.0,146451.73,146331.78
43.0,146612.8,0.0,146594.6,146474.64
44.0,147112.8,0.0,147057.08,146813.92
45.0,147361.8,0.0,147467.8,147348.64
46.0,147856.0,0.0,147628.52,147628.56
47.0,147856.0,0.0,147842.8,147842.84
48.0,148356.0,0.0,148003.52,148003.56
49.0,148481.0,0.0,148467.8,148467.84
50.0,148856.0,0.0,148842.8,148842.84
51.0,148981.0,0.0,148842.8,148842.84
52.0,149356.0,0.0,149003.52,149003.56
53.0,149906.0,0.0,149499.94,149499.98
54.0,149906.0,0.0,149767.8,149767.84
55.0,150406.0,0.0,150107.08,150107.12
56.0,150406.0,0.0,150267.8,150267.84
57.0,150906.0,0.0,150553.52,150553.56
58.0,150906.0,0.0,150767.8,150767.84
59.0,151481.0,0.0,151054.8,151054.84
60.0,151931.0,0.0,151558.8,151558.84
61.0,152056.0,0.0,151917.8,151917.84
62.0,152631.0,0.0,152275.8,152275.84
63.0,153081.0,0.0,152797.8,152797.84
64.0,153206.0,0.0,153067.8,153067.84
65.0,153656.0,0.0,153193.8,153193.84
66.0,154231.0,0.0,153786.8,153786.84
67.0,154681.0,0.0,154236.8,154236.84
68.0,154731.0,0.0,154667.8,154667.84
69.0,155231.0,0.0,155117.8,155117.84
70.0,155681.0,0.0,155297.8,155297.84
