All Constrained Assets and Resources
Resource<String>,First Used<Time>,Last Used<Time>,First Queued<Time>,Last Queued<Time>,Max Interval Use (%)<Float>,Intervals Used Over 90% of Capacity<Integer>,Ave Interval Use (%)<Float>,Max Day Use (%)<Float>,Days Used Over 90% of Capacity<Integer>,Days with Waiting Carry-Over<Integer>
commercial medium railcar,CONUS,0.0,43.286,0.0,30.5,100.0,12,12.9051895,100.0,11
commercial boxcar,CONUS,0.0,43.109,0.0,30.0,41.11111,0,3.4674256,41.11111,0
Get Fed Move Request at FT BRAGG -HCTL-AIN,CONUS,,,0.0,38.0,,,,,
Get Fed Move Request at SOUTHERN CALIFORN -HUUA-MAP,CONUS,,,0.0,5.0,,,,,
Get Fed Move Request at FT HOOD -HFTZ-AIN,CONUS,,,0.0,32.0,,,,,
Get Fed Move Request at FT BENNING -HCML-AIN,CONUS,,,0.0,13.0,,,,,
Get Fed Move Request at FT BLISS -HCRL-AIN,CONUS,,,0.0,11.0,,,,,
Get Fed Move Request at FT JACKSON -HGBZ-AIN,CONUS,,,0.0,13.0,,,,,
Get Fed Move Request at FT EUSTIS -HERT-AIN,CONUS,,,0.0,12.0,,,,,
Get Fed Move Request at FT RILEY -HKBN-AIN,CONUS,,,0.0,14.0,,,,,
Get Fed Move Request at FT CARSON -HDDL-AIN,CONUS,,,0.0,11.0,,,,,
Get Fed Move Request at FT DIX -HEKP-AIN,CONUS,,,0.0,12.0,,,,,
Get Fed Move Request at FT SHERIDAN -HKLN-AIN,CONUS,,,0.0,9.0,,,,,
Get Fed Move Request at FT LEE -HGQH-AIN,CONUS,,,0.0,10.0,,,,,
Get Fed Move Request at FT SILL -HKNN-AIN,CONUS,,,0.0,29.0,,,,,
Get Fed Move Request at FT POLK -HJVH-AIN,CONUS,,,0.0,16.0,,,,,
Get Fed Move Request at FT LEONARD WOOD -HGSH-AIN,CONUS,,,0.0,16.0,,,,,
Get Fed Move Request at FT GORDON -HFDZ-AIN,CONUS,,,0.0,10.0,,,,,
Train for SOUTHPORT MILITAR -WMPT-PRT to FT BRAGG -HCTL-AIN (Rail),CONUS,0.0,28.500694,0.0,26.5,,,,,
Train for PORTSMOUTH -TQUH-PRT to FT BRAGG -HCTL-AIN (Rail),CONUS,0.0,32.5,0.0,32.5,,,,,
Get Fed Move Request at MECHANICSBURG -PVSD-STG,CONUS,,,0.0,180.0,,,,,
Commercial 10-Ton Tractor/Commercial Semitrailer,CONUS,0.25,180.0,0.25,180.0,59.444447,0,16.723314,39.62815,0
Serial for ATLANTIC CITY MUN -AQRC-CAP to MECHANICSBURG -PVSD-STG(Military Self-Directed),CONUS,,,,,,,,,
Serial for ATLANTIC CITY MUN -AQRC-CAP to MECHANICSBURG -PVSD-STG(Military Direct Delivery),CONUS,,,,,,,,,
Serial for ATLANTIC CITY MUN -AQRC-CAP to MECHANICSBURG -PVSD-STG(Commercial Direct Delivery),CONUS,0.25,179.0,0.25,180.0,,,,,
Serial for ATLANTIC CITY MUN -AQRC-CAP to DMA DPO PHILADEL -TECV-DEP(Military Self-Directed),CONUS,,,,,,,,,
Serial for ATLANTIC CITY MUN -AQRC-CAP to DMA DPO PHILADEL -TECV-DEP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for ATLANTIC CITY MUN -AQRC-CAP to DMA DPO PHILADEL -TECV-DEP(Commercial Direct Delivery),CONUS,0.25,179.00035,0.25,180.0,,,,,
Train for FT BRAGG -HCTL-AIN to MOREHEAD CITY -QTUP-PRT (Rail),CONUS,0.25,30.25,0.25,30.25,,,,,
Train for MOREHEAD CITY -QTUP-PRT to FT BRAGG -HCTL-AIN (Rail),CONUS,1.0,17.797222,1.0,17.75,,,,,
Train for MOREHEAD CITY -QTUP-PRT to SOUTHPORT MILITAR -WMPT-PRT (Rail),CONUS,1.0,33.344444,1.0,33.25,,,,,
Get Fed Move Request at FT STEWART -HKUZ-AIN,CONUS,,,2.0,30.0,,,,,
Commercial 10-Ton Tractor/Commercial Semitrailer,CONUS,3.0,14.361,3.0,10.5,10.0,0,0.35974059,10.0,0
Commercial Bus 45-pax,CONUS,3.0,35.443,3.0,31.5,100.0,2,4.7967024,84.210526,0
Commercial Bus 45-pax,CONUS,3.0,42.968,3.0,39.5,100.0,3,4.911212,54.96083,0
Serial for CHARLESTON -DKSD-PRT to SHAW AFB -VLSB-MAP(Military Self-Directed),CONUS,,,,,,,,,
Serial for CHARLESTON -DKSD-PRT to SHAW AFB -VLSB-MAP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for CHARLESTON -DKSD-PRT to SHAW AFB -VLSB-MAP(Commercial Direct Delivery),CONUS,3.0,4.5,3.0,4.5,,,,,
Serial for SOUTHPORT MILITAR -WMPT-PRT to FT BRAGG -HCTL-AIN(Military Self-Directed),CONUS,,,,,,,,,
Serial for SOUTHPORT MILITAR -WMPT-PRT to FT BRAGG -HCTL-AIN(Military Direct Delivery),CONUS,,,,,,,,,
Serial for SOUTHPORT MILITAR -WMPT-PRT to FT BRAGG -HCTL-AIN(Commercial Direct Delivery),CONUS,3.0,39.5,3.0,39.5,,,,,
Serial for FT BRAGG -HCTL-AIN to POPE AAF -TMKH-MAP(Military Self-Directed),CONUS,4.0,16.000694,4.0,14.0,,,,,
Serial for FT BRAGG -HCTL-AIN to POPE AAF -TMKH-MAP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for FT BRAGG -HCTL-AIN to POPE AAF -TMKH-MAP(Commercial Direct Delivery),CONUS,3.0,41.224304,3.0,41.0,,,,,
Train for FT BRAGG -HCTL-AIN to LONG BEACH -NPTU-PRT (Rail),CONUS,3.5,12.0,3.5,12.0,,,,,
Train for MOREHEAD CITY -QTUP-PRT to PORTSMOUTH -TQUH-PRT (Rail),CONUS,3.5,30.584723,3.5,30.5,,,,,
Serial for POPE AAF -TMKH-MAP to SOUTHPORT MILITAR -WMPT-PRT(Military Self-Directed),CONUS,,,,,,,,,
Serial for POPE AAF -TMKH-MAP to SOUTHPORT MILITAR -WMPT-PRT(Military Direct Delivery),CONUS,,,,,,,,,
Serial for POPE AAF -TMKH-MAP to SOUTHPORT MILITAR -WMPT-PRT(Commercial Direct Delivery),CONUS,3.5,42.740276,3.5,42.5,,,,,
Commercial 10-Ton Tractor/Commercial Semitrailer,CONUS,4.0,22.183,4.0,12.0,4.494382,0,0.2957912,4.494382,0
Commercial 10-Ton Tractor/Commercial Semitrailer,CONUS,4.0,21.272,4.0,15.0,70.0,0,2.0137322,63.445442,0
Serial for PORT HUENEME NCBC -TNZY-PRT to SOUTHERN CALIFORN -HUUA-MAP(Military Self-Directed),CONUS,,,,,,,,,
Serial for PORT HUENEME NCBC -TNZY-PRT to SOUTHERN CALIFORN -HUUA-MAP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for PORT HUENEME NCBC -TNZY-PRT to SOUTHERN CALIFORN -HUUA-MAP(Commercial Direct Delivery),CONUS,4.0,6.5,4.0,6.5,,,,,
Serial for MECHANICSBURG -PVSD-STG to DOVER AFB -FJXT-MAP(Military Self-Directed),CONUS,,,,,,,,,
Serial for MECHANICSBURG -PVSD-STG to DOVER AFB -FJXT-MAP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for MECHANICSBURG -PVSD-STG to DOVER AFB -FJXT-MAP(Commercial Direct Delivery),CONUS,4.25,176.29097,4.25,180.0,,,,,
Serial for DMA DPO PHILADEL -TECV-DEP to DOVER AFB -FJXT-MAP(Military Self-Directed),CONUS,,,,,,,,,
Serial for DMA DPO PHILADEL -TECV-DEP to DOVER AFB -FJXT-MAP(Military Direct Delivery),CONUS,,,,,,,,,
Serial for DMA DPO PHILADEL -TECV-DEP to DOVER AFB -FJXT-MAP(Commercial Direct Delivery),CONUS,4.25,176.29097,4.25,180.0,,,,,
Serial for SHAW AFB -VLSB-MAP to CHARLESTON -DKSD-PRT(Military Self-Directed),CONUS,,,,,,,,,
