Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
AVBU,24,BALTIMORE OUTPORT,0,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,1,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,2,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,3,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,4,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,5,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,6,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,7,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,8,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,9,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,10,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,11,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,12,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,13,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,14,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,15,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,16,0,0.0,0,10,10.0,10,0.0,0.0,0.0
