CONUS Delivery Detail: PAX
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:00DDA,,POE,,23,23,23,23,23,25
1,1:00DDP,,POE,,18,18,18,18,18,19
1,1:00DEA,,POE,,19,19,19,19,19,24
1,1:00FB,,POE,,15,15,16,16,16,15
1,1:00FC,,POE,,17,17,17,17,17,24
1,1:00FDA,,POE,,22,22,22,22,22,28
1,1:00FE,,POE,,5,5,5,5,5,12
1,1:00FF,,POE,,17,17,17,17,17,19
1,1:00FG,,POE,,7,7,7,7,9,13
1,1:00FH,,POE,,5,5,5,5,6,12
1,1:00FJ,,POE,,9,9,9,9,9,12
1,1:00FK,,POE,,10,10,10,10,11,13
1,1:00FL,,POE,,11,11,11,11,11,13
1,1:00FQ,,POE,,11,11,11,11,11,13
1,1:00FR,,POE,,16,16,16,16,16,22
1,1:00FS,,POE,,18,18,18,18,18,22
1,1:00FTP,,POE,,25,25,25,25,25,22
1,1:00FVA,,POE,,16,16,16,16,16,22
1,1:00GB,,POE,,16,16,16,16,16,20
1,1:00GC,,POE,,16,16,16,16,16,20
1,1:00GDP,,POE,,25,25,25,25,25,20
1,1:00GE,,POE,,16,16,16,16,16,20
1,1:00GFA,,POE,,13,13,13,13,13,20
1,1:00GG,,POE,,16,16,16,16,16,20
1,1:00GHA,,POE,,14,14,14,14,14,20
1,1:00HB,,POE,,11,11,11,11,12,13
1,1:00HC,,POE,,12,12,12,12,12,14
1,1:00HDP,,POE,,25,25,25,25,26,15
1,1:00HE,,POE,,12,12,12,12,12,14
1,1:00HF,,POE,,14,14,14,14,14,14
1,1:00HG,,POE,,15,15,15,15,15,15
1,1:00HK,,POE,,15,15,15,15,15,15
1,1:00HL,,POE,,15,15,15,15,15,15
1,1:00JCC,,POE,,16,16,16,16,16,19
1,1:00JCP,,POE,,14,14,14,14,14,19
1,1:00JDA,,POE,,12,12,12,12,12,19
1,1:00JE,,POE,,16,16,17,17,17,19
1,1:00JFA,,POE,,12,12,13,13,13,19
1,1:03AEP,,POE,,30,30,30,30,31,36
1,1:03AFP,,POE,,31,31,31,31,31,37
1,1:03AGP,,POE,,31,31,31,31,31,28
1,1:03AJP,,POE,,23,23,23,23,24,29
1,1:03AKP,,POE,,24,24,24,24,24,30
1,1:03AUP,,POE,,24,24,24,24,24,30
1,1:04DDP,,POE,,16,16,16,16,16,20
1,1:0DAAP,,POE,,17,17,17,17,17,24
1,1:0DBBP,,POE,,17,17,17,17,17,24
1,1:0DBCP,,POE,,17,17,17,17,17,24
1,1:0DBDP,,POE,,17,17,17,17,17,24
1,1:0EBFP,,POE,,17,17,17,17,17,22
1,1:0EBQP,,POE,,16,16,16,16,18,22
1,1:0EBRP,,POE,,17,17,17,17,17,22
1,1:0EGBP,,POE,,25,25,25,25,25,31
1,1:0HEDP,,POE,,16,16,16,16,16,20
1,1:0HEEP,,POE,,15,15,15,15,15,17
1,1:0HEHP,,POE,,16,16,16,16,16,20
1,1:0HHD,,POE,,22,22,22,22,22,26
1,1:0HNBP,,POE,,16,16,16,16,16,20
1,1:0HVCP,,POE,,18,18,18,18,18,20
1,1:0J1EP,,POE,,32,32,32,32,32,34
1,1:0JAAP,,POE,,15,15,15,15,15,17
1,1:0JKBP,,POE,,10,10,10,10,10,17
1,1:0JLDP,,POE,,13,13,13,13,13,17
1,1:0JXC,,POE,,17,17,17,17,17,22
1,1:0KFBP,,POE,,31,31,31,31,31,37
1,1:0KGBP,,POE,,13,13,13,13,13,17
1,1:0LAA,,POE,,17,17,17,17,17,22
1,1:0LAB,,POE,,17,17,17,17,17,19
1,1:0LBGP,,POE,,31,31,31,31,32,37
1,1:0MAAP,,POE,,13,13,13,13,13,17
1,1:0MBDP,,POE,,13,13,13,13,13,20
1,1:0MBKP,,POE,,15,15,15,15,15,20
1,1:0NACP,,POE,,17,17,17,17,17,24
1,1:0QAAP,,POE,,26,26,26,26,26,24
1,1:0QAEP,,POE,,18,18,18,18,20,23
1,1:0QAFP,,POE,,17,17,17,17,17,24
1,1:0QBJ,,POE,,17,17,17,17,17,22
1,1:0RAAP,,POE,,17,17,17,17,17,24
1,1:0TABP,,POE,,17,17,17,17,17,24
1,1:0TAE1,,POE,,32,32,32,32,32,16
1,1:0TAEP,,POE,,21,21,21,21,21,26
1,1:0VAAP,,POE,,17,17,17,17,17,24
1,1:0VABP,,POE,,18,18,18,18,18,25
1,1:0YABP,,POE,,18,18,18,18,18,25
1,1:0YACP,,POE,,18,18,18,18,18,25
1,1:0YADP,,POE,,18,18,18,20,20,25
1,1:0YAFP,,POE,,26,26,26,26,26,25
1,1:0YB P,,POE,,28,28,28,28,28,35
1,1:0YB3P,,POE,,28,28,28,28,28,35
1,1:0YB4P,,POE,,28,28,28,28,28,35
1,1:0YBAP,,POE,,28,28,28,28,28,35
1,1:0YBBP,,POE,,3,3,3,3,3,10
1,1:0YBCP,,POE,,37,37,37,37,37,35
1,1:0YBDP,,POE,,28,28,28,28,28,35
1,1:0YBEP,,POE,,37,37,37,37,37,35
1,1:0YBFP,,POE,,37,37,37,37,37,35
1,1:0YBKP,,POE,,37,37,37,37,37,35
1,1:0YBLP,,POE,,37,37,37,37,37,35
1,1:0YBMP,,POE,,37,37,37,37,37,35
1,1:0YBNP,,POE,,37,37,37,37,37,35
1,1:0YBPP,,POE,,28,28,28,28,28,35
1,1:0YBQP,,POE,,3,3,3,3,3,10
1,1:0YBRP,,POE,,41,41,41,41,41,35
1,1:0YBSP,,POE,,37,37,41,41,41,35
1,1:0YBTP,,POE,,28,28,28,28,28,35
1,1:0YBUP,,POE,,28,28,28,28,28,35
1,1:0YBVP,,POE,,28,28,28,28,28,35
1,1:0YBWP,,POE,,41,41,41,41,41,35
1,1:0YBYP,,POE,,28,28,28,28,28,35
1,1:0YC P,,POE,,28,28,28,28,29,35
1,1:0YCAP,,POE,,29,29,29,29,29,36
1,1:0YCBP,,POE,,29,29,29,29,29,36
1,1:0YCCP,,POE,,29,29,29,29,29,36
1,1:0ZABP,,POE,,33,33,33,33,33,37
1,1:0ZACA,,POE,,21,21,21,21,22,28
1,1:0ZACB,,POE,,22,22,22,22,23,29
1,1:0ZACD,,POE,,23,23,23,23,23,30
1,1:0ZACG,,POE,,23,23,23,23,23,30
1,1:0ZACH,,POE,,24,24,24,24,26,31
1,1:0ZHCP,,POE,,32,32,32,32,34,30
1,1:0ZHFP,,POE,,24,24,24,24,26,30
1,1:5BCAA,,POE,,8,8,8,8,8,10
1,1:5CCAB,,POE,,6,6,6,6,6,5
1,1:5CCAD,,POE,,6,6,6,6,6,5
1,1:5CCAU,,POE,,30,30,30,30,30,26
1,1:5CCAV,,POE,,25,25,25,25,25,21
1,1:WP00011,,POE,,21,21,21,21,21,20
1,1:WP00013,,POE,,22,23,23,23,23,22
1,1:WP00016,,POE,,25,25,25,25,25,24
1,1:WP00019,,POE,,26,27,27,27,29,26
1,1:WP00022,,POE,,32,32,32,32,32,31
1,1:WP00025,,POE,,32,33,33,33,35,32
1,1:WP00028,,POE,,35,35,35,35,35,34
1,1:WP00031,,POE,,21,22,22,22,22,21
1,1:WP00034,,POE,,25,26,26,26,26,25
1,1:WP00037,,POE,,35,35,35,35,35,34
1,1:WP00040,,POE,,35,35,35,35,37,34
