CONUS Delivery Detail: POL (CBBLs)
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:AR00040,,POE,,28,28,28,28,28,21
1,1:AR00041,,POE,,28,28,28,28,28,27
1,1:AR00042,,POE,,28,28,28,28,28,18
1,1:AR00043,,POE,,29,29,29,29,29,21
1,1:AR00044,,POE,,29,29,29,29,29,27
1,1:AR00045,,POE,,29,30,30,30,30,18
1,1:AR00046,,POE,,30,30,30,30,30,21
1,1:AR00047,,POE,,30,31,31,31,31,27
1,1:AR00048,,POE,,31,31,31,31,31,18
1,1:AR00049,,POE,,31,32,32,32,32,21
1,1:AR00050,,POE,,32,32,32,32,32,27
1,1:AR00051,,POE,,32,32,32,32,32,18
1,1:AR00052,,POE,,32,32,32,32,32,21
1,1:AR00053,,POE,,32,32,32,32,32,27
1,1:AR00054,,POE,,32,32,32,32,32,18
1,1:AR00055,,POE,,32,32,32,32,32,21
1,1:AR00056,,POE,,32,32,32,32,32,27
1,1:AR00057,,POE,,32,32,32,32,32,18
1,1:AR00058,,POE,,32,32,32,32,32,21
1,1:AR00059,,POE,,32,32,32,32,32,27
1,1:AR00060,,POE,,32,32,32,32,32,18
1,1:AR00061,,POE,,32,32,32,32,32,21
