CONUS Delivery Detail: Cargo (ST)
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:00DDA,,POE,,19,19,19,19,19,25
1,1:00DDC,,POE,,11,11,11,11,25,14
1,1:00DEC,,POE,,11,11,11,25,25,14
1,1:00FB,,POE,,15,15,15,15,15,15
1,1:00FC,,POE,,16,16,16,16,16,24
1,1:00FD,,POE,,16,16,16,16,20,18
1,1:00FE,,POE,,12,12,12,12,12,12
1,1:00FG,,POE,,6,6,6,6,7,13
1,1:00FH,,POE,,4,4,4,4,6,12
1,1:00FJ,,POE,,8,8,8,9,9,12
1,1:00FK,,POE,,9,9,9,9,9,13
1,1:00FL,,POE,,9,9,9,9,9,13
1,1:00FQ,,POE,,10,10,10,10,10,13
1,1:00FR,,POE,,16,16,16,16,16,22
1,1:00FS,,POE,,18,18,18,18,18,22
1,1:00FTC,,POE,,14,14,15,15,15,7
1,1:00FV,,POE,,9,9,9,9,9,15
1,1:00GB,,POE,,15,15,15,15,15,20
1,1:00GC,,POE,,15,15,15,15,15,20
1,1:00GDC,,POE,,15,15,15,15,15,7
1,1:00GE,,POE,,15,15,15,15,15,20
1,1:00GF,,POE,,1,1,1,1,1,14
1,1:00GG,,POE,,15,15,15,15,15,20
1,1:00GH,,POE,,1,1,1,1,1,14
1,1:00HB,,POE,,10,10,10,10,11,13
1,1:00HC,,POE,,11,11,11,11,11,14
1,1:00HDC,,POE,,9,9,9,9,16,14
1,1:00HE,,POE,,11,11,11,11,12,14
1,1:00HF,,POE,,12,12,12,13,14,14
1,1:00HG,,POE,,14,14,14,14,14,15
1,1:00HK,,POE,,14,14,14,14,14,15
1,1:00HL,,POE,,14,14,14,14,15,15
1,1:00JC,,POE,,9,18,18,18,18,16
1,1:00JCC,,POE,,16,16,16,16,16,19
1,1:00JD,,POE,,8,8,8,8,10,14
1,1:00JE,,POE,,16,16,16,16,16,19
1,1:03AEC,,POE,,18,24,26,26,28,23
1,1:03AFC,,POE,,18,23,24,24,28,22
1,1:03AGC,,POE,,17,17,20,20,23,20
1,1:03AJC,,POE,,10,10,11,12,18,14
1,1:03AKC,,POE,,11,11,15,28,30,17
1,1:03AUC,,POE,,11,13,20,29,37,17
1,1:04DDC,,POE,,11,13,14,14,14,14
1,1:0DAAC,,POE,,9,9,9,9,9,16
1,1:0DBBC,,POE,,9,9,9,9,11,16
1,1:0DBCC,,POE,,9,9,9,9,9,15
1,1:0DBDC,,POE,,9,9,9,9,9,15
1,1:0EBFC,,POE,,15,15,15,15,16,15
1,1:0EBQC,,POE,,13,18,19,20,26,15
1,1:0EBRC,,POE,,15,17,18,18,30,15
1,1:0EGBC,,POE,,12,13,14,15,17,14
1,1:0HBGC,,POE,,1,1,1,1,1,14
1,1:0HEDC,,POE,,9,9,9,9,12,14
1,1:0HEEC,,POE,,13,13,18,18,18,14
1,1:0HEHC,,POE,,11,13,14,14,27,14
1,1:0HNBC,,POE,,10,10,11,11,24,14
1,1:0HVCC,,POE,,13,14,16,16,31,14
1,1:0J1EC,,POE,,28,28,28,28,28,16
1,1:0JAAC,,POE,,13,13,13,13,16,14
1,1:0JKBC,,POE,,11,11,13,13,16,14
1,1:0JLBC,,POE,,11,11,15,20,26,14
1,1:0JXC,,POE,,23,35,35,35,35,22
1,1:0KFA,,POE,,10,10,10,10,10,15
1,1:0KFBC,,POE,,20,29,31,32,38,26
1,1:0KGA,,POE,,10,10,10,10,10,14
1,1:0KGBC,,POE,,9,9,9,9,16,14
1,1:0KHA,,POE,,10,11,11,11,11,17
1,1:0LAA,,POE,,25,25,25,25,25,22
1,1:0LBGC,,POE,,20,32,32,32,38,26
1,1:0MAAC,,POE,,9,9,10,10,12,14
1,1:0MBDC,,POE,,10,17,17,18,18,14
1,1:0MBKC,,POE,,11,19,21,21,28,16
1,1:0NACC,,POE,,9,9,9,9,9,15
1,1:0QAAC,,POE,,18,23,24,24,30,16
1,1:0QAEC,,POE,,16,22,23,24,25,14
1,1:0QAFC,,POE,,10,12,14,18,20,16
1,1:0QBJ,,POE,,23,23,23,23,23,22
1,1:0RAAC,,POE,,1,1,1,1,1,14
1,1:0TABC,,POE,,1,2,3,3,8,14
1,1:0TAE1,,POE,,25,25,25,25,32,16
1,1:0TAEC,,POE,,12,26,29,29,36,15
1,1:0VAAC,,POE,,1,3,3,3,3,14
1,1:0VABC,,POE,,14,19,19,19,19,16
1,1:0YABC,,POE,,14,19,19,19,21,16
1,1:0YACC,,POE,,9,10,10,16,16,15
1,1:0YADC,,POE,,11,16,21,21,21,14
1,1:0YAFC,,POE,,13,20,21,21,24,16
1,1:0YB C,,POE,,25,37,37,37,37,33
1,1:0YB3C,,POE,,19,20,20,20,20,15
1,1:0YB4C,,POE,,27,27,27,29,29,15
1,1:0YBAC,,POE,,27,29,29,29,29,15
1,1:0YBBC,,POE,,29,31,31,31,31,15
1,1:0YBCC,,POE,,20,21,21,21,36,22
1,1:0YBDC,,POE,,13,14,14,14,14,16
1,1:0YBEC,,POE,,22,22,22,22,26,22
1,1:0YBFC,,POE,,22,22,22,22,26,22
1,1:0YBKC,,POE,,21,26,26,26,26,22
1,1:0YBLC,,POE,,25,26,26,26,26,22
1,1:0YBMC,,POE,,21,26,26,26,26,22
1,1:0YBNC,,POE,,26,26,26,26,27,22
1,1:0YBPC,,POE,,8,8,17,17,17,7
1,1:0YBQC,,POE,,9,9,9,9,9,6
1,1:0YBRC,,POE,,24,27,27,27,27,23
1,1:0YBSC,,POE,,26,27,27,27,27,22
1,1:0YBTC,,POE,,3,3,8,8,8,14
1,1:0YBUC,,POE,,27,28,29,29,29,26
1,1:0YBVC,,POE,,28,29,29,30,30,26
1,1:0YBWC,,POE,,27,30,30,30,36,22
1,1:0YBYC,,POE,,30,30,30,30,30,26
1,1:0YC C,,POE,,29,30,30,30,30,26
1,1:0YCAC,,POE,,13,14,14,14,14,15
1,1:0YCBC,,POE,,13,22,22,23,26,15
1,1:0YCCC,,POE,,29,30,30,31,39,26
1,1:0ZABC,,POE,,20,20,27,27,27,26
1,1:0ZBB,,POE,,9,9,9,9,9,15
1,1:0ZCB,,POE,,10,10,11,11,11,15
1,1:0ZDA,,POE,,9,9,9,9,9,15
1,1:0ZDB,,POE,,11,13,14,14,14,15
1,1:0ZDC,,POE,,10,13,14,14,26,15
1,1:0ZHCC,,POE,,18,18,30,32,33,22
1,1:0ZHFC,,POE,,11,11,14,33,42,17
1,1:5BCAA,,POE,,9,9,9,9,9,10
1,1:5CCAB,,POE,,6,6,6,6,6,5
1,1:5CCAD,,POE,,6,6,6,6,6,5
1,1:5CCAU,,POE,,29,29,29,29,29,26
1,1:5CCAV,,POE,,24,24,24,24,24,21
1,1:5NMH1,,POE,,26,26,26,26,26,26
1,1:FR00020,,POE,,44,44,44,44,44,42
1,1:FR00021,,POE,,32,32,32,32,34,32
1,1:FR00022,,POE,,39,39,39,39,39,37
1,1:FR00023,,POE,,27,27,27,27,27,25
1,1:FR00024,,POE,,42,42,42,42,44,42
1,1:0000000,,POE,,9,9,9,9,9,14
1,1:0000001,,POE,,6,6,6,6,6,4
1,1:0000002,,POE,,6,6,6,6,6,4
1,1:0000003,,POE,,11,11,11,11,11,14
