Fuel Consumption By Location
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,Mode<String>,Fuel Consumption<Float>
AQRC,34,ATLANTIC CITY MUN,0.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,1.0,Road,76.764435
AQRC,34,ATLANTIC CITY MUN,2.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,3.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,4.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,5.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,6.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,7.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,8.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,9.0,Road,148.96548
AQRC,34,ATLANTIC CITY MUN,10.0,Road,88.54219
AQRC,34,ATLANTIC CITY MUN,11.0,Road,32.493336
AQRC,34,ATLANTIC CITY MUN,12.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,13.0,Road,20.141094
AQRC,34,ATLANTIC CITY MUN,14.0,Road,44.271095
AQRC,34,ATLANTIC CITY MUN,15.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,16.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,17.0,Road,121.03553
AQRC,34,ATLANTIC CITY MUN,18.0,Road,88.54219
AQRC,34,ATLANTIC CITY MUN,19.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,20.0,Road,253.84882
AQRC,34,ATLANTIC CITY MUN,21.0,Road,177.08438
AQRC,34,ATLANTIC CITY MUN,22.0,Road,286.34213
AQRC,34,ATLANTIC CITY MUN,23.0,Road,286.34213
AQRC,34,ATLANTIC CITY MUN,24.0,Road,354.16873
AQRC,34,ATLANTIC CITY MUN,25.0,Road,221.35547
AQRC,34,ATLANTIC CITY MUN,26.0,Road,330.61325
AQRC,34,ATLANTIC CITY MUN,27.0,Road,265.62656
AQRC,34,ATLANTIC CITY MUN,28.0,Road,153.52885
AQRC,34,ATLANTIC CITY MUN,29.0,Road,265.62656
AQRC,34,ATLANTIC CITY MUN,30.0,Road,265.62656
AQRC,34,ATLANTIC CITY MUN,31.0,Road,463.4265
AQRC,34,ATLANTIC CITY MUN,32.0,Road,398.43982
AQRC,34,ATLANTIC CITY MUN,33.0,Road,463.4265
AQRC,34,ATLANTIC CITY MUN,34.0,Road,0.0
AQRC,34,ATLANTIC CITY MUN,35.0,Road,265.62656
AQRC,34,ATLANTIC CITY MUN,36.0,Road,386.66208
AQRC,34,ATLANTIC CITY MUN,37.0,Road,64.98667
