CONUS: Movement Wait Times
ETPFDD<Integer>,RLN<RLN>,Virtual RLN<Virtual RLN>,Commodity<Commodity>,Category<Category>,Cargo ID<CargoID>,PAX<PAX>,STONS<STONS>,CBBLS<CBBLS>,Containers<Float>,RORO Vehicles<Float>,Lev 4 Items<Integer>,From<Node>,From Code<LocationCode>,To<Node>,To Code<LocationCode>,Ready Time<Time>,Mode Select Time<Time>,Start Onload Time<Time>,Done Onload Time<Time>,Depart Time<Time>,Arrive Time<Time>,Required Time<Time>,Wait Time<Time>,Travel Time<Time>,Previous Activity<String>,Req Mode<String>,Vehicle Mode<String>,Vehicle<String>,Num Vehicles<Float>,Distance (mi)<Float>,Vehicle ID<String>
1,1:00DDA,,Large Wheels,RORO,1:00DDA.R1D0002,0,9.5,0.0,0,1,1,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,19.0,19.0,,,19.000694,19.01146,25.0,6.942749E-4,0.010765076,Move Request,Rail,Road,organic,1.0,7.640991,
1,1:00DDA,,Large Wheels,RORO,1:00DDA.R1D0001,0,9.6,0.0,0,1,1,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,19.0,19.0,,,19.000694,19.01146,25.0,6.942749E-4,0.010765076,Move Request,Rail,Road,organic,1.0,7.640991,
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,5,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,22.381945,22.381945,23.881945,23.893055,25.0,2.3819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.11111111,7.640991,1146
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,8,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,21.881945,21.881945,23.881945,23.893055,25.0,1.8819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.17777778,7.640991,"1144, 1145"
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,28,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,21.881945,21.881945,23.881945,23.893055,25.0,1.8819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.62222224,7.640991,"1144, 1145"
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,28,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,21.881945,21.881945,23.881945,23.893055,25.0,1.8819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.62222224,7.640991,"1144, 1145"
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,3,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,21.881945,21.881945,23.881945,23.893055,25.0,1.8819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.06666667,7.640991,"1144, 1145"
1,1:00DDA,,PAX,PAX,1:00DDA.PAX,23,0.0,0.0,0,0,0,SHREVEPORT (VQHP) RTC,ORG,BARKSDALE AFB (AWUB) MAP,POE,20.0,20.0,21.881945,21.881945,23.881945,23.893055,25.0,1.8819447,0.011110306,Move Request,Rail,Road,Commercial Bus 45-pax,0.51111114,7.640991,"1144, 1145"
1,1:00DDC,,Mixed Container20,Container,1:00DDC.J3B0001 et al.,0,5.866667,0.0,1,0,0,FT POLK (HJVH) AIN,OIL,WILMINGTON (ZBES) PRT,POE,13.15,9.0,16.127777,16.13889,22.631945,25.06875,14.0,2.9777775,2.4368057,Road Offloading ,Rail,Rail,commercial medium railcar,0.33333334,1286.4362,92
1,1:00DDC,,Mixed Container20,Container,1:00DDC.J3B0001 et al.,0,5.866667,0.0,1,0,0,SHREVEPORT (VQHP) RTC,ORG,FT POLK (HJVH) AIN,OIL,9.0,9.0,10.881945,10.923959,12.923611,13.108334,14.0,1.8819447,0.1847229,Move Request,Road,Road,Commercial 10-Ton Tractor/Commercial Semitrailer,0.5,132.61179,1330
1,1:00DDC,,Mixed Container20,Container,1:00DDC.J3B0001 et al.,0,11.733334,0.0,2,0,0,FT POLK (HJVH) AIN,OIL,WILMINGTON (ZBES) PRT,POE,13.15,9.0,16.127777,16.13889,22.631945,25.06875,14.0,2.9777775,2.4368057,Road Offloading ,Rail,Rail,commercial medium railcar,0.6666667,1286.4362,92
1,1:00DDC,,Mixed Container20,Container,1:00DDC.J3B0001 et al.,0,11.733334,0.0,2,0,0,SHREVEPORT (VQHP) RTC,ORG,FT POLK (HJVH) AIN,OIL,9.0,9.0,10.881945,10.923959,12.923611,13.108334,14.0,1.8819447,0.1847229,Move Request,Road,Road,Commercial 10-Ton Tractor/Commercial Semitrailer,1.0,132.61179,1329
1,1:00DDC,,Small Wheels,RORO,1:00DDC.R2D0002,0,4.600006,0.0,0,1,1,FT POLK (HJVH) AIN,OIL,WILMINGTON (ZBES) PRT,POE,9.186111,9.0,9.360416,9.361111,9.5,11.936806,14.0,0.17430496,2.4368057,Road (Self) Enter Node,Rail,Rail,commercial medium railcar,0.33333334,1286.4362,12
1,1:00DDC,,Small Wheels,RORO,1:00DDC.R2D0002,0,4.600006,0.0,0,1,1,SHREVEPORT (VQHP) RTC,ORG,FT POLK (HJVH) AIN,OIL,9.0,9.0,,,9.001389,9.186111,14.0,0.0013885498,0.1847229,Move Request,Road,Road,organic,1.0,132.61179,
1,1:00DDC,,Small Wheels,RORO,1:00DDC.R2D0001,0,4.9,0.0,0,1,1,FT POLK (HJVH) AIN,OIL,WILMINGTON (ZBES) PRT,POE,9.185416,9.0,9.360416,9.361111,9.5,11.936806,14.0,0.17500019,2.4368057,Road (Self) Enter Node,Rail,Rail,commercial medium railcar,0.33333334,1286.4362,12
1,1:00DDC,,Small Wheels,RORO,1:00DDC.R2D0001,0,4.9,0.0,0,1,1,SHREVEPORT (VQHP) RTC,ORG,FT POLK (HJVH) AIN,OIL,9.0,9.0,,,9.000694,9.185416,14.0,6.942749E-4,0.18472195,Move Request,Road,Road,organic,1.0,132.61179,
