CONUS: Node Outload  amd Arrival by Rail
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
FT DIX (HEKP) AIN,9,Container,1.0,1.6,0.0,1,1,0,0.0,0
FT DIX (HEKP) AIN,10,Container,1.0,1.6,0.0,1,1,0,0.0,0
FT DIX (HEKP) AIN,11,Container,1.0,1.6,0.0,1,1,0,0.0,0
FT DIX (HEKP) AIN,12,Container,1.0,1.6,0.0,1,1,0,0.0,0
FT DIX (HEKP) AIN,13,Container,1.0,1.6,0.0,1,1,0,0.0,0
FT DIX (HEKP) AIN,14,Container,0.0,2.6,0.0,0,2,0,0.0,0
FT DIX (HEKP) AIN,15,Container,0.0,1.0,1.6,0,1,1,0.0,0
FT DIX (HEKP) AIN,16,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,17,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,18,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,19,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,20,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,21,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,22,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,23,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,24,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,25,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,26,Container,0.0,1.0,0.0,0,1,0,0.0,0
FT DIX (HEKP) AIN,27,Container,0.0,0.0,1.0,0,0,1,0.0,0
FT EUSTIS (HERT) AIN,9,RORO,0.0,248.10002,697.6,0,42,62,0.0,0
FT EUSTIS (HERT) AIN,10,RORO,0.0,248.10002,0.0,0,42,0,0.0,0
FT EUSTIS (HERT) AIN,11,RORO,0.0,27.8,220.3,0,12,30,0.0,0
FT EUSTIS (HERT) AIN,12,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,13,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,14,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,15,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,16,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,17,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,18,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,19,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,20,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,21,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,22,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,23,RORO,0.0,27.8,0.0,0,12,0,0.0,0
FT EUSTIS (HERT) AIN,24,RORO,0.0,0.0,27.8,0,0,12,0.0,0
WHITEMAN AFB (YWHG) MAP,23,Breakbulk,0.0,0.0,0.0,0,0,0,1.6,3
FT DIX (HEKP) AIN,9,Breakbulk,28.0,28.2,0.0,28,29,0,0.0,0
FT DIX (HEKP) AIN,10,Breakbulk,28.0,28.2,0.0,28,29,0,0.0,0
FT DIX (HEKP) AIN,11,Breakbulk,28.0,28.2,0.0,28,29,0,0.0,0
FT DIX (HEKP) AIN,12,Breakbulk,28.0,28.2,0.0,28,29,0,0.0,0
FT DIX (HEKP) AIN,13,Breakbulk,28.0,28.2,0.0,28,29,0,0.0,0
FT DIX (HEKP) AIN,14,Breakbulk,0.0,56.2,0.0,0,57,0,0.0,0
FT DIX (HEKP) AIN,15,Breakbulk,0.0,28.0,28.2,0,28,29,0.0,0
FT DIX (HEKP) AIN,16,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,17,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,18,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,19,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,20,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,21,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
FT DIX (HEKP) AIN,22,Breakbulk,0.0,28.0,0.0,0,28,0,0.0,0
