CONUS: Node Outload  amd Arrival by Road
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
HUNTER AAF (LEXG) MAP,13,PAX,0.0,0.0,0.0,0,0,0,166.0,0
HUNTER AAF (LEXG) MAP,21,PAX,0.0,0.0,0.0,0,0,0,2385.0,0
HUNTER AAF (LEXG) MAP,22,PAX,0.0,0.0,0.0,0,0,0,1996.0,0
HUNTER AAF (LEXG) MAP,23,PAX,0.0,0.0,0.0,0,0,0,3330.0,0
HUNTER AAF (LEXG) MAP,24,PAX,0.0,0.0,0.0,0,0,0,1305.0,0
HUNTER AAF (LEXG) MAP,26,PAX,0.0,0.0,0.0,0,0,0,1.0,0
HUNTER AAF (LEXG) MAP,33,PAX,0.0,0.0,0.0,0,0,0,100.0,0
HILL AFB (KRSM) MAP,20,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,21,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,22,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,23,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,24,PAX,0.0,0.0,12.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,25,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,26,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,27,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,28,PAX,0.0,12.0,0.0,0,0,0,0.0,0
HILL AFB (KRSM) MAP,29,PAX,0.0,0.0,12.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,9,Breakbulk,0.0,0.0,352.40002,0,0,52,0.0,0
FT HOOD (HFTZ) AIN,15,Breakbulk,0.0,0.0,88.09999,0,0,13,0.0,0
FT HOOD (HFTZ) AIN,16,Breakbulk,0.0,0.0,92.5,0,0,15,0.0,0
FT HOOD (HFTZ) AIN,18,Breakbulk,0.0,0.0,2.2,0,0,1,0.0,0
FT HOOD (HFTZ) AIN,9,RORO,0.0,1481.2001,15268.4,0,23,237,0.0,0
FT HOOD (HFTZ) AIN,10,RORO,0.0,1481.2001,0.0,0,23,0,0.0,0
FT HOOD (HFTZ) AIN,11,RORO,0.0,0.0,1481.2001,0,0,23,0.0,0
FT HOOD (HFTZ) AIN,15,RORO,0.0,0.0,4187.3994,0,0,65,0.0,0
FT HOOD (HFTZ) AIN,16,RORO,0.0,0.0,6623.401,0,0,133,0.0,0
FT HOOD (HFTZ) AIN,18,RORO,0.0,0.0,1273.1,0,0,35,0.0,0
MOREHEAD CITY (QTUP) PRT,11,RORO,0.0,0.0,0.0,0,0,0,6893.5996,107
MOREHEAD CITY (QTUP) PRT,13,RORO,0.0,0.0,0.0,0,0,0,1481.2001,23
MOREHEAD CITY (QTUP) PRT,18,RORO,0.0,0.0,0.0,0,0,0,1217.9999,34
SHREVEPORT (VQHP) RTC,9,Container,0.0,43.4,0.0,0,7,0,0.0,0
SHREVEPORT (VQHP) RTC,10,Container,0.0,43.4,0.0,0,7,0,0.0,0
SHREVEPORT (VQHP) RTC,11,Container,0.0,43.4,0.0,0,7,0,0.0,0
SHREVEPORT (VQHP) RTC,12,Container,0.0,0.0,43.4,0,0,7,0.0,0
FT HOOD (HFTZ) AIN,23,PAX,0.0,3.0,630.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,24,PAX,0.0,17.0,1803.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,25,PAX,0.0,17.0,0.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,26,PAX,0.0,0.0,17.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,30,PAX,0.0,11.0,810.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,31,PAX,0.0,1.0,2396.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,32,PAX,0.0,3.0,631.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,33,PAX,0.0,3.0,0.0,0,0,0,0.0,0
FT HOOD (HFTZ) AIN,34,PAX,0.0,0.0,3.0,0,0,0,0.0,0
WILMINGTON (ZBES) PRT,12,RORO,0.0,0.0,0.0,0,0,0,848.30005,91
WILMINGTON (ZBES) PRT,13,RORO,0.0,0.0,0.0,0,0,0,1119.1,222
WILMINGTON (ZBES) PRT,15,RORO,0.0,0.0,0.0,0,0,0,3.0,1
WILMINGTON (ZBES) PRT,18,RORO,0.0,0.0,0.0,0,0,0,283.1,46
FT EUSTIS (HERT) AIN,12,PAX,0.0,109.0,0.0,0,0,0,0.0,0
FT EUSTIS (HERT) AIN,13,PAX,0.0,109.0,0.0,0,0,0,0.0,0
FT EUSTIS (HERT) AIN,14,PAX,0.0,109.0,0.0,0,0,0,0.0,0
FT EUSTIS (HERT) AIN,15,PAX,0.0,109.0,0.0,0,0,0,0.0,0
FT EUSTIS (HERT) AIN,16,PAX,0.0,0.0,109.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,21,PAX,0.0,16.0,2385.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,22,PAX,0.0,22.0,1996.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,23,PAX,0.0,0.0,3330.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,24,PAX,0.0,1.0,1305.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,25,PAX,0.0,1.0,0.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,26,PAX,0.0,0.0,1.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,30,PAX,0.0,100.0,0.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,31,PAX,0.0,100.0,0.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,32,PAX,0.0,100.0,0.0,0,0,0,0.0,0
FT STEWART (HKUZ) AIN,33,PAX,0.0,0.0,100.0,0,0,0,0.0,0
MOUNTAIN HOME AFB (QYZH) MAP,25,PAX,0.0,0.0,0.0,0,0,0,12.0,0
MOUNTAIN HOME AFB (QYZH) MAP,30,PAX,0.0,0.0,0.0,0,0,0,12.0,0
FT BRAGG (HCTL) AIN,9,Container,0.0,34.5,44.600002,0,7,12,0.0,0
FT BRAGG (HCTL) AIN,10,Container,0.0,0.4,34.1,0,1,6,0.0,0
FT BRAGG (HCTL) AIN,11,Container,0.0,0.0,0.4,0,0,1,0.0,0
FT JACKSON (HGBZ) AIN,13,PAX,0.0,169.0,0.0,0,0,0,0.0,0
FT JACKSON (HGBZ) AIN,14,PAX,0.0,169.0,0.0,0,0,0,0.0,0
FT JACKSON (HGBZ) AIN,15,PAX,0.0,169.0,0.0,0,0,0,0.0,0
FT JACKSON (HGBZ) AIN,16,PAX,0.0,0.0,169.0,0,0,0,0.0,0
FT BLISS (HCRL) AIN,9,RORO,0.0,1131.4,0.0,0,137,0,0.0,0
FT BLISS (HCRL) AIN,10,RORO,0.0,283.1,848.30005,0,46,91,0.0,0
FT BLISS (HCRL) AIN,11,RORO,0.0,283.1,0.0,0,46,0,0.0,0
FT BLISS (HCRL) AIN,12,RORO,0.0,283.1,0.0,0,46,0,0.0,0
FT BLISS (HCRL) AIN,13,RORO,0.0,283.1,0.0,0,46,0,0.0,0
FT BLISS (HCRL) AIN,14,RORO,0.0,283.1,0.0,0,46,0,0.0,0
FT BLISS (HCRL) AIN,15,RORO,0.0,0.0,283.1,0,0,46,0.0,0
FT POLK (HJVH) AIN,9,Breakbulk,0.0,2.3,0.0,0,1,0,0.0,0
FT POLK (HJVH) AIN,10,Breakbulk,0.0,2.3,0.0,0,1,0,0.0,0
FT POLK (HJVH) AIN,11,Breakbulk,0.0,2.3,0.0,0,1,0,0.0,0
FT POLK (HJVH) AIN,12,Breakbulk,0.0,0.0,2.3,0,0,1,0.0,0
ALEXANDRIA INTL (GAMH) MAP,16,PAX,0.0,0.0,0.0,0,0,0,934.0,0
ALEXANDRIA INTL (GAMH) MAP,18,PAX,0.0,0.0,0.0,0,0,0,19.0,0
NEWPORT NEWS (RULV) PRT,11,Container,0.0,0.0,0.0,0,0,0,50.0,6
FT POLK (HJVH) AIN,14,PAX,0.0,169.0,0.0,0,0,0,0.0,0
FT POLK (HJVH) AIN,15,PAX,0.0,169.0,0.0,0,0,0,0.0,0
FT POLK (HJVH) AIN,16,PAX,0.0,19.0,934.0,0,0,0,0.0,0
FT POLK (HJVH) AIN,17,PAX,0.0,19.0,0.0,0,0,0,0.0,0
FT POLK (HJVH) AIN,18,PAX,0.0,0.0,19.0,0,0,0,0.0,0
MIRAMAR MCAS (QKJA) MAP,8,Breakbulk,0.0,0.0,0.0,0,0,0,0.5,0
EARLE NWS (FQZF) PRT,19,Container,0.0,0.0,0.0,0,0,0,50.0,6
EARLE NWS (FQZF) PRT,30,Container,0.0,0.0,0.0,0,0,0,375.0,42
EARLE NWS (FQZF) PRT,31,Container,0.0,0.0,0.0,0,0,0,375.0,42
EARLE NWS (FQZF) PRT,50,Container,0.0,0.0,0.0,0,0,0,375.0,42
EARLE NWS (FQZF) PRT,83,Container,0.0,0.0,0.0,0,0,0,450.0,50
EARLE NWS (FQZF) PRT,93,Container,0.0,0.0,0.0,0,0,0,450.0,50
EARLE NWS (FQZF) PRT,101,Container,0.0,0.0,0.0,0,0,0,450.0,50
EARLE NWS (FQZF) PRT,112,Container,0.0,0.0,0.0,0,0,0,50.0,6
EARLE NWS (FQZF) PRT,113,Container,0.0,0.0,0.0,0,0,0,450.0,50
EARLE NWS (FQZF) PRT,114,Container,0.0,0.0,0.0,0,0,0,1285.872,144
EARLE NWS (FQZF) PRT,116,Container,0.0,0.0,0.0,0,0,0,8.933497,1
EARLE NWS (FQZF) PRT,148,Container,0.0,0.0,0.0,0,0,0,498.24384,56
EARLE NWS (FQZF) PRT,165,Container,0.0,0.0,0.0,0,0,0,450.0,50
POPE AAF (TMKH) MAP,6,Breakbulk,0.0,0.0,0.0,0,0,0,125.70001,120
POPE AAF (TMKH) MAP,7,Breakbulk,0.0,0.0,0.0,0,0,0,4.300003,5
POPE AAF (TMKH) MAP,9,Breakbulk,0.0,0.0,0.0,0,0,0,49.6,47
POPE AAF (TMKH) MAP,10,Breakbulk,0.0,0.0,0.0,0,0,0,63.300003,61
POPE AAF (TMKH) MAP,11,Breakbulk,0.0,0.0,0.0,0,0,0,19.75,19
POPE AAF (TMKH) MAP,12,Breakbulk,0.0,0.0,0.0,0,0,0,1.65,0
POPE AAF (TMKH) MAP,13,Breakbulk,0.0,0.0,0.0,0,0,0,11.4,9
POPE AAF (TMKH) MAP,14,Breakbulk,0.0,0.0,0.0,0,0,0,55.5,51
POPE AAF (TMKH) MAP,15,Breakbulk,0.0,0.0,0.0,0,0,0,108.5,109
POPE AAF (TMKH) MAP,16,Breakbulk,0.0,0.0,0.0,0,0,0,60.800003,59
POPE AAF (TMKH) MAP,18,Breakbulk,0.0,0.0,0.0,0,0,0,0.1,1
FT POLK (HJVH) AIN,13,Container,0.0,0.0,0.0,0,0,0,43.4,7
MOREHEAD CITY (QTUP) PRT,9,Breakbulk,0.0,0.0,0.0,0,0,0,41.2,22
MOREHEAD CITY (QTUP) PRT,11,Breakbulk,0.0,0.0,0.0,0,0,0,178.49998,27
MOREHEAD CITY (QTUP) PRT,12,Breakbulk,0.0,0.0,0.0,0,0,0,30.3,29
MOREHEAD CITY (QTUP) PRT,13,Breakbulk,0.0,0.0,0.0,0,0,0,2.3,1
MOREHEAD CITY (QTUP) PRT,18,Breakbulk,0.0,0.0,0.0,0,0,0,2.2,1
MOREHEAD CITY (QTUP) PRT,11,Container,0.0,0.0,0.0,0,0,0,0.4,1
MOREHEAD CITY (QTUP) PRT,12,Container,0.0,0.0,0.0,0,0,0,1.0,1
SOUTHERN CALIFORN (HUUA) MAP,4,Breakbulk,0.0,0.5,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,5,Breakbulk,0.0,0.5,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,6,Breakbulk,0.0,0.5,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,7,Breakbulk,0.0,0.5,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,8,Breakbulk,0.0,0.0,0.5,0,0,0,0.0,0
MOUNTAIN HOME AFB (QYZH) MAP,24,Breakbulk,0.0,0.0,0.0,0,0,0,4.2,3
MOUNTAIN HOME AFB (QYZH) MAP,29,Breakbulk,0.0,0.0,0.0,0,0,0,4.2,3
HOLLOMAN AFB (KWRD) MAP,25,Breakbulk,0.0,8.1,0.0,0,9,0,0.0,0
HOLLOMAN AFB (KWRD) MAP,26,Breakbulk,0.0,0.0,8.1,0,0,9,0.0,0
BARKSDALE AFB (AWUB) MAP,23,PAX,0.0,0.0,0.0,0,0,0,95.0,0
SOUTHERN CALIFORN (HUUA) MAP,5,PAX,0.0,12.0,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,6,PAX,0.0,12.0,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,7,PAX,0.0,12.0,0.0,0,0,0,0.0,0
SOUTHERN CALIFORN (HUUA) MAP,8,PAX,0.0,0.0,12.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,32,Breakbulk,0.0,4.0,120.0,0,1,24,0.0,0
MECHANICSBURG (PVSD) STG,33,Breakbulk,0.0,4.0,0.0,0,1,0,0.0,0
MECHANICSBURG (PVSD) STG,34,Breakbulk,0.0,0.0,4.0,0,0,1,0.0,0
MECHANICSBURG (PVSD) STG,42,Breakbulk,0.0,4.0,120.0,0,1,24,0.0,0
MECHANICSBURG (PVSD) STG,43,Breakbulk,0.0,0.0,4.0,0,0,1,0.0,0
MECHANICSBURG (PVSD) STG,123,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,124,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,125,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,126,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,127,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,128,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,129,Breakbulk,0.0,0.552578,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,130,Breakbulk,0.0,1.6000004,0.39999962,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,131,Breakbulk,0.0,0.0,1.6000004,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,140,Breakbulk,0.0,1.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,141,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,142,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,143,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,144,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,145,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,146,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,147,Breakbulk,0.0,1.319788,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,148,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,149,Breakbulk,0.0,0.0,2.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,157,Breakbulk,0.0,1.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,158,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,159,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,160,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,161,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,162,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,163,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,164,Breakbulk,0.0,2.0,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,165,Breakbulk,0.0,1.7999992,0.20000076,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,166,Breakbulk,0.0,1.9008541,0.0,0,0,0,0.0,0
MECHANICSBURG (PVSD) STG,167,Breakbulk,0.0,0.0,1.9008541,0,0,0,0.0,0
NEWPORT (RUAM) PRT,18,Container,0.0,0.0,0.0,0,0,0,375.0,42
NEWPORT (RUAM) PRT,20,Container,0.0,0.0,0.0,0,0,0,107.14287,12
NEWPORT (RUAM) PRT,21,Container,0.0,0.0,0.0,0,0,0,375.0,42
NEWPORT (RUAM) PRT,22,Container,0.0,0.0,0.0,0,0,0,375.00006,42
NEWPORT (RUAM) PRT,23,Container,0.0,0.0,0.0,0,0,0,267.85715,30
NEWPORT (RUAM) PRT,24,Container,0.0,0.0,0.0,0,0,0,532.14294,60
NEWPORT (RUAM) PRT,25,Container,0.0,0.0,0.0,0,0,0,482.1428,54
NEWPORT (RUAM) PRT,26,Container,0.0,0.0,0.0,0,0,0,321.42856,36
NEWPORT (RUAM) PRT,27,Container,0.0,0.0,0.0,0,0,0,428.57144,48
NEWPORT (RUAM) PRT,28,Container,0.0,0.0,0.0,0,0,0,160.7143,18
NEWPORT (RUAM) PRT,29,Container,0.0,0.0,0.0,0,0,0,321.4286,36
NEWPORT (RUAM) PRT,31,Container,0.0,0.0,0.0,0,0,0,53.571434,6
NEWPORT (RUAM) PRT,36,Container,0.0,0.0,0.0,0,0,0,267.85718,30
NEWPORT (RUAM) PRT,37,Container,0.0,0.0,0.0,0,0,0,107.14287,12
NEWPORT (RUAM) PRT,39,Container,0.0,0.0,0.0,0,0,0,214.28572,24
NEWPORT (RUAM) PRT,40,Container,0.0,0.0,0.0,0,0,0,321.42862,36
NEWPORT (RUAM) PRT,41,Container,0.0,0.0,0.0,0,0,0,214.28574,24
NEWPORT (RUAM) PRT,42,Container,0.0,0.0,0.0,0,0,0,232.14288,26
NEWPORT (RUAM) PRT,43,Container,0.0,0.0,0.0,0,0,0,142.85716,16
NEWPORT (RUAM) PRT,44,Container,0.0,0.0,0.0,0,0,0,214.28574,24
NEWPORT (RUAM) PRT,45,Container,0.0,0.0,0.0,0,0,0,160.7143,18
NEWPORT (RUAM) PRT,46,Container,0.0,0.0,0.0,0,0,0,160.7143,18
NEWPORT (RUAM) PRT,47,Container,0.0,0.0,0.0,0,0,0,214.28574,24
NEWPORT (RUAM) PRT,48,Container,0.0,0.0,0.0,0,0,0,160.71431,18
NEWPORT (RUAM) PRT,49,Container,0.0,0.0,0.0,0,0,0,214.28574,24
NEWPORT (RUAM) PRT,52,Container,0.0,0.0,0.0,0,0,0,160.7143,18
NEWPORT (RUAM) PRT,53,Container,0.0,0.0,0.0,0,0,0,371.42862,42
NEWPORT (RUAM) PRT,54,Container,0.0,0.0,0.0,0,0,0,267.85718,30
NEWPORT (RUAM) PRT,55,Container,0.0,0.0,0.0,0,0,0,214.28575,24
NEWPORT (RUAM) PRT,56,Container,0.0,0.0,0.0,0,0,0,160.71431,18
NEWPORT (RUAM) PRT,57,Container,0.0,0.0,0.0,0,0,0,160.7143,18
NEWPORT (RUAM) PRT,58,Container,0.0,0.0,0.0,0,0,0,214.28574,24
NEWPORT (RUAM) PRT,59,Container,0.0,0.0,0.0,0,0,0,162.0,18
NEWPORT (RUAM) PRT,60,Container,0.0,0.0,0.0,0,0,0,504.0,56
NEWPORT (RUAM) PRT,61,Container,0.0,0.0,0.0,0,0,0,234.0,26
NEWPORT (RUAM) PRT,62,Container,0.0,0.0,0.0,0,0,0,108.0,12
NEWPORT (RUAM) PRT,63,Container,0.0,0.0,0.0,0,0,0,522.0,58
NEWPORT (RUAM) PRT,64,Container,0.0,0.0,0.0,0,0,0,270.0,30
NEWPORT (RUAM) PRT,65,Container,0.0,0.0,0.0,0,0,0,126.0,14
NEWPORT (RUAM) PRT,66,Container,0.0,0.0,0.0,0,0,0,468.0,52
NEWPORT (RUAM) PRT,67,Container,0.0,0.0,0.0,0,0,0,450.0,50
NEWPORT (RUAM) PRT,68,Container,0.0,0.0,0.0,0,0,0,306.0,34
NEWPORT (RUAM) PRT,70,Container,0.0,0.0,0.0,0,0,0,180.0,20
NEWPORT (RUAM) PRT,71,Container,0.0,0.0,0.0,0,0,0,450.0,50
NEWPORT (RUAM) PRT,72,Container,0.0,0.0,0.0,0,0,0,414.0,46
NEWPORT (RUAM) PRT,73,Container,0.0,0.0,0.0,0,0,0,482.0,54
NEWPORT (RUAM) PRT,74,Container,0.0,0.0,0.0,0,0,0,504.0,56
