CONUS: Node Outload  amd Arrival by organic
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
MOREHEAD CITY (QTUP) PRT,9,RORO,0.0,0.0,0.0,0,0,0,1983.5999,227
MOREHEAD CITY (QTUP) PRT,10,RORO,0.0,0.0,0.0,0,0,0,1.4,1
FT HOOD (HFTZ) AIN,9,Breakbulk,0.0,0.0,34.5,0,0,9,0.0,0
FT BENNING (HCML) AIN,9,RORO,0.0,0.0,2953.1,0,0,334,0.0,0
CHARLESTON (DKSD) PRT,9,Container,0.0,0.0,0.0,0,0,0,35.4,6
CHARLESTON (DKSD) PRT,10,Container,0.0,0.0,0.0,0,0,0,93.0,18
FT BRAGG (HCTL) AIN,4,RORO,0.0,9.800003,150.0,0,2,30,0.0,0
FT BRAGG (HCTL) AIN,5,RORO,0.0,0.0,9.800003,0,0,2,0.0,0
FT BRAGG (HCTL) AIN,6,RORO,0.0,12.199987,147.00002,0,4,30,0.0,0
FT BRAGG (HCTL) AIN,7,RORO,0.0,0.0,12.199987,0,0,4,0.0,0
FT BRAGG (HCTL) AIN,8,RORO,0.0,6.100006,144.0,0,1,30,0.0,0
FT BRAGG (HCTL) AIN,9,RORO,0.0,1.4,835.8,0,1,169,0.0,0
FT BRAGG (HCTL) AIN,10,RORO,0.0,0.0,25.699999,0,0,7,0.0,0
FT BRAGG (HCTL) AIN,11,RORO,0.0,0.0,190.7,0,0,39,0.0,0
FT BRAGG (HCTL) AIN,12,RORO,0.0,6.100006,144.0,0,1,30,0.0,0
FT BRAGG (HCTL) AIN,13,RORO,0.0,19.600006,0.0,0,4,0,0.0,0
FT BRAGG (HCTL) AIN,14,RORO,0.0,0.0,33.100006,0,0,8,0.0,0
FT BRAGG (HCTL) AIN,15,RORO,0.0,0.0,49.399998,0,0,12,0.0,0
FT BRAGG (HCTL) AIN,16,RORO,0.0,0.0,41.5,0,0,8,0.0,0
SHREVEPORT (VQHP) RTC,9,RORO,0.0,0.0,417.39993,0,0,82,0.0,0
SHREVEPORT (VQHP) RTC,19,RORO,0.0,0.0,19.1,0,0,2,0.0,0
FT POLK (HJVH) AIN,9,RORO,0.0,0.0,0.0,0,0,0,417.39993,82
CHARLESTON (DKSD) PRT,9,RORO,0.0,0.0,0.0,0,0,0,1025.2,204
CHARLESTON (DKSD) PRT,10,RORO,0.0,0.0,0.0,0,0,0,10339.301,843
CHARLESTON (DKSD) PRT,11,RORO,0.0,0.0,0.0,0,0,0,4085.9,312
POPE AAF (TMKH) MAP,4,RORO,0.0,0.0,0.0,0,0,0,150.0,30
POPE AAF (TMKH) MAP,5,RORO,0.0,0.0,0.0,0,0,0,9.800003,2
POPE AAF (TMKH) MAP,6,RORO,0.0,0.0,0.0,0,0,0,147.00002,30
POPE AAF (TMKH) MAP,7,RORO,0.0,0.0,0.0,0,0,0,12.199987,4
POPE AAF (TMKH) MAP,8,RORO,0.0,0.0,0.0,0,0,0,144.0,30
POPE AAF (TMKH) MAP,9,RORO,0.0,0.0,0.0,0,0,0,63.700005,13
POPE AAF (TMKH) MAP,10,RORO,0.0,0.0,0.0,0,0,0,24.3,6
POPE AAF (TMKH) MAP,11,RORO,0.0,0.0,0.0,0,0,0,190.7,39
POPE AAF (TMKH) MAP,12,RORO,0.0,0.0,0.0,0,0,0,144.0,30
POPE AAF (TMKH) MAP,14,RORO,0.0,0.0,0.0,0,0,0,33.100006,8
POPE AAF (TMKH) MAP,15,RORO,0.0,0.0,0.0,0,0,0,49.399998,12
POPE AAF (TMKH) MAP,16,RORO,0.0,0.0,0.0,0,0,0,41.5,8
CHARLESTON (DKSD) PRT,10,Breakbulk,0.0,0.0,0.0,0,0,0,34.5,9
FT HOOD (HFTZ) AIN,9,Container,0.0,0.0,93.0,0,0,18,0.0,0
BARKSDALE AFB (AWUB) MAP,18,PAX,0.0,0.0,0.0,0,0,0,9.0,0
BARKSDALE AFB (AWUB) MAP,19,PAX,0.0,0.0,0.0,0,0,0,152.0,0
FT STEWART (HKUZ) AIN,9,Container,0.0,0.0,35.4,0,0,6,0.0,0
FT STEWART (HKUZ) AIN,9,RORO,0.0,0.0,414.99994,0,0,78,0.0,0
WILMINGTON (ZBES) PRT,9,RORO,0.0,0.0,0.0,0,0,0,762.8001,90
WILMINGTON (ZBES) PRT,10,RORO,0.0,0.0,0.0,0,0,0,368.59998,47
SHREVEPORT (VQHP) RTC,17,PAX,0.0,9.0,0.0,0,0,0,0.0,0
SHREVEPORT (VQHP) RTC,18,PAX,0.0,0.0,9.0,0,0,0,0.0,0
SHREVEPORT (VQHP) RTC,19,PAX,0.0,0.0,152.0,0,0,0,0.0,0
BARKSDALE AFB (AWUB) MAP,19,RORO,0.0,0.0,0.0,0,0,0,19.1,2
FT HOOD (HFTZ) AIN,9,RORO,0.0,0.0,14425.203,0,0,1155,0.0,0
