RLN Outload Times
RLN<>,Virtual RLN<>,GEOLOC<>,ROAD ARRIVE<Float>,ROAD OUTLOAD<Float>,ROAD DEPART<Float>,RAIL ARRIVE<Float>,RAIL OUTLOAD<Float>,RAIL DEPART<Float>,SHIP ARRIVE<Float>,SHIP OUTLOAD<Float>,SHIP DEPART<Float>,PIPE ARRIVE<Float>,PIPE OUTLOAD<Float>,PIPE DEPART<Float>,AIR ARRIVE<Float>,AIR OUTLOAD<Float>,AIR DEPART<Float>
1:0000000,,PVSD,0.05,9.335417,9.385417,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000000,,BQWK,27.920834,0.30208397,28.222918,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000000,,RRRK,0.0,-1.0,0.0,0.0,-1.0,0.0,9.640972,7.401388,17.04236,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000000,,VKNP,26.759722,0.8208332,27.580555,0.0,-1.0,0.0,26.759722,0.08333397,26.843056,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000001,,FJXT,6.0875,1.7479167,7.835417,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000001,,HNTK,8.294792,1.0302076,9.325,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000001,,BQWK,9.961111,0.041666985,10.002778,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000002,,FJXT,6.0055556,2.8298612,8.835417,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000002,,HNTK,8.294792,2.03125,10.326042,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000002,,BQWK,9.961111,1.0430555,11.004167,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000003,,PVSD,2.05,8.800694,10.850695,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000003,,SEA1,0.0,-1.0,0.0,0.0,-1.0,0.0,26.538195,0.0027770996,26.540972,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000003,,RULV,0.0,-1.0,0.0,0.0,-1.0,0.0,11.281944,5.010416,16.29236,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000004,,PVSD,10.0,0.63611126,10.636111,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000004,,BQWK,28.18125,0.42569542,28.606945,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000004,,RRRK,0.0,-1.0,0.0,0.0,-1.0,0.0,10.891666,6.150694,17.04236,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000004,,VKNP,0.0,-1.0,0.0,0.0,-1.0,0.0,26.759722,0.08333397,26.843056,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000005,,FJXT,12.3972225,1.5118055,13.909028,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000005,,HNTK,14.36875,1.4541674,15.822917,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000005,,BQWK,15.961805,0.53888893,16.500694,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000006,,FJXT,13.731944,1.1659727,14.897917,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000006,,HNTK,15.295139,1.03125,16.32639,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000006,,BQWK,16.459028,0.5447922,17.00382,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000009,,PVSD,14.0,0.635417,14.635417,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000009,,BQWK,28.946527,0.56111145,29.507639,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000009,,RRRK,0.0,-1.0,0.0,0.0,-1.0,0.0,14.890972,2.1513882,17.04236,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000009,,VKNP,0.0,-1.0,0.0,0.0,-1.0,0.0,26.759722,0.08333397,26.843056,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000010,,FJXT,23.588888,2.8298626,26.41875,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000010,,HNTK,26.878471,1.552084,28.430555,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000010,,BQWK,28.584723,0.52361107,29.108334,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000011,,FJXT,23.506945,3.3833332,26.890278,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000011,,HNTK,26.878471,2.7041683,29.58264,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000011,,BQWK,29.066668,1.1937485,30.260416,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000013,,PVSD,17.0,0.625,17.625,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000013,,RUAM,18.127083,0.37291718,18.5,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000013,,BQWK,29.465973,0.85972214,30.325695,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000013,,VKNP,26.904167,2.340971,29.245138,0.0,-1.0,0.0,26.904167,0.08333206,26.9875,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000014,,FJXT,28.0875,2.177084,30.264584,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000014,,HNTK,30.598612,1.854166,32.452778,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000014,,BQWK,32.055904,1.0753441,33.13125,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000015,,FJXT,28.005556,3.4229164,31.428473,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000015,,HNTK,31.58125,1.7770844,33.358334,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000015,,BQWK,33.08889,0.9479141,34.036804,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000017,,PVSD,18.0,1.791666,19.791666,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000017,,SEA1,0.0,-1.0,0.0,0.0,-1.0,0.0,30.791666,0.040973663,30.83264,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000017,,FQZF,19.995832,1.9208336,21.916666,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000018,,PVSD,20.0,0.61354256,20.613543,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000018,,RUAM,20.794445,3.288889,24.083334,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000018,,BQWK,34.180904,0.49409485,34.675,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000018,,VKNP,32.831944,1.1472244,33.979168,0.0,-1.0,0.0,32.831944,0.08298874,32.914932,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000019,,FJXT,30.588194,1.3944454,31.98264,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
1:0000019,,HNTK,32.33125,1.3979187,33.729168,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0
