Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
eleven,commercial medium railcar,0,279
eleven,commercial medium railcar,1,139
eleven,commercial medium railcar,2,95
eleven,commercial medium railcar,3,18
eleven,commercial medium railcar,4,12
eleven,commercial medium railcar,5,19
eleven,commercial medium railcar,6,8
eleven,commercial medium railcar,7,8
eleven,commercial medium railcar,8,8
eleven,commercial medium railcar,9,1448
eleven,commercial medium railcar,10,1083
eleven,commercial medium railcar,11,680
eleven,commercial medium railcar,12,663
eleven,commercial medium railcar,13,565
eleven,commercial medium railcar,14,439
eleven,commercial medium railcar,15,493
eleven,commercial medium railcar,16,481
eleven,commercial medium railcar,17,355
eleven,commercial medium railcar,18,342
eleven,commercial medium railcar,19,360
eleven,commercial medium railcar,20,408
eleven,commercial medium railcar,21,371
eleven,commercial medium railcar,22,283
eleven,commercial medium railcar,23,193
eleven,commercial medium railcar,24,344
eleven,commercial medium railcar,25,335
eleven,commercial medium railcar,26,252
eleven,commercial medium railcar,27,175
eleven,commercial medium railcar,28,116
eleven,commercial medium railcar,29,68
eleven,commercial medium railcar,30,44
eleven,commercial medium railcar,31,1
eleven,commercial medium railcar,32,1
eleven,commercial medium railcar,33,1
eleven,commercial medium railcar,34,1
eleven,commercial medium railcar,35,1
eleven,commercial medium railcar,36,1
eleven,commercial medium railcar,37,1
eleven,commercial medium railcar,38,1
eleven,commercial medium railcar,39,1
eleven,commercial medium railcar,40,1
eleven,commercial medium railcar,41,1
eleven,commercial medium railcar,42,1
eleven,commercial medium railcar,43,1
eleven,commercial medium railcar,44,1
eleven,commercial medium railcar,45,1
eleven,commercial medium railcar,46,1
eleven,commercial medium railcar,47,1
eleven,commercial medium railcar,48,1
eleven,commercial medium railcar,49,1
eleven,commercial medium railcar,50,1
eleven,commercial medium railcar,51,1
eleven,commercial medium railcar,52,1
eleven,commercial medium railcar,53,1
eleven,commercial medium railcar,54,1
eleven,commercial medium railcar,55,1
eleven,commercial medium railcar,56,1
eleven,commercial medium railcar,57,1
eleven,commercial medium railcar,58,1
eleven,commercial medium railcar,59,1
eleven,commercial medium railcar,60,1
eleven,commercial medium railcar,61,1
eleven,commercial medium railcar,62,1
eleven,commercial medium railcar,63,1
eleven,commercial medium railcar,64,1
eleven,commercial medium railcar,65,1
eleven,commercial medium railcar,66,1
eleven,commercial medium railcar,67,1
eleven,commercial medium railcar,68,1
eleven,commercial medium railcar,69,1
eleven,commercial medium railcar,70,1
eleven,commercial medium railcar,71,1
eleven,commercial medium railcar,72,1
eleven,commercial medium railcar,73,1
eleven,commercial medium railcar,74,1
eleven,commercial medium railcar,75,1
eleven,commercial medium railcar,76,1
eleven,commercial medium railcar,77,1
eleven,commercial medium railcar,78,1
eleven,commercial medium railcar,79,1
eleven,commercial medium railcar,80,1
eleven,commercial medium railcar,81,1
eleven,commercial medium railcar,82,1
eleven,commercial medium railcar,83,1
eleven,commercial medium railcar,84,1
eleven,commercial medium railcar,85,1
eleven,commercial medium railcar,86,1
eleven,commercial medium railcar,87,1
eleven,commercial medium railcar,88,1
eleven,commercial medium railcar,89,1
eleven,commercial medium railcar,90,1
eleven,commercial medium railcar,91,1
eleven,commercial medium railcar,92,1
eleven,commercial medium railcar,93,1
eleven,commercial medium railcar,94,1
eleven,commercial medium railcar,95,1
eleven,commercial medium railcar,96,1
eleven,commercial medium railcar,97,1
eleven,commercial medium railcar,98,1
eleven,commercial medium railcar,99,1
eleven,commercial medium railcar,100,1
eleven,commercial medium railcar,101,1
eleven,commercial medium railcar,102,1
eleven,commercial medium railcar,103,1
eleven,commercial medium railcar,104,1
eleven,commercial medium railcar,105,1
eleven,commercial medium railcar,106,1
eleven,commercial medium railcar,107,1
eleven,commercial medium railcar,108,1
eleven,commercial medium railcar,109,1
eleven,commercial medium railcar,110,1
eleven,commercial medium railcar,111,1
eleven,commercial medium railcar,112,1
eleven,commercial medium railcar,113,1
eleven,commercial medium railcar,114,1
eleven,commercial medium railcar,115,1
eleven,commercial medium railcar,116,1
eleven,commercial medium railcar,117,1
eleven,commercial medium railcar,118,1
eleven,commercial medium railcar,119,1
eleven,commercial medium railcar,120,1
eleven,commercial medium railcar,121,1
eleven,commercial medium railcar,122,1
eleven,commercial medium railcar,123,1
eleven,commercial medium railcar,124,1
eleven,commercial medium railcar,125,1
eleven,commercial medium railcar,126,1
eleven,commercial medium railcar,127,1
eleven,commercial medium railcar,128,1
eleven,commercial medium railcar,129,1
eleven,commercial medium railcar,130,1
eleven,commercial medium railcar,131,1
eleven,commercial medium railcar,132,1
eleven,commercial medium railcar,133,1
eleven,commercial medium railcar,134,1
eleven,commercial medium railcar,135,1
eleven,commercial medium railcar,136,1
eleven,commercial medium railcar,137,1
eleven,commercial medium railcar,138,1
eleven,commercial medium railcar,139,1
eleven,commercial medium railcar,140,1
eleven,commercial medium railcar,141,1
eleven,commercial medium railcar,142,1
eleven,commercial medium railcar,143,1
eleven,commercial medium railcar,144,1
eleven,commercial medium railcar,145,1
eleven,commercial medium railcar,146,1
eleven,commercial medium railcar,147,1
eleven,commercial medium railcar,148,1
eleven,commercial medium railcar,149,1
eleven,commercial medium railcar,150,1
eleven,commercial medium railcar,151,1
eleven,commercial medium railcar,152,1
eleven,commercial medium railcar,153,1
eleven,commercial medium railcar,154,1
eleven,commercial medium railcar,155,1
eleven,commercial medium railcar,156,1
eleven,commercial medium railcar,157,1
eleven,commercial medium railcar,158,1
eleven,commercial medium railcar,159,1
eleven,commercial medium railcar,160,1
eleven,commercial medium railcar,161,1
eleven,commercial medium railcar,162,1
eleven,commercial medium railcar,163,1
eleven,commercial medium railcar,164,1
eleven,commercial medium railcar,165,1
eleven,commercial medium railcar,166,1
eleven,commercial medium railcar,167,1
eleven,commercial medium railcar,168,1
eleven,commercial medium railcar,169,1
eleven,commercial medium railcar,170,1
eleven,commercial medium railcar,171,1
eleven,commercial medium railcar,172,1
eleven,commercial medium railcar,173,1
eleven,commercial medium railcar,174,1
eleven,commercial medium railcar,175,1
eleven,commercial medium railcar,176,1
eleven,commercial medium railcar,177,1
eleven,commercial medium railcar,178,1
eleven,commercial medium railcar,179,1
eleven,commercial medium railcar,180,1
eleven,commercial medium railcar,181,0
ten,commercial boxcar,0,12
ten,commercial boxcar,1,12
ten,commercial boxcar,2,12
ten,commercial boxcar,3,0
ten,commercial boxcar,4,0
ten,commercial boxcar,5,0
ten,commercial boxcar,6,0
ten,commercial boxcar,7,0
ten,commercial boxcar,8,0
ten,commercial boxcar,9,21
ten,commercial boxcar,10,26
ten,commercial boxcar,11,26
ten,commercial boxcar,12,25
ten,commercial boxcar,13,73
ten,commercial boxcar,14,36
ten,commercial boxcar,15,36
ten,commercial boxcar,16,31
ten,commercial boxcar,17,31
ten,commercial boxcar,18,31
ten,commercial boxcar,19,31
ten,commercial boxcar,20,51
ten,commercial boxcar,21,61
ten,commercial boxcar,22,9
ten,commercial boxcar,23,73
ten,commercial boxcar,24,9
ten,commercial boxcar,25,9
ten,commercial boxcar,26,9
ten,commercial boxcar,27,9
ten,commercial boxcar,28,9
ten,commercial boxcar,29,9
ten,commercial boxcar,30,0
ten,commercial boxcar,31,0
ten,commercial boxcar,32,0
ten,commercial boxcar,33,0
ten,commercial boxcar,34,0
ten,commercial boxcar,35,0
ten,commercial boxcar,36,0
ten,commercial boxcar,37,0
ten,commercial boxcar,38,0
ten,commercial boxcar,39,0
ten,commercial boxcar,40,0
ten,commercial boxcar,41,0
ten,commercial boxcar,42,0
ten,commercial boxcar,43,0
ten,commercial boxcar,44,0
ten,commercial boxcar,45,0
ten,commercial boxcar,46,0
ten,commercial boxcar,47,0
ten,commercial boxcar,48,0
ten,commercial boxcar,49,0
ten,commercial boxcar,50,0
ten,commercial boxcar,51,0
ten,commercial boxcar,52,0
ten,commercial boxcar,53,0
ten,commercial boxcar,54,0
ten,commercial boxcar,55,0
ten,commercial boxcar,56,0
ten,commercial boxcar,57,0
ten,commercial boxcar,58,0
ten,commercial boxcar,59,0
ten,commercial boxcar,60,0
ten,commercial boxcar,61,0
ten,commercial boxcar,62,0
ten,commercial boxcar,63,0
ten,commercial boxcar,64,0
ten,commercial boxcar,65,0
ten,commercial boxcar,66,0
ten,commercial boxcar,67,0
ten,commercial boxcar,68,0
ten,commercial boxcar,69,0
ten,commercial boxcar,70,0
ten,commercial boxcar,71,0
ten,commercial boxcar,72,0
ten,commercial boxcar,73,0
ten,commercial boxcar,74,0
ten,commercial boxcar,75,0
ten,commercial boxcar,76,0
ten,commercial boxcar,77,0
ten,commercial boxcar,78,0
