Vehicle Type Payloads in CONUS
Vehicle Type<String>,Time<Day>,Num<Integer>,Ave % Payload<Float>,Max % Payload<Float>,Ave % Payload Area<Float>
54DODX,9,65,9.584617,16.636362,315.41937
54DODX,10,30,4.5454545,4.5454545,86.98435
54DODX,11,58,17.996864,37.81818,370.90256
54DODX,12,92,15.482212,37.81818,364.56412
54DODX,15,90,16.216162,37.81818,377.02496
54DODX,16,51,7.579323,11.909092,187.41362
54DODX,17,66,15.356749,26.90909,374.33676
54DODX,18,37,12.189188,19.727272,356.83572
54DODX,19,22,11.586777,11.909091,317.44507
54DODX,20,30,11.363636,11.363636,307.2
54DODX,21,106,15.788163,37.81818,380.86563
54DODX,22,29,10.347963,12.545455,344.80554
54DODX,23,37,7.6240788,16.181818,165.57124
54DODX,24,45,9.660605,17.545454,261.0866
54DODX,25,39,12.006992,21.272728,323.03952
54DODX,26,39,15.7832155,26.90909,344.945
54DODX,27,13,22.545454,23.818182,469.91843
54DODX,28,4,15.863637,17.363638,411.13043
54DODX,29,21,14.233767,19.818182,358.62262
54DODX,34,1,8.181818,8.181818,313.87827
68FLAT,8,2,12.2,12.2,370.4
68FLAT,10,133,4.9481206,7.6,148.71819
68FLAT,11,84,7.495341,21.8,167.83237
68FLAT,12,122,6.526978,17.9,185.46362
68FLAT,13,75,5.0,5.0,159.68
68FLAT,14,50,4.9599996,21.8,204.27199
68FLAT,15,70,5.917143,21.8,233.56343
68FLAT,18,3,6.1666665,12.2,185.06667
68FLAT,19,35,6.174286,15.5,208.384
68FLAT,20,35,3.5628572,6.7,176.87772
68FLAT,22,43,9.746512,15.5,255.1814
68FLAT,23,3,1.7999998,3.6,161.06667
68FLAT,24,25,3.0879998,3.7,215.42398
68FLAT,25,75,4.681333,17.9,144.46933
68FLAT,27,36,5.769883,5.9473686,5.013325
68FLAT,28,22,5.947368,5.9473686,0.0
68FLAT,29,57,4.6369343,5.9473686,121.71228
68FLAT,30,10,4.0,4.0,172.8
68FLAT,31,6,4.0,4.0,172.8
Commercial 10-Ton Tractor/Commercial Semitrailer,5,7,59.52381,64.00001,69.75446
Commercial 10-Ton Tractor/Commercial Semitrailer,6,14,31.928572,40.0,73.20982
Commercial 10-Ton Tractor/Commercial Semitrailer,7,1,14.3333435,14.3333435,33.8125
Commercial 10-Ton Tractor/Commercial Semitrailer,8,1,1.6666666,1.6666666,20.625
Commercial 10-Ton Tractor/Commercial Semitrailer,9,76,40.026318,59.523808,43.219162
Commercial 10-Ton Tractor/Commercial Semitrailer,10,33,52.767673,59.523808,13.787879
Commercial 10-Ton Tractor/Commercial Semitrailer,11,15,19.833334,40.0,45.397915
Commercial 10-Ton Tractor/Commercial Semitrailer,12,9,36.055557,64.00001,29.791666
Commercial 10-Ton Tractor/Commercial Semitrailer,13,6,48.0,64.0,71.015625
Commercial 10-Ton Tractor/Commercial Semitrailer,14,30,51.222225,59.523808,15.010417
Commercial 10-Ton Tractor/Commercial Semitrailer,15,11,32.87879,40.0,69.744316
Commercial 10-Ton Tractor/Commercial Semitrailer,16,6,33.77778,40.0,76.354164
Commercial 10-Ton Tractor/Commercial Semitrailer,17,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,18,1,0.33333334,0.33333334,0.625
Commercial 10-Ton Tractor/Commercial Semitrailer,19,3,55.555553,55.555553,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,20,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,21,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,22,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,23,35,59.523815,64.00001,27.901789
Commercial 10-Ton Tractor/Commercial Semitrailer,24,24,59.027782,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,25,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,26,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,27,28,59.523808,64.00001,17.438616
Commercial 10-Ton Tractor/Commercial Semitrailer,29,18,59.523808,59.523808,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,30,35,59.523815,64.00001,27.901789
Commercial 10-Ton Tractor/Commercial Semitrailer,31,24,59.523815,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,32,33,57.215008,64.00001,31.13731
Commercial 10-Ton Tractor/Commercial Semitrailer,33,24,59.523815,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,34,15,56.444443,64.00001,66.6125
Commercial 10-Ton Tractor/Commercial Semitrailer,35,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,36,35,59.523815,64.00001,27.901787
Commercial 10-Ton Tractor/Commercial Semitrailer,39,35,59.523815,64.00001,27.901787
Commercial 10-Ton Tractor/Commercial Semitrailer,40,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,41,14,59.52381,64.00001,69.75447
Commercial 10-Ton Tractor/Commercial Semitrailer,42,29,56.896553,59.52381,18.59483
Commercial 10-Ton Tractor/Commercial Semitrailer,43,7,61.42857,64.00001,72.98661
Commercial 10-Ton Tractor/Commercial Semitrailer,44,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,45,14,59.52381,64.00001,69.75447
Commercial 10-Ton Tractor/Commercial Semitrailer,46,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,48,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,49,14,59.52381,64.00001,69.75447
Commercial 10-Ton Tractor/Commercial Semitrailer,50,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,52,28,59.523808,64.00001,17.438616
Commercial 10-Ton Tractor/Commercial Semitrailer,53,24,59.027782,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,54,7,59.52381,64.00001,69.75446
Commercial 10-Ton Tractor/Commercial Semitrailer,55,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,56,7,59.52381,64.00001,69.75446
Commercial 10-Ton Tractor/Commercial Semitrailer,57,21,59.52381,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,58,7,59.52381,64.00001,69.75446
Commercial 10-Ton Tractor/Commercial Semitrailer,59,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,60,32,59.895832,64.00001,15.258789
Commercial 10-Ton Tractor/Commercial Semitrailer,62,39,59.829063,64.00001,25.040068
Commercial 10-Ton Tractor/Commercial Semitrailer,63,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,65,32,59.895832,64.00001,15.258789
Commercial 10-Ton Tractor/Commercial Semitrailer,66,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,67,32,59.895832,64.00001,15.258789
Commercial 10-Ton Tractor/Commercial Semitrailer,69,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,70,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,71,33,55.555557,64.00001,11.837121
Commercial 10-Ton Tractor/Commercial Semitrailer,72,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,73,28,59.523808,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,74,33,55.555557,64.00001,11.837121
Commercial 10-Ton Tractor/Commercial Semitrailer,76,35,56.038097,64.00001,15.446428
Commercial 10-Ton Tractor/Commercial Semitrailer,77,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,78,27,56.987656,60.0,1.6782404
Commercial 10-Ton Tractor/Commercial Semitrailer,79,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,80,35,56.038097,64.00001,15.446428
Commercial 10-Ton Tractor/Commercial Semitrailer,82,35,53.485725,64.00001,12.455358
Commercial 10-Ton Tractor/Commercial Semitrailer,83,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,84,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,85,29,57.471268,64.00001,6.734914
Commercial 10-Ton Tractor/Commercial Semitrailer,86,28,59.523808,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,87,10,46.13334,64.00001,54.0625
Commercial 10-Ton Tractor/Commercial Semitrailer,88,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,89,35,53.485725,64.00001,12.455358
Commercial 10-Ton Tractor/Commercial Semitrailer,90,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,91,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,93,35,56.038097,64.00001,15.446428
Commercial 10-Ton Tractor/Commercial Semitrailer,94,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,95,35,57.142857,64.00001,16.741072
Commercial 10-Ton Tractor/Commercial Semitrailer,96,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,97,27,56.987656,60.0,1.6782404
Commercial 10-Ton Tractor/Commercial Semitrailer,99,35,56.038097,64.00001,15.446428
Commercial 10-Ton Tractor/Commercial Semitrailer,100,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,101,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,102,31,55.01075,64.00001,7.7620964
Commercial 10-Ton Tractor/Commercial Semitrailer,103,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,104,29,57.471268,64.00001,6.734914
Commercial 10-Ton Tractor/Commercial Semitrailer,105,35,57.142857,64.00001,16.741072
Commercial 10-Ton Tractor/Commercial Semitrailer,107,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,108,29,57.471268,64.00001,6.734914
Commercial 10-Ton Tractor/Commercial Semitrailer,109,31,59.139782,64.00001,12.600806
Commercial 10-Ton Tractor/Commercial Semitrailer,110,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,112,38,56.0,64.00001,14.226974
Commercial 10-Ton Tractor/Commercial Semitrailer,113,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,114,86,57.80385,64.00001,9.332634
Commercial 10-Ton Tractor/Commercial Semitrailer,116,1,29.778324,29.778324,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,117,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,118,10,46.13334,64.00001,54.0625
Commercial 10-Ton Tractor/Commercial Semitrailer,119,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,120,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,121,31,55.01075,64.00001,7.762097
Commercial 10-Ton Tractor/Commercial Semitrailer,122,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,123,25,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,124,8,41.666668,64.00001,48.828125
Commercial 10-Ton Tractor/Commercial Semitrailer,125,28,59.523808,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,126,25,60.0,60.0,0.0
