Rail Use
Time<Day>,Asset Pool<String>,Capacity<Float>,InUse<Float>,Available<Float>,Utilization<Percent>
0.0,one,630.0,0.0,630.0,0.0
1.0,one,630.0,0.0,630.0,0.0
2.0,one,630.0,0.0,630.0,0.0
3.0,one,630.0,0.0,630.0,0.0
4.0,one,630.0,0.0,630.0,0.0
5.0,one,630.0,0.0,630.0,0.0
6.0,one,630.0,0.0,630.0,0.0
7.0,one,630.0,0.0,630.0,0.0
8.0,one,630.0,0.0,630.0,0.0
9.0,one,630.0,630.0,0.0,1.0
10.0,one,630.0,630.0,0.0,1.0
11.0,one,630.0,630.0,0.0,1.0
12.0,one,630.0,630.0,0.0,1.0
13.0,one,630.0,630.0,0.0,1.0
14.0,one,630.0,630.0,0.0,1.0
15.0,one,720.0,720.0,0.0,1.0
16.0,one,720.0,720.0,0.0,1.0
17.0,one,720.0,720.0,0.0,1.0
18.0,one,720.0,720.0,0.0,1.0
19.0,one,720.0,720.0,0.0,1.0
20.0,one,720.0,720.0,0.0,1.0
21.0,one,720.0,720.0,0.0,1.0
22.0,one,720.0,720.0,0.0,1.0
23.0,one,720.0,720.0,0.0,1.0
24.0,one,720.0,720.0,0.0,1.0
25.0,one,720.0,720.0,0.0,1.0
26.0,one,720.0,714.0,6.0,0.9916667
27.0,one,720.0,657.0,63.0,0.9125
28.0,one,720.0,648.0,72.0,0.9
29.0,one,720.0,614.0,106.0,0.8527778
30.0,one,720.0,558.0,162.0,0.775
31.0,one,720.0,527.0,193.0,0.73194444
32.0,one,720.0,387.0,333.0,0.5375
33.0,one,720.0,321.0,399.0,0.44583333
34.0,one,720.0,286.0,434.0,0.39722222
35.0,one,720.0,185.0,535.0,0.25694445
36.0,one,720.0,69.0,651.0,0.09583333
37.0,one,720.0,59.0,661.0,0.08194444
38.0,one,720.0,49.0,671.0,0.068055555
39.0,one,720.0,36.0,684.0,0.05
40.0,one,720.0,36.0,684.0,0.05
41.0,one,720.0,25.0,695.0,0.034722224
42.0,one,720.0,25.0,695.0,0.034722224
43.0,one,720.0,17.0,703.0,0.023611112
44.0,one,720.0,16.0,704.0,0.022222223
45.0,one,720.0,6.0,714.0,0.008333334
46.0,one,720.0,6.0,714.0,0.008333334
47.0,one,720.0,5.0,715.0,0.0069444445
48.0,one,720.0,3.0,717.0,0.004166667
49.0,one,720.0,3.0,717.0,0.004166667
50.0,one,720.0,3.0,717.0,0.004166667
51.0,one,720.0,0.0,720.0,0.0
52.0,one,720.0,0.0,720.0,0.0
53.0,one,720.0,0.0,720.0,0.0
54.0,one,720.0,0.0,720.0,0.0
55.0,one,720.0,0.0,720.0,0.0
56.0,one,720.0,0.0,720.0,0.0
57.0,one,720.0,0.0,720.0,0.0
58.0,one,720.0,0.0,720.0,0.0
59.0,one,720.0,0.0,720.0,0.0
60.0,one,720.0,0.0,720.0,0.0
61.0,one,720.0,0.0,720.0,0.0
62.0,one,720.0,0.0,720.0,0.0
63.0,one,720.0,0.0,720.0,0.0
64.0,one,720.0,0.0,720.0,0.0
65.0,one,720.0,0.0,720.0,0.0
66.0,one,720.0,0.0,720.0,0.0
67.0,one,720.0,0.0,720.0,0.0
68.0,one,720.0,0.0,720.0,0.0
69.0,one,720.0,0.0,720.0,0.0
70.0,one,720.0,0.0,720.0,0.0
71.0,one,720.0,0.0,720.0,0.0
72.0,one,720.0,0.0,720.0,0.0
73.0,one,720.0,0.0,720.0,0.0
74.0,one,720.0,0.0,720.0,0.0
75.0,one,720.0,0.0,720.0,0.0
76.0,one,720.0,0.0,720.0,0.0
77.0,one,720.0,0.0,720.0,0.0
78.0,one,720.0,0.0,720.0,0.0
79.0,one,720.0,0.0,720.0,0.0
80.0,one,720.0,0.0,720.0,0.0
81.0,one,720.0,0.0,720.0,0.0
82.0,one,720.0,0.0,720.0,0.0
83.0,one,720.0,0.0,720.0,0.0
84.0,one,720.0,0.0,720.0,0.0
85.0,one,720.0,0.0,720.0,0.0
86.0,one,720.0,0.0,720.0,0.0
87.0,one,720.0,0.0,720.0,0.0
88.0,one,720.0,0.0,720.0,0.0
89.0,one,720.0,0.0,720.0,0.0
90.0,one,720.0,0.0,720.0,0.0
91.0,one,720.0,0.0,720.0,0.0
92.0,one,720.0,0.0,720.0,0.0
93.0,one,720.0,0.0,720.0,0.0
94.0,one,720.0,0.0,720.0,0.0
95.0,one,720.0,0.0,720.0,0.0
96.0,one,720.0,0.0,720.0,0.0
97.0,one,720.0,0.0,720.0,0.0
98.0,one,720.0,0.0,720.0,0.0
99.0,one,720.0,0.0,720.0,0.0
100.0,one,720.0,0.0,720.0,0.0
101.0,one,720.0,0.0,720.0,0.0
102.0,one,720.0,0.0,720.0,0.0
103.0,one,720.0,0.0,720.0,0.0
104.0,one,720.0,0.0,720.0,0.0
105.0,one,720.0,0.0,720.0,0.0
106.0,one,720.0,0.0,720.0,0.0
107.0,one,720.0,0.0,720.0,0.0
108.0,one,720.0,0.0,720.0,0.0
109.0,one,720.0,0.0,720.0,0.0
110.0,one,720.0,0.0,720.0,0.0
111.0,one,720.0,0.0,720.0,0.0
112.0,one,720.0,0.0,720.0,0.0
113.0,one,720.0,0.0,720.0,0.0
114.0,one,720.0,0.0,720.0,0.0
115.0,one,720.0,0.0,720.0,0.0
116.0,one,720.0,0.0,720.0,0.0
117.0,one,720.0,0.0,720.0,0.0
118.0,one,720.0,0.0,720.0,0.0
119.0,one,720.0,0.0,720.0,0.0
120.0,one,720.0,0.0,720.0,0.0
121.0,one,720.0,0.0,720.0,0.0
122.0,one,720.0,0.0,720.0,0.0
123.0,one,720.0,0.0,720.0,0.0
124.0,one,720.0,0.0,720.0,0.0
125.0,one,720.0,0.0,720.0,0.0
126.0,one,720.0,0.0,720.0,0.0
127.0,one,720.0,0.0,720.0,0.0
128.0,one,720.0,0.0,720.0,0.0
129.0,one,720.0,0.0,720.0,0.0
130.0,one,720.0,0.0,720.0,0.0
131.0,one,720.0,0.0,720.0,0.0
132.0,one,720.0,0.0,720.0,0.0
133.0,one,720.0,0.0,720.0,0.0
134.0,one,720.0,0.0,720.0,0.0
135.0,one,720.0,0.0,720.0,0.0
136.0,one,720.0,0.0,720.0,0.0
137.0,one,720.0,0.0,720.0,0.0
138.0,one,720.0,0.0,720.0,0.0
139.0,one,720.0,0.0,720.0,0.0
140.0,one,720.0,0.0,720.0,0.0
141.0,one,720.0,0.0,720.0,0.0
142.0,one,720.0,0.0,720.0,0.0
143.0,one,720.0,0.0,720.0,0.0
144.0,one,720.0,0.0,720.0,0.0
145.0,one,720.0,0.0,720.0,0.0
