Flatcar Usage
Time<Day>,Asset Pool<String>,Vehicle Type<String>,Capacity<Float>,InUse<Float>,Available<Float>,Utilization<Percent>
0.0,eleven,68FLAT,225.0,0.0,225.0,0.0
1.0,eleven,68FLAT,225.0,0.0,225.0,0.0
2.0,eleven,68FLAT,225.0,0.0,225.0,0.0
3.0,eleven,68FLAT,225.0,0.0,225.0,0.0
4.0,eleven,68FLAT,225.0,0.0,225.0,0.0
5.0,eleven,68FLAT,225.0,2.0,223.0,0.008888889
6.0,eleven,68FLAT,225.0,2.0,223.0,0.008888889
7.0,eleven,68FLAT,225.0,2.0,223.0,0.008888889
8.0,eleven,68FLAT,225.0,2.0,223.0,0.008888889
9.0,eleven,68FLAT,225.0,225.0,0.0,1.0
10.0,eleven,68FLAT,225.0,225.0,0.0,1.0
11.0,eleven,68FLAT,225.0,225.0,0.0,1.0
12.0,eleven,68FLAT,225.0,225.0,0.0,1.0
13.0,eleven,68FLAT,225.0,225.0,0.0,1.0
14.0,eleven,68FLAT,225.0,225.0,0.0,1.0
15.0,eleven,68FLAT,225.0,225.0,0.0,1.0
16.0,eleven,68FLAT,225.0,183.0,42.0,0.81333333
17.0,eleven,68FLAT,225.0,173.0,52.0,0.7688889
18.0,eleven,68FLAT,225.0,182.0,43.0,0.8088889
19.0,eleven,68FLAT,225.0,225.0,0.0,1.0
20.0,eleven,68FLAT,225.0,225.0,0.0,1.0
21.0,eleven,68FLAT,225.0,190.0,35.0,0.84444445
22.0,eleven,68FLAT,225.0,166.0,59.0,0.73777777
23.0,eleven,68FLAT,225.0,197.0,28.0,0.8755556
24.0,eleven,68FLAT,225.0,225.0,0.0,1.0
25.0,eleven,68FLAT,225.0,222.0,3.0,0.9866667
26.0,eleven,68FLAT,225.0,144.0,81.0,0.64
27.0,eleven,68FLAT,225.0,136.0,89.0,0.60444444
28.0,eleven,68FLAT,225.0,136.0,89.0,0.60444444
29.0,eleven,68FLAT,225.0,103.0,122.0,0.45777777
30.0,eleven,68FLAT,225.0,85.0,140.0,0.37777779
31.0,eleven,68FLAT,225.0,24.0,201.0,0.10666667
32.0,eleven,68FLAT,225.0,14.0,211.0,0.062222224
33.0,eleven,68FLAT,225.0,3.0,222.0,0.013333334
34.0,eleven,68FLAT,225.0,0.0,225.0,0.0
35.0,eleven,68FLAT,225.0,0.0,225.0,0.0
36.0,eleven,68FLAT,225.0,0.0,225.0,0.0
37.0,eleven,68FLAT,225.0,0.0,225.0,0.0
38.0,eleven,68FLAT,225.0,0.0,225.0,0.0
39.0,eleven,68FLAT,225.0,0.0,225.0,0.0
40.0,eleven,68FLAT,225.0,0.0,225.0,0.0
41.0,eleven,68FLAT,225.0,0.0,225.0,0.0
42.0,eleven,68FLAT,225.0,0.0,225.0,0.0
43.0,eleven,68FLAT,225.0,0.0,225.0,0.0
44.0,eleven,68FLAT,225.0,0.0,225.0,0.0
45.0,eleven,68FLAT,225.0,0.0,225.0,0.0
46.0,eleven,68FLAT,225.0,0.0,225.0,0.0
47.0,eleven,68FLAT,225.0,0.0,225.0,0.0
48.0,eleven,68FLAT,225.0,0.0,225.0,0.0
49.0,eleven,68FLAT,225.0,0.0,225.0,0.0
50.0,eleven,68FLAT,225.0,0.0,225.0,0.0
51.0,eleven,68FLAT,225.0,0.0,225.0,0.0
52.0,eleven,68FLAT,225.0,0.0,225.0,0.0
53.0,eleven,68FLAT,225.0,0.0,225.0,0.0
54.0,eleven,68FLAT,225.0,0.0,225.0,0.0
55.0,eleven,68FLAT,225.0,0.0,225.0,0.0
56.0,eleven,68FLAT,225.0,0.0,225.0,0.0
57.0,eleven,68FLAT,225.0,0.0,225.0,0.0
58.0,eleven,68FLAT,225.0,0.0,225.0,0.0
59.0,eleven,68FLAT,225.0,0.0,225.0,0.0
60.0,eleven,68FLAT,225.0,0.0,225.0,0.0
61.0,eleven,68FLAT,225.0,0.0,225.0,0.0
62.0,eleven,68FLAT,225.0,0.0,225.0,0.0
63.0,eleven,68FLAT,225.0,0.0,225.0,0.0
64.0,eleven,68FLAT,225.0,0.0,225.0,0.0
65.0,eleven,68FLAT,225.0,0.0,225.0,0.0
66.0,eleven,68FLAT,225.0,0.0,225.0,0.0
67.0,eleven,68FLAT,225.0,0.0,225.0,0.0
68.0,eleven,68FLAT,225.0,0.0,225.0,0.0
69.0,eleven,68FLAT,225.0,0.0,225.0,0.0
70.0,eleven,68FLAT,225.0,0.0,225.0,0.0
71.0,eleven,68FLAT,225.0,0.0,225.0,0.0
72.0,eleven,68FLAT,225.0,0.0,225.0,0.0
73.0,eleven,68FLAT,225.0,0.0,225.0,0.0
74.0,eleven,68FLAT,225.0,0.0,225.0,0.0
75.0,eleven,68FLAT,225.0,0.0,225.0,0.0
76.0,eleven,68FLAT,225.0,0.0,225.0,0.0
77.0,eleven,68FLAT,225.0,0.0,225.0,0.0
78.0,eleven,68FLAT,225.0,0.0,225.0,0.0
79.0,eleven,68FLAT,225.0,0.0,225.0,0.0
80.0,eleven,68FLAT,225.0,0.0,225.0,0.0
81.0,eleven,68FLAT,225.0,0.0,225.0,0.0
82.0,eleven,68FLAT,225.0,0.0,225.0,0.0
83.0,eleven,68FLAT,225.0,0.0,225.0,0.0
84.0,eleven,68FLAT,225.0,0.0,225.0,0.0
85.0,eleven,68FLAT,225.0,0.0,225.0,0.0
86.0,eleven,68FLAT,225.0,0.0,225.0,0.0
87.0,eleven,68FLAT,225.0,0.0,225.0,0.0
88.0,eleven,68FLAT,225.0,0.0,225.0,0.0
89.0,eleven,68FLAT,225.0,0.0,225.0,0.0
90.0,eleven,68FLAT,225.0,0.0,225.0,0.0
91.0,eleven,68FLAT,225.0,0.0,225.0,0.0
92.0,eleven,68FLAT,225.0,0.0,225.0,0.0
93.0,eleven,68FLAT,225.0,0.0,225.0,0.0
94.0,eleven,68FLAT,225.0,0.0,225.0,0.0
95.0,eleven,68FLAT,225.0,0.0,225.0,0.0
96.0,eleven,68FLAT,225.0,0.0,225.0,0.0
97.0,eleven,68FLAT,225.0,0.0,225.0,0.0
98.0,eleven,68FLAT,225.0,0.0,225.0,0.0
99.0,eleven,68FLAT,225.0,0.0,225.0,0.0
100.0,eleven,68FLAT,225.0,0.0,225.0,0.0
101.0,eleven,68FLAT,225.0,0.0,225.0,0.0
102.0,eleven,68FLAT,225.0,0.0,225.0,0.0
103.0,eleven,68FLAT,225.0,0.0,225.0,0.0
104.0,eleven,68FLAT,225.0,0.0,225.0,0.0
105.0,eleven,68FLAT,225.0,0.0,225.0,0.0
106.0,eleven,68FLAT,225.0,0.0,225.0,0.0
107.0,eleven,68FLAT,225.0,0.0,225.0,0.0
108.0,eleven,68FLAT,225.0,0.0,225.0,0.0
109.0,eleven,68FLAT,225.0,0.0,225.0,0.0
110.0,eleven,68FLAT,225.0,0.0,225.0,0.0
111.0,eleven,68FLAT,225.0,0.0,225.0,0.0
112.0,eleven,68FLAT,225.0,0.0,225.0,0.0
113.0,eleven,68FLAT,225.0,0.0,225.0,0.0
114.0,eleven,68FLAT,225.0,0.0,225.0,0.0
115.0,eleven,68FLAT,225.0,0.0,225.0,0.0
116.0,eleven,68FLAT,225.0,0.0,225.0,0.0
117.0,eleven,68FLAT,225.0,0.0,225.0,0.0
118.0,eleven,68FLAT,225.0,0.0,225.0,0.0
119.0,eleven,68FLAT,225.0,0.0,225.0,0.0
120.0,eleven,68FLAT,225.0,0.0,225.0,0.0
121.0,eleven,68FLAT,225.0,0.0,225.0,0.0
122.0,eleven,68FLAT,225.0,0.0,225.0,0.0
123.0,eleven,68FLAT,225.0,0.0,225.0,0.0
124.0,eleven,68FLAT,225.0,0.0,225.0,0.0
125.0,eleven,68FLAT,225.0,0.0,225.0,0.0
126.0,eleven,68FLAT,225.0,0.0,225.0,0.0
