"Asset Pools: one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve    All Rail Assets"
Time<Day>,Capacity<Float>,Use<Float>,Available<Float>,Utilization<Float>
0.0,1976.0,237.0,1739.0,0.11993927
1.0,1976.0,237.0,1739.0,0.11993927
2.0,1976.0,237.0,1739.0,0.11993927
3.0,1976.0,135.0,1841.0,0.068319835
4.0,1976.0,52.0,1924.0,0.02631579
5.0,2201.0,35.0,2166.0,0.015901864
6.0,2201.0,35.0,2166.0,0.015901864
7.0,2250.0,35.0,2215.0,0.015555556
8.0,2250.0,35.0,2215.0,0.015555556
9.0,2250.0,1669.0,581.0,0.7417778
10.0,2250.0,1721.0,529.0,0.7648889
11.0,2250.0,1711.0,539.0,0.76044446
12.0,2250.0,1711.0,539.0,0.76044446
13.0,2250.0,1706.0,544.0,0.7582222
14.0,2250.0,1672.0,578.0,0.74311113
15.0,2340.0,1414.0,926.0,0.6042735
16.0,2340.0,1433.0,907.0,0.61239314
17.0,2340.0,1417.0,923.0,0.60555553
18.0,2340.0,1326.0,1014.0,0.56666666
19.0,2340.0,1361.0,979.0,0.5816239
20.0,2340.0,1328.0,1012.0,0.5675214
21.0,2340.0,1291.0,1049.0,0.5517094
22.0,2340.0,1211.0,1129.0,0.5175214
23.0,2340.0,1196.0,1144.0,0.51111114
24.0,2340.0,1187.0,1153.0,0.507265
25.0,2340.0,1178.0,1162.0,0.5034188
26.0,2340.0,1125.0,1215.0,0.48076922
27.0,2340.0,1064.0,1276.0,0.45470086
28.0,2340.0,1066.0,1274.0,0.45555556
29.0,2340.0,964.0,1376.0,0.41196582
30.0,2340.0,823.0,1517.0,0.3517094
31.0,2340.0,689.0,1651.0,0.29444444
32.0,2340.0,493.0,1847.0,0.21068376
33.0,2340.0,408.0,1932.0,0.17435898
34.0,2340.0,359.0,1981.0,0.15341881
35.0,2340.0,250.0,2090.0,0.10683761
36.0,2340.0,111.0,2229.0,0.0474359
37.0,2340.0,93.0,2247.0,0.03974359
