"Asset Pools: one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve    All Road Assets"
Time<Day>,Capacity<Float>,Use<Float>,Available<Float>,Utilization<Float>
0.0,3766.0,7.0,3759.0,0.001858736
1.0,3766.0,7.0,3759.0,0.001858736
2.0,3766.0,3.0,3763.0,7.966012E-4
3.0,3766.0,9.0,3757.0,0.0023898035
4.0,3766.0,13.0,3753.0,0.0034519385
5.0,3766.0,27.0,3739.0,0.0071694106
6.0,3766.0,27.0,3739.0,0.0071694106
7.0,3766.0,18.0,3748.0,0.004779607
8.0,3766.0,6.0,3760.0,0.0015932024
9.0,3766.0,728.0,3038.0,0.19330855
10.0,3766.0,708.0,3058.0,0.18799788
11.0,3766.0,658.0,3108.0,0.1747212
12.0,3766.0,656.0,3110.0,0.17419012
13.0,3766.0,574.0,3192.0,0.15241636
14.0,3766.0,464.0,3302.0,0.12320765
15.0,3766.0,510.0,3256.0,0.1354222
16.0,3766.0,668.0,3098.0,0.17737652
17.0,3766.0,600.0,3166.0,0.15932024
18.0,3766.0,621.0,3145.0,0.16489644
19.0,3766.0,355.0,3411.0,0.09426447
20.0,3766.0,234.0,3532.0,0.06213489
21.0,3766.0,260.0,3506.0,0.06903877
22.0,3766.0,259.0,3507.0,0.06877323
23.0,3766.0,195.0,3571.0,0.051779076
24.0,3766.0,207.0,3559.0,0.05496548
25.0,3766.0,198.0,3568.0,0.052575678
26.0,3766.0,211.0,3555.0,0.056027617
27.0,3766.0,212.0,3554.0,0.05629315
28.0,3766.0,200.0,3566.0,0.053106744
29.0,3766.0,191.0,3575.0,0.05071694
30.0,3766.0,185.0,3581.0,0.049123738
31.0,3766.0,225.0,3541.0,0.05974509
32.0,3766.0,193.0,3573.0,0.05124801
33.0,3766.0,173.0,3593.0,0.045937333
34.0,3766.0,67.0,3699.0,0.017790759
35.0,3766.0,76.0,3690.0,0.020180563
36.0,3766.0,71.0,3695.0,0.018852895
37.0,3766.0,70.0,3696.0,0.01858736
38.0,3766.0,40.0,3726.0,0.010621349
39.0,3766.0,80.0,3686.0,0.021242699
40.0,3766.0,85.0,3681.0,0.022570366
41.0,3766.0,71.0,3695.0,0.018852895
42.0,3766.0,75.0,3691.0,0.01991503
43.0,3766.0,55.0,3711.0,0.014604355
44.0,3766.0,68.0,3698.0,0.018056294
45.0,3766.0,59.0,3707.0,0.01566649
46.0,3766.0,61.0,3705.0,0.016197557
47.0,3766.0,25.0,3741.0,0.006638343
48.0,3766.0,44.0,3722.0,0.011683484
49.0,3766.0,35.0,3731.0,0.00929368
