Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,0.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,1.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,2.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,3.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,4.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,5.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,6.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,7.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,8.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,9.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,10.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,11.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,12.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,13.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,14.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,15.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,16.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,17.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,18.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,19.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,20.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,21.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,22.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,23.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,24.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,25.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,26.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,27.0,3.4028235E38,0.0,0.0,651.6666,1.9150763E-36,680.0,1.9983406E-36,0.0,0.9583335,1.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,28.0,3.4028235E38,680.0,1.9983406E-36,679.99994,1.9983404E-36,680.0,1.9983406E-36,1.0,1.0000001,1.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,29.0,3.4028235E38,0.0,0.0,311.66666,9.159061E-37,680.0,1.9983406E-36,0.0,0.45833328,1.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,30.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,31.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,32.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,33.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,34.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,35.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,InStreamAnchor1,36.0,3.4028235E38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
