"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Arrived at POD<Float>,Port of Debarkation<Float>,Destination (TAA)<Float>,Required at POD: EAD<Float>,Required at POD: LAD<Float>,Required at DST: CRD<Float>,Required at DST: RDD<Float>,Delivered of Required: DST<Float>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,8.4,8.4,8.4,0.0,0.0,0.0,0.0,0.0
8.0,96.4,96.4,8.4,8.4,8.4,8.4,8.4,8.4
9.0,133.4,133.4,8.4,8.4,8.4,8.4,8.4,8.4
10.0,133.4,133.4,96.4,508.4,8.4,508.4,508.4,8.4
11.0,133.4,133.4,133.4,1058.4,8.4,1058.4,1058.4,133.4
12.0,183.9,183.9,183.9,1439.8,389.8,1439.8,1439.8,183.9
13.0,343.7,343.7,183.9,1439.8,389.8,1439.8,1439.8,183.9
14.0,412.0,412.0,343.7,1489.8,389.8,1489.8,1489.8,183.9
15.0,706.7,706.7,434.0,1489.8,1196.4,1489.8,1489.8,233.9
16.0,744.10004,744.10004,656.3,1536.0,1973.1,1536.0,1536.0,383.69998
17.0,959.9,959.9,744.1,2366.5,1973.1,2366.5,2366.5,743.9
18.0,1155.5,1155.5,983.5,3223.1,1973.1,3223.1,3223.1,983.5
19.0,1338.1,1338.1,1214.1,3223.1,1973.1,3223.1,3223.1,1214.1
20.0,1374.4,1374.4,1338.1,3223.1,1973.1,3223.1,3223.1,1338.1
21.0,1558.9,1558.9,1338.1,3223.1,8943.195,3223.1,3223.1,1338.1
22.0,1797.7001,1797.7001,1561.3999,11530.996,10230.995,11530.996,11530.996,1561.3999
23.0,1890.6001,1890.6001,1796.3666,12035.196,22320.805,12035.196,12035.196,1781.2666
24.0,3415.9,3415.9,2242.2,24289.61,22721.504,24289.61,24289.61,2157.9
25.0,11791.496,11791.496,9085.996,24637.709,23152.703,24637.709,24637.709,9085.996
26.0,19425.209,19425.209,16829.594,36933.496,46128.402,36933.496,36933.496,16623.395
27.0,21473.795,21443.795,18840.166,37741.195,46269.6,37741.195,37741.195,18608.166
28.0,23752.098,23712.098,21510.422,48251.867,47281.203,48251.867,48251.867,21174.994
29.0,32387.965,32347.965,25652.094,48571.707,47281.203,48571.707,48571.707,24006.066
30.0,48709.727,48669.727,37289.523,50380.44,58313.105,50380.44,50380.44,29370.428
31.0,66222.445,66172.445,56970.445,50598.06,72865.81,50598.06,50598.06,35696.44
32.0,77819.97,77769.97,65124.96,76126.26,73107.71,76126.26,76126.26,54439.664
