Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
ADLS,TN,AL MAHDIYAH,0,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,1,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,2,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,3,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,4,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,5,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,6,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,7,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,8,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,9,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,10,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,11,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,12,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,13,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,14,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,15,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,16,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,17,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,18,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,19,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,20,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,21,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,22,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,23,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,24,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,25,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,26,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,27,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,28,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,29,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,30,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,31,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,32,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,33,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,34,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,35,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,36,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,37,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,38,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,39,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,40,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,41,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,42,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,43,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,44,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,45,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,46,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,47,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,48,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,49,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,50,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,51,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,52,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,53,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,54,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,55,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,56,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,57,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,58,0,0.0,0,6,6.0,6,0.0,0.0,0.0
