Tunisia Delivery Detail: PAX
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:00DDA,,DST,31,32,33,58,58,71,28
1,1:00DDP,,DST,25,26,26,26,26,26,20
1,1:00DEA,,DST,30,31,31,31,31,31,26
1,1:00FB,,DST,24,25,25,25,25,25,25
1,1:00FC,,DST,50,51,51,51,51,51,27
1,1:00FDA,,DST,68,69,69,69,69,69,33
1,1:00FE,,DST,15,16,16,16,16,16,16
1,1:00FF,,DST,21,22,22,22,22,22,21
1,1:00FG,,DST,15,16,18,18,18,18,17
1,1:00FH,,DST,13,14,15,15,15,16,17
1,1:00FJ,,DST,17,18,20,21,21,21,17
1,1:00FK,,DST,20,21,21,21,21,21,17
1,1:00FL,,DST,20,21,21,21,21,21,17
1,1:00FQ,,DST,20,21,21,21,21,21,17
1,1:00FR,,DST,27,28,28,28,28,28,27
1,1:00FS,,DST,50,51,51,51,51,51,27
1,1:00FTP,,DST,37,38,38,38,38,38,27
1,1:00FVA,,DST,60,61,61,61,61,61,27
1,1:00GB,,DST,24,25,25,25,25,25,25
1,1:00GC,,DST,24,25,25,25,25,25,25
1,1:00GDP,,DST,32,32,32,32,32,32,25
1,1:00GE,,DST,24,25,25,25,25,25,25
1,1:00GFA,,DST,23,23,24,24,24,24,25
1,1:00GG,,DST,24,25,25,25,25,25,25
1,1:00GHA,,DST,24,26,26,26,26,26,25
1,1:00HB,,DST,20,21,21,21,21,22,18
1,1:00HC,,DST,17,18,18,18,18,18,18
1,1:00HDP,,DST,28,29,29,30,30,30,18
1,1:00HE,,DST,21,22,22,22,22,22,18
1,1:00HF,,DST,21,22,24,24,25,25,18
1,1:00HG,,DST,22,22,22,25,25,25,18
1,1:00HK,,DST,22,23,23,23,24,24,18
1,1:00HL,,DST,22,24,24,24,24,24,18
1,1:00JCC,,DST,27,28,28,28,28,28,27
