Tunisia Delivery Detail: POL (CBBLs)
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:AR00040,,DST,43,44,44,44,44,44,43
1,1:AR00041,,DST,44,45,45,45,45,45,49
1,1:AR00042,,DST,43,44,44,44,44,44,40
1,1:AR00043,,DST,43,44,44,44,44,44,43
1,1:AR00044,,DST,44,45,45,45,45,45,49
1,1:AR00045,,DST,43,44,44,44,44,44,40
1,1:AR00046,,DST,43,44,44,44,44,45,43
1,1:AR00047,,DST,44,45,45,45,45,45,49
1,1:AR00048,,DST,43,44,44,45,45,45,40
1,1:AR00049,,DST,43,45,45,45,45,45,43
1,1:AR00050,,DST,44,45,45,45,45,45,49
1,1:AR00051,,DST,43,45,45,45,45,45,40
1,1:AR00052,,DST,44,45,45,45,45,45,43
1,1:AR00053,,DST,44,45,45,45,45,45,49
1,1:AR00054,,DST,43,45,45,45,45,45,40
1,1:AR00055,,DST,44,45,45,45,45,45,43
1,1:AR00056,,DST,44,45,45,45,45,45,49
1,1:AR00057,,DST,43,45,45,45,45,45,40
1,1:AR00058,,DST,44,45,45,45,45,45,43
1,1:AR00059,,DST,44,45,45,45,45,45,49
1,1:AR00060,,DST,43,45,45,45,45,45,40
1,1:AR00061,,DST,44,45,45,45,45,45,43
