Tunisia Delivery Detail: Cargo (ST)
ETFPDD<Integer>,RLN<RLN>,Delivery Loc Code<LocationCode>,Available Day<Day>,Day of Initial Delivery<Day>,Day of 50% Delivery<Day>,Day of 80% Delivery<Day>,Day of 90% Delivery<Day>,Day of 100% Delivery<Day>,Required Day<Day>,Num Days Diff 100% - Initial<Integer>
1,1:00DDA,,DST,31,32,32,32,32,32,28
1,1:00DDC,,DST,31,32,32,32,32,44,28
1,1:00DEC,,DST,31,32,32,32,44,44,26
1,1:00FB,,DST,22,24,26,26,26,26,25
1,1:00FC,,DST,26,27,27,27,27,28,27
1,1:00FD,,DST,31,32,32,33,33,41,33
1,1:00FE,,DST,14,15,15,16,16,17,16
1,1:00FG,,DST,14,15,17,18,18,19,17
1,1:00FH,,DST,13,14,14,14,14,17,17
1,1:00FJ,,DST,17,18,19,19,19,19,17
1,1:00FK,,DST,18,18,19,19,19,19,17
1,1:00FL,,DST,19,19,20,20,20,20,17
1,1:00FQ,,DST,18,19,20,20,20,20,17
1,1:00FR,,DST,24,26,26,27,27,27,27
1,1:00FS,,DST,26,27,27,27,27,27,27
1,1:00FTC,,DST,36,37,37,37,37,37,27
1,1:00FV,,DST,29,30,30,30,30,34,27
1,1:00GB,,DST,24,26,26,26,26,26,25
1,1:00GC,,DST,22,23,23,26,26,26,25
1,1:00GDC,,DST,36,37,37,37,37,37,25
1,1:00GE,,DST,23,24,24,24,24,26,25
1,1:00GF,,DST,27,28,30,30,30,30,25
1,1:00GG,,DST,23,24,24,24,24,26,25
1,1:00GH,,DST,27,28,28,28,28,28,25
1,1:00HB,,DST,19,19,20,20,22,22,18
1,1:00HC,,DST,15,16,18,18,18,20,18
1,1:00HDC,,DST,24,26,26,26,26,26,18
1,1:00HE,,DST,20,22,22,22,22,23,18
1,1:00HF,,DST,20,22,23,23,23,23,18
1,1:00HG,,DST,21,22,23,23,23,23,18
1,1:00HK,,DST,22,23,23,23,23,23,18
1,1:00HL,,DST,22,23,24,24,24,24,18
1,1:00JC,,DST,29,29,36,36,36,36,27
1,1:00JCC,,DST,24,26,26,26,26,26,27
1,1:00JD,,DST,27,28,28,28,28,28,27
1,1:00JE,,DST,27,28,28,28,28,28,27
1,1:03AEC,,DST,37,37,38,39,39,57,40
1,1:03AFC,,DST,41,42,42,43,43,53,40
1,1:03AGC,,DST,30,30,31,33,33,63,34
1,1:03AJC,,DST,30,31,34,34,34,68,34
1,1:03AKC,,DST,32,33,33,34,42,44,34
1,1:03AUC,,DST,33,33,34,34,43,77,34
1,1:04DDC,,DST,24,25,31,31,31,32,24
1,1:0DAAC,,DST,29,29,29,29,30,35,30
1,1:0DBBC,,DST,26,26,26,27,27,35,30
1,1:0DBCC,,DST,29,29,29,30,30,35,30
1,1:0DBDC,,DST,29,29,29,30,30,35,30
1,1:0EBFC,,DST,29,29,30,30,30,35,32
1,1:0EBQC,,DST,29,30,33,35,35,63,32
1,1:0EBRC,,DST,29,30,31,32,33,63,32
1,1:0EGBC,,DST,31,32,35,35,35,36,36
1,1:0HBGC,,DST,26,26,26,26,26,26,22
1,1:0HEDC,,DST,24,24,29,40,40,40,24
1,1:0HEEC,,DST,24,25,26,32,32,32,22
1,1:0HEHC,,DST,24,25,25,25,25,40,24
1,1:0HNBC,,DST,25,25,25,25,25,35,24
1,1:0HVCC,,DST,25,25,25,26,26,57,24
1,1:0J1EC,,DST,47,49,74,74,74,74,40
1,1:0JAAC,,DST,24,26,26,26,26,26,22
1,1:0JKBC,,DST,24,25,25,25,25,26,22
1,1:0JLBC,,DST,26,26,26,26,32,44,22
1,1:0JXC,,DST,27,29,54,54,54,54,32
1,1:0KFA,,DST,30,31,31,31,31,35,32
1,1:0KFBC,,DST,40,40,42,60,60,61,43
1,1:0KGA,,DST,30,30,31,33,33,33,32
1,1:0KGBC,,DST,30,31,31,31,31,31,22
1,1:0KHA,,DST,31,31,32,32,32,35,32
1,1:0LAA,,DST,29,30,30,31,31,31,27
1,1:0LBGC,,DST,42,42,43,43,43,61,43
1,1:0MAAC,,DST,24,25,25,25,26,26,22
1,1:0MBDC,,DST,25,25,26,26,26,35,24
1,1:0MBKC,,DST,26,26,39,40,40,40,24
1,1:0NACC,,DST,29,29,29,30,30,35,30
1,1:0QAAC,,DST,35,36,37,37,38,57,26
1,1:0QAEC,,DST,32,34,36,43,43,44,32
1,1:0QAFC,,DST,26,27,37,38,38,38,26
1,1:0QBJ,,DST,25,26,26,26,26,29,32
1,1:0RAAC,,DST,27,27,28,28,28,28,26
1,1:0TABC,,DST,27,28,29,29,29,29,26
1,1:0TAE1,,DST,37,38,38,38,39,57,32
1,1:0TAEC,,DST,31,32,42,42,42,63,32
1,1:0VAAC,,DST,27,28,28,28,28,28,26
1,1:0VABC,,DST,25,26,35,35,35,36,26
1,1:0YABC,,DST,26,27,35,35,35,36,26
1,1:0YACC,,DST,29,29,29,29,34,34,26
1,1:0YADC,,DST,26,27,27,35,35,36,26
1,1:0YAFC,,DST,25,26,34,35,36,40,26
1,1:0YB C,,DST,41,42,42,42,45,45,37
1,1:0YB3C,,DST,41,41,41,41,42,42,37
1,1:0YB4C,,DST,54,56,73,73,73,73,37
1,1:0YBAC,,DST,54,56,74,74,75,75,37
1,1:0YBBC,,DST,54,56,74,74,75,75,37
1,1:0YBCC,,DST,36,36,37,37,37,51,37
1,1:0YBDC,,DST,39,41,43,43,43,43,37
1,1:0YBEC,,DST,36,37,37,37,37,40,37
1,1:0YBFC,,DST,36,37,37,37,37,40,37
1,1:0YBKC,,DST,36,37,46,46,46,46,37
1,1:0YBLC,,DST,39,40,46,46,46,46,37
1,1:0YBMC,,DST,36,37,46,46,46,46,37
1,1:0YBNC,,DST,39,40,46,46,46,46,37
1,1:0YBPC,,DST,35,35,42,56,56,56,12
1,1:0YBQC,,DST,24,25,25,25,26,26,12
1,1:0YBRC,,DST,37,37,56,56,56,56,37
1,1:0YBSC,,DST,39,40,46,46,46,46,37
1,1:0YBTC,,DST,27,28,29,29,29,29,24
1,1:0YBUC,,DST,37,38,41,42,42,42,37
1,1:0YBVC,,DST,41,42,42,42,42,42,37
1,1:0YBWC,,DST,46,46,46,46,50,53,37
1,1:0YBYC,,DST,41,42,42,42,42,42,37
1,1:0YC C,,DST,41,42,42,42,42,42,37
1,1:0YCAC,,DST,39,41,43,43,44,44,37
1,1:0YCBC,,DST,39,41,48,49,49,71,37
1,1:0YCCC,,DST,41,42,42,42,42,61,37
1,1:0ZABC,,DST,42,42,42,42,43,43,43
1,1:0ZBB,,DST,29,29,30,30,30,34,28
1,1:0ZCB,,DST,29,30,30,30,31,34,28
1,1:0ZDA,,DST,30,31,31,31,31,34,28
1,1:0ZDB,,DST,30,30,31,31,31,34,28
1,1:0ZDC,,DST,31,32,33,33,34,43,28
1,1:0ZHCC,,DST,31,32,33,43,45,53,34
1,1:0ZHFC,,DST,29,30,31,31,47,83,34
1,1:5BCAA,,DST,12,12,12,12,12,12,12
1,1:5CCAB,,DST,7,7,7,7,7,7,8
