Fuel Consumption By Location
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,Mode<String>,Fuel Consumption<Float>
APFD,TN,AS SUKHAYRAH,0.0,Road,0.0
APFD,TN,AS SUKHAYRAH,1.0,Road,0.0
APFD,TN,AS SUKHAYRAH,2.0,Road,0.0
APFD,TN,AS SUKHAYRAH,3.0,Road,0.0
APFD,TN,AS SUKHAYRAH,4.0,Road,0.0
APFD,TN,AS SUKHAYRAH,5.0,Road,0.0
APFD,TN,AS SUKHAYRAH,6.0,Road,0.0
APFD,TN,AS SUKHAYRAH,7.0,Road,0.0
APFD,TN,AS SUKHAYRAH,8.0,Road,0.0
APFD,TN,AS SUKHAYRAH,9.0,Road,0.0
APFD,TN,AS SUKHAYRAH,10.0,Road,0.0
APFD,TN,AS SUKHAYRAH,11.0,Road,0.0
APFD,TN,AS SUKHAYRAH,12.0,Road,0.0
APFD,TN,AS SUKHAYRAH,13.0,Road,0.0
APFD,TN,AS SUKHAYRAH,14.0,Road,0.0
APFD,TN,AS SUKHAYRAH,15.0,Road,0.0
APFD,TN,AS SUKHAYRAH,16.0,Road,0.0
APFD,TN,AS SUKHAYRAH,17.0,Road,0.0
APFD,TN,AS SUKHAYRAH,18.0,Road,0.0
APFD,TN,AS SUKHAYRAH,19.0,Road,0.0
APFD,TN,AS SUKHAYRAH,20.0,Road,0.0
APFD,TN,AS SUKHAYRAH,21.0,Road,0.0
APFD,TN,AS SUKHAYRAH,22.0,Road,0.0
APFD,TN,AS SUKHAYRAH,23.0,Road,0.0
APFD,TN,AS SUKHAYRAH,24.0,Road,0.0
APFD,TN,AS SUKHAYRAH,25.0,Road,0.0
APFD,TN,AS SUKHAYRAH,26.0,Road,0.0
APFD,TN,AS SUKHAYRAH,27.0,Road,858.4354
APFD,TN,AS SUKHAYRAH,28.0,Road,8558.604
APFD,TN,AS SUKHAYRAH,29.0,Road,3705.9312
APFD,TN,AS SUKHAYRAH,30.0,Road,104.68726
APFD,TN,AS SUKHAYRAH,31.0,Road,0.0
APFD,TN,AS SUKHAYRAH,32.0,Road,0.0
APFD,TN,AS SUKHAYRAH,33.0,Road,0.0
APFD,TN,AS SUKHAYRAH,34.0,Road,0.0
APFD,TN,AS SUKHAYRAH,35.0,Road,0.0
APFD,TN,AS SUKHAYRAH,36.0,Road,0.0
APFD,TN,AS SUKHAYRAH,37.0,Road,0.0
APFD,TN,AS SUKHAYRAH,38.0,Road,0.0
