Tunisia: Node Outload  amd Arrival by Air
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
MATMATA (HNTK) APT,8,Breakbulk,0.0,0.0,0.0,0,0,0,88.0,0
MATMATA (HNTK) APT,9,Breakbulk,0.0,0.0,0.0,0,0,0,37.0,0
MATMATA (HNTK) APT,14,Breakbulk,0.0,0.0,0.0,0,0,0,28.0,0
MATMATA (HNTK) APT,15,Breakbulk,0.0,0.0,0.0,0,0,0,97.0,0
MATMATA (HNTK) APT,25,Breakbulk,0.0,0.0,0.0,0,0,0,16.0,0
MATMATA (HNTK) APT,26,Breakbulk,0.0,0.0,0.0,0,0,0,38.0,0
MATMATA (HNTK) APT,27,Breakbulk,0.0,0.0,0.0,0,0,0,148.0,0
MATMATA (HNTK) APT,28,Breakbulk,0.0,0.0,0.0,0,0,0,48.0,0
MATMATA (HNTK) APT,30,Breakbulk,0.0,0.0,0.0,0,0,0,44.0,0
MATMATA (HNTK) APT,31,Breakbulk,0.0,0.0,0.0,0,0,0,54.0,0
MATMATA (HNTK) APT,32,Breakbulk,0.0,0.0,0.0,0,0,0,65.0,0
MATMATA (HNTK) APT,33,Breakbulk,0.0,0.0,0.0,0,0,0,120.0,0
MATMATA (HNTK) APT,34,Breakbulk,0.0,0.0,0.0,0,0,0,88.0,0
MATMATA (HNTK) APT,35,Breakbulk,0.0,0.0,0.0,0,0,0,98.0,0
MATMATA (HNTK) APT,36,Breakbulk,0.0,0.0,0.0,0,0,0,66.0,0
MATMATA (HNTK) APT,37,Breakbulk,0.0,0.0,0.0,0,0,0,91.0,0
MATMATA (HNTK) APT,38,Breakbulk,0.0,0.0,0.0,0,0,0,76.0,0
MATMATA (HNTK) APT,39,Breakbulk,0.0,0.0,0.0,0,0,0,66.0,0
MATMATA (HNTK) APT,40,Breakbulk,0.0,0.0,0.0,0,0,0,136.0,0
MATMATA (HNTK) APT,41,Breakbulk,0.0,0.0,0.0,0,0,0,86.0,0
MATMATA (HNTK) APT,42,Breakbulk,0.0,0.0,0.0,0,0,0,142.0,0
MATMATA (HNTK) APT,43,Breakbulk,0.0,0.0,0.0,0,0,0,98.0,0
MATMATA (HNTK) APT,44,Breakbulk,0.0,0.0,0.0,0,0,0,54.0,0
MATMATA (HNTK) APT,45,Breakbulk,0.0,0.0,0.0,0,0,0,152.0,0
MATMATA (HNTK) APT,46,Breakbulk,0.0,0.0,0.0,0,0,0,38.0,0
