Tunisia: Node Outload  amd Arrival by Road
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
CHEIKH LARBI TEBE (WSVC) CAP,14,RORO,0.0,0.0,0.0,0,0,0,159.8,32
CHEIKH LARBI TEBE (WSVC) CAP,15,RORO,0.0,0.0,0.0,0,0,0,19.1,6
CHEIKH LARBI TEBE (WSVC) CAP,16,RORO,0.0,0.0,0.0,0,0,0,28.0,6
CHEIKH LARBI TEBE (WSVC) CAP,17,RORO,0.0,0.0,0.0,0,0,0,44.100002,9
CHEIKH LARBI TEBE (WSVC) CAP,18,RORO,0.0,0.0,0.0,0,0,0,153.8,32
CHEIKH LARBI TEBE (WSVC) CAP,19,RORO,0.0,0.0,0.0,0,0,0,142.3,30
CHEIKH LARBI TEBE (WSVC) CAP,20,RORO,0.0,0.0,0.0,0,0,0,65.7,14
CHEIKH LARBI TEBE (WSVC) CAP,22,RORO,0.0,0.0,0.0,0,0,0,188.20001,38
CHEIKH LARBI TEBE (WSVC) CAP,23,RORO,0.0,0.0,0.0,0,0,0,148.7,32
CHEIKH LARBI TEBE (WSVC) CAP,24,RORO,0.0,0.0,0.0,0,0,0,49.399998,12
CHEIKH LARBI TEBE (WSVC) CAP,26,RORO,0.0,0.0,0.0,0,0,0,167.29999,36
CHEIKH LARBI TEBE (WSVC) CAP,27,RORO,0.0,0.0,0.0,0,0,0,2.7,1
CHEIKH LARBI TEBE (WSVC) CAP,28,RORO,0.0,0.0,0.0,0,0,0,99.200005,9
CHEIKH LARBI TEBE (WSVC) CAP,30,RORO,0.0,0.0,0.0,0,0,0,210.8,43
CHEIKH LARBI TEBE (WSVC) CAP,32,RORO,0.0,0.0,0.0,0,0,0,71.50001,13
CHEIKH LARBI TEBE (WSVC) CAP,33,RORO,0.0,0.0,0.0,0,0,0,293.0,58
CHEIKH LARBI TEBE (WSVC) CAP,35,RORO,0.0,0.0,0.0,0,0,0,492.30002,42
CHEIKH LARBI TEBE (WSVC) CAP,36,RORO,0.0,0.0,0.0,0,0,0,274.19998,45
CHEIKH LARBI TEBE (WSVC) CAP,37,RORO,0.0,0.0,0.0,0,0,0,696.10004,50
CHEIKH LARBI TEBE (WSVC) CAP,38,RORO,0.0,0.0,0.0,0,0,0,2040.5997,112
CHEIKH LARBI TEBE (WSVC) CAP,39,RORO,0.0,0.0,0.0,0,0,0,1563.7998,69
CHEIKH LARBI TEBE (WSVC) CAP,41,RORO,0.0,0.0,0.0,0,0,0,1002.0,28
CHEIKH LARBI TEBE (WSVC) CAP,42,RORO,0.0,0.0,0.0,0,0,0,1300.5,73
CHEIKH LARBI TEBE (WSVC) CAP,43,RORO,0.0,0.0,0.0,0,0,0,2315.5996,120
CHEIKH LARBI TEBE (WSVC) CAP,57,RORO,0.0,0.0,0.0,0,0,0,23.699997,5
CHEIKH LARBI TEBE (WSVC) CAP,60,RORO,0.0,0.0,0.0,0,0,0,1640.6001,86
MATMATA (HNTK) APT,35,RORO,0.0,356.9,0.0,0,21,0,0.0,0
MATMATA (HNTK) APT,36,RORO,0.0,285.69998,71.2,0,17,4,0.0,0
MATMATA (HNTK) APT,37,RORO,0.0,285.69998,0.0,0,17,0,0.0,0
MATMATA (HNTK) APT,38,RORO,0.0,35.6,250.09999,0,2,15,0.0,0
MATMATA (HNTK) APT,39,RORO,0.0,0.0,35.6,0,0,2,0.0,0
GABES (HNTS) PRT,24,Breakbulk,51.600002,0.0,0.0,51,0,0,0.0,0
GABES (HNTS) PRT,25,Breakbulk,30.5,82.8,131.70001,30,81,132,0.0,0
GABES (HNTS) PRT,26,Breakbulk,26.0,96.1,145.8,26,75,143,0.0,0
GABES (HNTS) PRT,27,Breakbulk,0.0,2.0,120.100006,0,2,99,0.0,0
GABES (HNTS) PRT,28,Breakbulk,0.0,0.0,2.0,0,0,2,0.0,0
