Tunisia: Node Outload  amd Arrival by organic
Node<Node>,Day<Day>,Category<Category>,Waiting for Assets and Routes (st)<Float>,Outloading (st)<Float>,Outloaded (st)<Float>,Waiting for Assets and Routes<Integer>,Outloading<Integer>,Outloaded<Integer>,Arriving (st)<Float>,Arriving<Integer>
THYNA (FUQN) IAP,24,RORO,19.1,0.0,0.0,2,0,0,0.0,0
THYNA (FUQN) IAP,25,RORO,0.0,19.1,0.0,0,2,0,0.0,0
THYNA (FUQN) IAP,26,RORO,0.0,0.0,19.1,0,0,2,0.0,0
THYNA (FUQN) IAP,29,RORO,0.0,0.0,45.8,0,0,10,0.0,0
THYNA (FUQN) IAP,31,RORO,0.0,19.1,0.0,0,2,0,0.0,0
THYNA (FUQN) IAP,32,RORO,0.0,0.0,19.1,0,0,2,0.0,0
THYNA (FUQN) IAP,35,RORO,0.0,0.0,0.0,0,0,0,356.9,21
THYNA (FUQN) IAP,41,RORO,0.0,0.0,39.8,0,0,8,0.0,0
THYNA (FUQN) IAP,42,RORO,0.0,0.0,0.0,0,0,0,146.8,11
THYNA (FUQN) IAP,43,RORO,0.0,0.0,0.0,0,0,0,269.0,20
THYNA (FUQN) IAP,44,RORO,0.0,0.0,0.0,0,0,0,27.2,2
BIR EL ATER (BQWK) APT,29,RORO,0.0,0.0,0.0,0,0,0,65.39999,10
BIR EL ATER (BQWK) APT,30,RORO,0.0,0.0,0.0,0,0,0,3184.1995,531
BIR EL ATER (BQWK) APT,31,RORO,0.0,0.0,0.0,0,0,0,3208.6,604
BIR EL ATER (BQWK) APT,32,RORO,0.0,0.0,0.0,0,0,0,1667.7999,293
BIR EL ATER (BQWK) APT,33,RORO,0.0,0.0,0.0,0,0,0,1316.3,233
BIR EL ATER (BQWK) APT,43,RORO,0.0,0.0,0.0,0,0,0,165.0,33
SFAX (VKNG) CTY,30,RORO,0.0,0.0,0.0,0,0,0,1503.1,145
SFAX (VKNG) CTY,31,RORO,0.0,0.0,0.0,0,0,0,6961.7,555
