Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
BIZERTE DD,M1074 PLS,0,0
BIZERTE DD,M1074 PLS,1,0
BIZERTE DD,M1074 PLS,2,0
BIZERTE DD,M1074 PLS,3,0
BIZERTE DD,M1074 PLS,4,0
BIZERTE DD,M1074 PLS,5,0
BIZERTE DD,M1074 PLS,6,0
BIZERTE DD,M1074 PLS,7,0
BIZERTE DD,M1074 PLS,8,22
BIZERTE DD,M1074 PLS,9,22
BIZERTE DD,M1074 PLS,10,10
BIZERTE DD,M1074 PLS,11,13
BIZERTE DD,M1074 PLS,12,0
BIZERTE DD,M1074 PLS,13,0
BIZERTE DD,M1074 PLS,14,22
BIZERTE DD,M1074 PLS,15,32
BIZERTE DD,M1074 PLS,16,6
BIZERTE DD,M1074 PLS,17,15
BIZERTE DD,M1074 PLS,18,16
BIZERTE DD,M1074 PLS,19,6
BIZERTE DD,M1074 PLS,20,0
BIZERTE DD,M1074 PLS,21,3
BIZERTE DD,M1074 PLS,22,16
BIZERTE DD,M1074 PLS,23,5
BIZERTE DD,M1074 PLS,24,0
BIZERTE DD,M1074 PLS,25,32
BIZERTE DD,M1074 PLS,26,20
BIZERTE DD,M1074 PLS,27,98
BIZERTE DD,M1074 PLS,28,58
BIZERTE DD,M1074 PLS,29,86
BIZERTE DD,M1074 PLS,30,70
BIZERTE DD,M1074 PLS,31,20
BIZERTE DD,M1074 PLS,32,39
BIZERTE DD,M1074 PLS,33,84
BIZERTE DD,M1074 PLS,34,63
BIZERTE DD,M1074 PLS,35,68
BIZERTE DD,M1074 PLS,36,72
BIZERTE DD,M1074 PLS,37,72
BIZERTE DD,M1074 PLS,38,55
BIZERTE DD,M1074 PLS,39,64
BIZERTE DD,M1074 PLS,40,92
BIZERTE DD,M1074 PLS,41,77
BIZERTE DD,M1074 PLS,42,54
BIZERTE DD,M1074 PLS,43,58
BIZERTE DD,M1074 PLS,44,53
BIZERTE DD,M1074 PLS,45,77
BIZERTE DD,M1074 PLS,46,131
BIZERTE DD,M1074 PLS,47,90
BIZERTE DD,M1074 PLS,48,70
BIZERTE DD,M1074 PLS,49,73
BIZERTE DD,M1074 PLS,50,53
BIZERTE DD,M1074 PLS,51,35
BIZERTE DD,M1074 PLS,52,71
BIZERTE DD,M1074 PLS,53,82
BIZERTE DD,M1074 PLS,54,58
BIZERTE DD,M1074 PLS,55,104
BIZERTE DD,M1074 PLS,56,68
BIZERTE DD,M1074 PLS,57,48
BIZERTE DD,M1074 PLS,58,49
BIZERTE DD,M1074 PLS,59,92
BIZERTE DD,M1074 PLS,60,118
BIZERTE DD,M1074 PLS,61,59
BIZERTE DD,M1074 PLS,62,52
BIZERTE DD,M1074 PLS,63,31
BIZERTE DD,M1074 PLS,64,58
BIZERTE DD,M1074 PLS,65,89
BIZERTE DD,M1074 PLS,66,82
BIZERTE DD,M1074 PLS,67,59
BIZERTE DD,M1074 PLS,68,51
BIZERTE DD,M1074 PLS,69,64
BIZERTE DD,M1074 PLS,70,77
BIZERTE DD,M1074 PLS,71,68
BIZERTE DD,M1074 PLS,72,52
BIZERTE DD,M1074 PLS,73,39
BIZERTE DD,M1074 PLS,74,54
BIZERTE DD,M1074 PLS,75,40
BIZERTE DD,M1074 PLS,76,37
BIZERTE DD,M1074 PLS,77,25
BIZERTE DD,M1074 PLS,78,47
BIZERTE DD,M1074 PLS,79,71
BIZERTE DD,M1074 PLS,80,67
BIZERTE DD,M1074 PLS,81,35
BIZERTE DD,M1074 PLS,82,17
BIZERTE DD,M1074 PLS,83,44
BIZERTE DD,M1074 PLS,84,52
BIZERTE DD,M1074 PLS,85,33
BIZERTE DD,M1074 PLS,86,40
BIZERTE DD,M1074 PLS,87,44
BIZERTE DD,M1074 PLS,88,51
BIZERTE DD,M1074 PLS,89,156
BIZERTE DD,M1074 PLS,90,73
BIZERTE DD,M1074 PLS,91,53
BIZERTE DD,M1074 PLS,92,34
BIZERTE DD,M1074 PLS,93,44
BIZERTE DD,M1074 PLS,94,57
BIZERTE DD,M1074 PLS,95,24
BIZERTE DD,M1074 PLS,96,61
BIZERTE DD,M1074 PLS,97,43
BIZERTE DD,M1074 PLS,98,92
BIZERTE DD,M1074 PLS,99,85
BIZERTE DD,M1074 PLS,100,52
BIZERTE DD,M1074 PLS,101,103
BIZERTE DD,M1074 PLS,102,96
BIZERTE DD,M1074 PLS,103,27
BIZERTE DD,M1074 PLS,104,167
BIZERTE DD,M1074 PLS,105,133
BIZERTE DD,M1074 PLS,106,25
BIZERTE DD,M1074 PLS,107,37
BIZERTE DD,M1074 PLS,108,31
BIZERTE DD,M1074 PLS,109,12
BIZERTE DD,M1074 PLS,110,7
BIZERTE DD,M1074 PLS,111,56
BIZERTE DD,M1074 PLS,112,45
BIZERTE DD,M1074 PLS,113,170
BIZERTE DD,M1074 PLS,114,103
BIZERTE DD,M1074 PLS,115,110
BIZERTE DD,M1074 PLS,116,127
BIZERTE DD,M1074 PLS,117,87
BIZERTE DD,M1074 PLS,118,75
BIZERTE DD,M1074 PLS,119,52
BIZERTE DD,M1074 PLS,120,60
BIZERTE DD,M1074 PLS,121,51
BIZERTE DD,M1074 PLS,122,64
BIZERTE DD,M1074 PLS,123,44
BIZERTE DD,M1074 PLS,124,47
BIZERTE DD,M1074 PLS,125,24
BIZERTE DD,M1074 PLS,126,24
BIZERTE DD,M1074 PLS,127,37
BIZERTE DD,M1074 PLS,128,5
BIZERTE DD,M1074 PLS,129,0
BIZERTE DD,M1074 PLS,130,13
BIZERTE DD,M1074 PLS,131,25
BIZERTE DD,M1074 PLS,132,34
BIZERTE DD,M1074 PLS,133,100
BIZERTE DD,M1074 PLS,134,37
BIZERTE DD,M1074 PLS,135,277
BIZERTE DD,M1074 PLS,136,130
BIZERTE DD,M1074 PLS,137,20
BIZERTE DD,M1074 PLS,138,202
BIZERTE DD,M1074 PLS,139,156
BIZERTE DD,M1074 PLS,140,108
BIZERTE DD,M1074 PLS,141,63
BIZERTE DD,M1074 PLS,142,46
BIZERTE DD,M1074 PLS,143,57
BIZERTE DD,M1074 PLS,144,46
BIZERTE DD,M1074 PLS,145,23
BIZERTE DD,M1074 PLS,146,208
BIZERTE DD,M1074 PLS,147,262
BIZERTE DD,M1074 PLS,148,39
BIZERTE DD,M1074 PLS,149,61
BIZERTE DD,M1074 PLS,150,66
BIZERTE DD,M1074 PLS,151,82
BIZERTE DD,M1074 PLS,152,43
BIZERTE DD,M1074 PLS,153,69
BIZERTE DD,M1074 PLS,154,49
BIZERTE DD,M1074 PLS,155,53
BIZERTE DD,M1074 PLS,156,22
BIZERTE DD,M1074 PLS,157,113
BIZERTE DD,M1074 PLS,158,166
BIZERTE DD,M1074 PLS,159,67
BIZERTE DD,M1074 PLS,160,27
BIZERTE DD,M1074 PLS,161,56
BIZERTE DD,M1074 PLS,162,109
BIZERTE DD,M1074 PLS,163,51
BIZERTE DD,M1074 PLS,164,46
BIZERTE DD,M1074 PLS,165,69
BIZERTE DD,M1074 PLS,166,27
BIZERTE DD,M1074 PLS,167,53
BIZERTE DD,M1074 PLS,168,112
BIZERTE DD,M1074 PLS,169,234
BIZERTE DD,M1074 PLS,170,138
BIZERTE DD,M1074 PLS,171,165
BIZERTE DD,M1074 PLS,172,127
BIZERTE DD,M1074 PLS,173,58
BIZERTE DD,M1074 PLS,174,63
BIZERTE DD,M1074 PLS,175,42
BIZERTE DD,M1074 PLS,176,101
BIZERTE DD,M1074 PLS,177,144
BIZERTE DD,M1074 PLS,178,22
BIZERTE DD,M1074 PLS,179,30
BIZERTE DD,M1074 PLS,180,10
BIZERTE DD,M1074 PLS,181,0
BIZERTE DD,Commercial Bus 45-pax,0,0
BIZERTE DD,Commercial Bus 45-pax,1,0
BIZERTE DD,Commercial Bus 45-pax,2,0
BIZERTE DD,Commercial Bus 45-pax,3,0
BIZERTE DD,Commercial Bus 45-pax,4,0
BIZERTE DD,Commercial Bus 45-pax,5,0
BIZERTE DD,Commercial Bus 45-pax,6,0
BIZERTE DD,Commercial Bus 45-pax,7,0
BIZERTE DD,Commercial Bus 45-pax,8,0
BIZERTE DD,Commercial Bus 45-pax,9,0
BIZERTE DD,Commercial Bus 45-pax,10,0
BIZERTE DD,Commercial Bus 45-pax,11,3
BIZERTE DD,Commercial Bus 45-pax,12,0
BIZERTE DD,Commercial Bus 45-pax,13,3
BIZERTE DD,Commercial Bus 45-pax,14,8
BIZERTE DD,Commercial Bus 45-pax,15,5
BIZERTE DD,Commercial Bus 45-pax,16,1
BIZERTE DD,Commercial Bus 45-pax,17,11
BIZERTE DD,Commercial Bus 45-pax,18,16
BIZERTE DD,Commercial Bus 45-pax,19,15
BIZERTE DD,Commercial Bus 45-pax,20,8
BIZERTE DD,Commercial Bus 45-pax,21,17
BIZERTE DD,Commercial Bus 45-pax,22,17
BIZERTE DD,Commercial Bus 45-pax,23,12
BIZERTE DD,Commercial Bus 45-pax,24,23
BIZERTE DD,Commercial Bus 45-pax,25,23
BIZERTE DD,Commercial Bus 45-pax,26,18
BIZERTE DD,Commercial Bus 45-pax,27,16
BIZERTE DD,Commercial Bus 45-pax,28,24
BIZERTE DD,Commercial Bus 45-pax,29,18
BIZERTE DD,Commercial Bus 45-pax,30,11
BIZERTE DD,Commercial Bus 45-pax,31,7
BIZERTE DD,Commercial Bus 45-pax,32,9
BIZERTE DD,Commercial Bus 45-pax,33,1
BIZERTE DD,Commercial Bus 45-pax,34,8
BIZERTE DD,Commercial Bus 45-pax,35,9
BIZERTE DD,Commercial Bus 45-pax,36,17
BIZERTE DD,Commercial Bus 45-pax,37,20
BIZERTE DD,Commercial Bus 45-pax,38,12
BIZERTE DD,Commercial Bus 45-pax,39,16
BIZERTE DD,Commercial Bus 45-pax,40,8
BIZERTE DD,Commercial Bus 45-pax,41,17
BIZERTE DD,Commercial Bus 45-pax,42,10
BIZERTE DD,Commercial Bus 45-pax,43,16
BIZERTE DD,Commercial Bus 45-pax,44,18
BIZERTE DD,Commercial Bus 45-pax,45,9
BIZERTE DD,Commercial Bus 45-pax,46,8
BIZERTE DD,Commercial Bus 45-pax,47,8
BIZERTE DD,Commercial Bus 45-pax,48,24
BIZERTE DD,Commercial Bus 45-pax,49,8
BIZERTE DD,Commercial Bus 45-pax,50,16
BIZERTE DD,Commercial Bus 45-pax,51,8
BIZERTE DD,Commercial Bus 45-pax,52,17
BIZERTE DD,Commercial Bus 45-pax,53,5
BIZERTE DD,Commercial Bus 45-pax,54,15
BIZERTE DD,Commercial Bus 45-pax,55,8
BIZERTE DD,Commercial Bus 45-pax,56,16
BIZERTE DD,Commercial Bus 45-pax,57,8
BIZERTE DD,Commercial Bus 45-pax,58,8
BIZERTE DD,Commercial Bus 45-pax,59,8
BIZERTE DD,Commercial Bus 45-pax,60,8
BIZERTE DD,Commercial Bus 45-pax,61,16
BIZERTE DD,Commercial Bus 45-pax,62,8
BIZERTE DD,Commercial Bus 45-pax,63,8
BIZERTE DD,Commercial Bus 45-pax,64,8
BIZERTE DD,Commercial Bus 45-pax,65,8
BIZERTE DD,Commercial Bus 45-pax,66,8
BIZERTE DD,Commercial Bus 45-pax,67,8
BIZERTE DD,Commercial Bus 45-pax,68,20
BIZERTE DD,Commercial Bus 45-pax,69,8
BIZERTE DD,Commercial Bus 45-pax,70,8
BIZERTE DD,Commercial Bus 45-pax,71,8
BIZERTE DD,Commercial Bus 45-pax,72,8
BIZERTE DD,Commercial Bus 45-pax,73,0
BIZERTE DD,Commercial Bus 45-pax,74,0
BIZERTE DD,Commercial Bus 45-pax,75,0
BIZERTE DD,Commercial Bus 45-pax,76,0
BIZERTE DD,Commercial Bus 45-pax,77,0
BIZERTE DD,Commercial Bus 45-pax,78,0
BIZERTE DD,Commercial Bus 45-pax,79,0
BIZERTE DD,Commercial Bus 45-pax,80,0
BIZERTE DD,Commercial Bus 45-pax,81,0
BIZERTE DD,Commercial Bus 45-pax,82,0
BIZERTE DD,Commercial Bus 45-pax,83,0
BIZERTE DD,Commercial Bus 45-pax,84,0
BIZERTE DD,Commercial Bus 45-pax,85,0
BIZERTE DD,Commercial Bus 45-pax,86,0
BIZERTE DD,Commercial Bus 45-pax,87,0
BIZERTE DD,Commercial Bus 45-pax,88,0
BIZERTE DD,Commercial Bus 45-pax,89,0
BIZERTE DD,Commercial Bus 45-pax,90,0
BIZERTE DD,Commercial Bus 45-pax,91,0
BIZERTE DD,Commercial Bus 45-pax,92,0
BIZERTE DD,Commercial Bus 45-pax,93,0
BIZERTE DD,Commercial Bus 45-pax,94,0
BIZERTE DD,Commercial Bus 45-pax,95,0
BIZERTE DD,Commercial Bus 45-pax,96,0
BIZERTE DD,Commercial Bus 45-pax,97,0
BIZERTE DD,Commercial Bus 45-pax,98,0
BIZERTE DD,Commercial Bus 45-pax,99,0
BIZERTE DD,Commercial Bus 45-pax,100,0
BIZERTE DD,Commercial Bus 45-pax,101,0
BIZERTE DD,Commercial Bus 45-pax,102,0
BIZERTE DD,Commercial Bus 45-pax,103,0
BIZERTE DD,Commercial Bus 45-pax,104,0
BIZERTE DD,Commercial Bus 45-pax,105,0
BIZERTE DD,Commercial Bus 45-pax,106,0
BIZERTE DD,Commercial Bus 45-pax,107,0
BIZERTE DD,Commercial Bus 45-pax,108,0
BIZERTE DD,Commercial Bus 45-pax,109,0
BIZERTE DD,Commercial Bus 45-pax,110,0
BIZERTE DD,Commercial Bus 45-pax,111,0
BIZERTE DD,Commercial Bus 45-pax,112,0
BIZERTE DD,Commercial Bus 45-pax,113,0
BIZERTE DD,Commercial Bus 45-pax,114,0
BIZERTE DD,Commercial Bus 45-pax,115,0
BIZERTE DD,Commercial Bus 45-pax,116,0
BIZERTE DD,Commercial Bus 45-pax,117,0
BIZERTE DD,Commercial Bus 45-pax,118,0
BIZERTE DD,Commercial Bus 45-pax,119,0
BIZERTE DD,Commercial Bus 45-pax,120,0
BIZERTE DD,Commercial Bus 45-pax,121,0
BIZERTE DD,Commercial Bus 45-pax,122,0
