Vehicle Type Payloads in Tunisia
Vehicle Type<String>,Time<Day>,Num<Integer>,Ave % Payload<Float>,Max % Payload<Float>,Ave % Payload Area<Float>
Commercial 10-Ton Tractor/Commercial Semitrailer,27,1,13.333333,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,28,21,14.119047,27.999998,73.82143
Commercial 10-Ton Tractor/Commercial Semitrailer,30,10,13.866995,30.0,73.43437
Commercial 10-Ton Tractor/Commercial Semitrailer,31,40,13.299922,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,32,16,16.649422,40.0,77.36328
Commercial 10-Ton Tractor/Commercial Semitrailer,33,14,30.682539,40.0,56.58259
Commercial 10-Ton Tractor/Commercial Semitrailer,34,19,36.84211,44.666668,53.669407
Commercial 10-Ton Tractor/Commercial Semitrailer,35,23,18.82609,40.0,33.721466
Commercial 10-Ton Tractor/Commercial Semitrailer,37,5,12.99852,13.333333,71.375
Commercial 10-Ton Tractor/Commercial Semitrailer,38,4,13.333333,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,39,7,14.1428585,32.666668,41.25
Commercial 10-Ton Tractor/Commercial Semitrailer,40,30,15.366881,40.0,70.458336
Commercial 10-Ton Tractor/Commercial Semitrailer,41,141,38.038837,59.52381,37.97252
Commercial 10-Ton Tractor/Commercial Semitrailer,42,109,26.390951,59.52381,62.92517
Commercial 10-Ton Tractor/Commercial Semitrailer,43,35,24.146904,82.666664,70.67142
Commercial 10-Ton Tractor/Commercial Semitrailer,44,9,25.296295,40.0,70.020836
Commercial 10-Ton Tractor/Commercial Semitrailer,45,28,12.961625,13.333333,80.29018
Commercial 10-Ton Tractor/Commercial Semitrailer,46,19,12.146785,13.333333,75.98684
Commercial 10-Ton Tractor/Commercial Semitrailer,47,25,14.133335,40.0,79.38251
Commercial 10-Ton Tractor/Commercial Semitrailer,48,65,12.950205,13.333333,80.278854
Commercial 10-Ton Tractor/Commercial Semitrailer,49,27,44.369106,59.52381,22.916666
Commercial 10-Ton Tractor/Commercial Semitrailer,50,38,12.719613,13.666667,78.25658
Commercial 10-Ton Tractor/Commercial Semitrailer,51,65,36.727875,59.52381,40.298077
Commercial 10-Ton Tractor/Commercial Semitrailer,52,46,12.7983465,13.333333,79.36141
Commercial 10-Ton Tractor/Commercial Semitrailer,53,20,13.237129,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,54,73,25.792833,59.52381,56.50685
Commercial 10-Ton Tractor/Commercial Semitrailer,55,14,55.472786,59.52381,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,56,102,14.49223,40.0,81.35081
Commercial 10-Ton Tractor/Commercial Semitrailer,57,49,15.842883,40.0,79.88074
Commercial 10-Ton Tractor/Commercial Semitrailer,59,25,53.02286,59.52381,18.53
Commercial 10-Ton Tractor/Commercial Semitrailer,60,34,13.137255,13.333333,81.286766
Commercial 10-Ton Tractor/Commercial Semitrailer,61,34,13.333333,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,62,48,23.510817,59.52381,61.44531
Commercial 10-Ton Tractor/Commercial Semitrailer,63,90,23.313723,59.52381,61.875
Commercial 10-Ton Tractor/Commercial Semitrailer,64,48,12.899884,13.333333,79.921875
Commercial 10-Ton Tractor/Commercial Semitrailer,65,64,13.321607,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,66,42,13.203628,13.333333,82.00893
Commercial 10-Ton Tractor/Commercial Semitrailer,67,27,12.982921,13.333333,80.97222
Commercial 10-Ton Tractor/Commercial Semitrailer,68,49,13.0567665,13.333333,80.81633
Commercial 10-Ton Tractor/Commercial Semitrailer,69,90,24.022093,59.52381,62.791668
Commercial 10-Ton Tractor/Commercial Semitrailer,70,61,13.259069,13.333333,82.16189
Commercial 10-Ton Tractor/Commercial Semitrailer,71,72,13.233175,13.333333,81.927086
Commercial 10-Ton Tractor/Commercial Semitrailer,72,51,13.107968,13.333333,81.286766
Commercial 10-Ton Tractor/Commercial Semitrailer,73,49,13.262687,13.333333,82.07908
Commercial 10-Ton Tractor/Commercial Semitrailer,74,73,13.223207,13.333333,81.93493
Commercial 10-Ton Tractor/Commercial Semitrailer,75,99,14.0811205,60.0,79.79167
Commercial 10-Ton Tractor/Commercial Semitrailer,76,58,13.24783,13.333333,82.144394
Commercial 10-Ton Tractor/Commercial Semitrailer,77,82,13.322568,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,78,85,13.238543,13.333333,82.01471
Commercial 10-Ton Tractor/Commercial Semitrailer,79,82,13.235082,13.333333,81.99695
Commercial 10-Ton Tractor/Commercial Semitrailer,80,70,13.186344,13.333333,81.61607
Commercial 10-Ton Tractor/Commercial Semitrailer,81,56,13.129171,13.333333,81.39509
Commercial 10-Ton Tractor/Commercial Semitrailer,82,97,14.127791,40.0,81.237755
Commercial 10-Ton Tractor/Commercial Semitrailer,83,93,13.143631,13.333333,81.6129
Commercial 10-Ton Tractor/Commercial Semitrailer,84,76,13.171871,13.333333,81.68585
Commercial 10-Ton Tractor/Commercial Semitrailer,85,101,13.079825,13.333333,81.07056
Commercial 10-Ton Tractor/Commercial Semitrailer,86,104,13.144441,13.333333,81.50841
Commercial 10-Ton Tractor/Commercial Semitrailer,87,58,13.2245035,13.333333,82.144394
Commercial 10-Ton Tractor/Commercial Semitrailer,88,104,24.445143,60.0,62.07332
Commercial 10-Ton Tractor/Commercial Semitrailer,90,212,13.267513,13.333333,82.20814
Commercial 10-Ton Tractor/Commercial Semitrailer,91,73,13.188661,13.333333,81.6524
Commercial 10-Ton Tractor/Commercial Semitrailer,92,13,12.638464,13.333333,79.32692
Commercial 10-Ton Tractor/Commercial Semitrailer,93,24,12.786804,13.333333,79.921875
Commercial 10-Ton Tractor/Commercial Semitrailer,94,104,24.526445,60.0,62.66827
Commercial 10-Ton Tractor/Commercial Semitrailer,95,77,13.333334,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,96,108,19.318083,60.0,71.423615
Commercial 10-Ton Tractor/Commercial Semitrailer,97,102,15.230859,60.0,78.051476
Commercial 10-Ton Tractor/Commercial Semitrailer,98,11,13.333334,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,99,156,13.374651,30.0,81.70673
Commercial 10-Ton Tractor/Commercial Semitrailer,100,111,22.454926,60.0,65.40541
Commercial 10-Ton Tractor/Commercial Semitrailer,101,48,12.943477,13.333333,80.35156
Commercial 10-Ton Tractor/Commercial Semitrailer,102,111,13.331422,13.333333,82.5
Commercial 10-Ton Tractor/Commercial Semitrailer,103,57,13.232323,13.333333,82.13816
Commercial 10-Ton Tractor/Commercial Semitrailer,104,4,60.0,60.0,0.0
Commercial 10-Ton Tractor/Commercial Semitrailer,105,48,32.63889,60.0,47.265625
Commercial 10-Ton Tractor/Commercial Semitrailer,106,145,21.28885,60.0,67.84914
Commercial 10-Ton Tractor/Commercial Semitrailer,107,104,23.514261,60.0,63.659855
Commercial 10-Ton Tractor/Commercial Semitrailer,108,132,12.99371,13.333333,80.625
