Road Use
Time<Day>,Asset Pool<String>,Capacity<Float>,InUse<Float>,Available<Float>,Utilization<Percent>
0.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
1.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
2.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
3.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
4.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
5.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
6.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
7.0,BIZERTE DD,1742.0,0.0,1742.0,0.0
8.0,BIZERTE DD,1742.0,22.0,1720.0,0.012629162
9.0,BIZERTE DD,1742.0,32.0,1710.0,0.01836969
10.0,BIZERTE DD,1742.0,32.0,1710.0,0.01836969
11.0,BIZERTE DD,1742.0,26.0,1716.0,0.014925373
12.0,BIZERTE DD,1742.0,16.0,1726.0,0.009184845
13.0,BIZERTE DD,1742.0,36.0,1706.0,0.0206659
14.0,BIZERTE DD,1742.0,71.0,1671.0,0.04075775
15.0,BIZERTE DD,1742.0,75.0,1667.0,0.043053962
16.0,BIZERTE DD,1742.0,73.0,1669.0,0.041905854
17.0,BIZERTE DD,1742.0,87.0,1655.0,0.049942594
18.0,BIZERTE DD,1742.0,127.0,1615.0,0.072904706
19.0,BIZERTE DD,1742.0,117.0,1625.0,0.06716418
20.0,BIZERTE DD,1742.0,66.0,1676.0,0.037887484
21.0,BIZERTE DD,1742.0,83.0,1659.0,0.047646385
22.0,BIZERTE DD,1742.0,134.0,1608.0,0.07692308
23.0,BIZERTE DD,1742.0,128.0,1614.0,0.07347876
24.0,BIZERTE DD,1742.0,83.0,1659.0,0.047646385
25.0,BIZERTE DD,1742.0,134.0,1608.0,0.07692308
26.0,BIZERTE DD,1742.0,158.0,1584.0,0.09070034
27.0,BIZERTE DD,1742.0,234.0,1508.0,0.13432837
28.0,BIZERTE DD,1742.0,256.0,1486.0,0.14695752
29.0,BIZERTE DD,1742.0,264.0,1478.0,0.15154994
30.0,BIZERTE DD,1742.0,337.0,1405.0,0.1934558
31.0,BIZERTE DD,1742.0,321.0,1421.0,0.18427095
32.0,BIZERTE DD,1742.0,291.0,1451.0,0.16704936
33.0,BIZERTE DD,1742.0,412.0,1330.0,0.23650976
34.0,BIZERTE DD,1742.0,638.0,1104.0,0.3662457
35.0,BIZERTE DD,1742.0,643.0,1099.0,0.36911595
36.0,BIZERTE DD,1742.0,459.0,1283.0,0.26349023
37.0,BIZERTE DD,1742.0,260.0,1482.0,0.14925373
38.0,BIZERTE DD,1742.0,269.0,1473.0,0.15442021
39.0,BIZERTE DD,1742.0,273.0,1469.0,0.15671642
40.0,BIZERTE DD,1742.0,232.0,1510.0,0.13318025
41.0,BIZERTE DD,1742.0,444.0,1298.0,0.25487944
42.0,BIZERTE DD,1742.0,658.0,1084.0,0.37772676
43.0,BIZERTE DD,1742.0,676.0,1066.0,0.3880597
44.0,BIZERTE DD,1742.0,627.0,1115.0,0.3599311
45.0,BIZERTE DD,1742.0,391.0,1351.0,0.22445466
46.0,BIZERTE DD,1742.0,256.0,1486.0,0.14695752
47.0,BIZERTE DD,1742.0,192.0,1550.0,0.11021814
48.0,BIZERTE DD,1742.0,224.0,1518.0,0.12858783
49.0,BIZERTE DD,1742.0,261.0,1481.0,0.14982778
50.0,BIZERTE DD,1742.0,274.0,1468.0,0.15729047
51.0,BIZERTE DD,1742.0,313.0,1429.0,0.17967853
52.0,BIZERTE DD,1742.0,183.0,1559.0,0.10505167
53.0,BIZERTE DD,1742.0,195.0,1547.0,0.1119403
54.0,BIZERTE DD,1742.0,167.0,1575.0,0.09586682
55.0,BIZERTE DD,1742.0,200.0,1542.0,0.11481056
56.0,BIZERTE DD,1742.0,270.0,1472.0,0.15499426
57.0,BIZERTE DD,1742.0,255.0,1487.0,0.14638346
58.0,BIZERTE DD,1742.0,161.0,1581.0,0.0924225
59.0,BIZERTE DD,1742.0,333.0,1409.0,0.19115959
60.0,BIZERTE DD,1742.0,366.0,1376.0,0.21010333
61.0,BIZERTE DD,1742.0,311.0,1431.0,0.17853042
62.0,BIZERTE DD,1742.0,192.0,1550.0,0.11021814
63.0,BIZERTE DD,1742.0,200.0,1542.0,0.11481056
64.0,BIZERTE DD,1742.0,241.0,1501.0,0.13834673
65.0,BIZERTE DD,1742.0,224.0,1518.0,0.12858783
66.0,BIZERTE DD,1742.0,160.0,1582.0,0.09184845
67.0,BIZERTE DD,1742.0,169.0,1573.0,0.09701493
68.0,BIZERTE DD,1742.0,216.0,1526.0,0.12399541
69.0,BIZERTE DD,1742.0,251.0,1491.0,0.14408726
70.0,BIZERTE DD,1742.0,249.0,1493.0,0.14293915
71.0,BIZERTE DD,1742.0,214.0,1528.0,0.122847304
72.0,BIZERTE DD,1742.0,193.0,1549.0,0.11079219
73.0,BIZERTE DD,1742.0,205.0,1537.0,0.117680825
74.0,BIZERTE DD,1742.0,239.0,1503.0,0.13719863
75.0,BIZERTE DD,1742.0,224.0,1518.0,0.12858783
76.0,BIZERTE DD,1742.0,210.0,1532.0,0.120551094
77.0,BIZERTE DD,1742.0,234.0,1508.0,0.13432837
78.0,BIZERTE DD,1742.0,234.0,1508.0,0.13432837
79.0,BIZERTE DD,1742.0,219.0,1523.0,0.12571757
80.0,BIZERTE DD,1742.0,193.0,1549.0,0.11079219
81.0,BIZERTE DD,1742.0,216.0,1526.0,0.12399541
