Bus Usage
Time<Day>,Asset Pool<String>,Capacity<Float>,InUse<Float>,Available<Float>,Utilization<Percent>
0.0,BIZERTE DD,304.0,0.0,304.0,0.0
1.0,BIZERTE DD,304.0,0.0,304.0,0.0
2.0,BIZERTE DD,304.0,0.0,304.0,0.0
3.0,BIZERTE DD,304.0,0.0,304.0,0.0
4.0,BIZERTE DD,304.0,0.0,304.0,0.0
5.0,BIZERTE DD,304.0,0.0,304.0,0.0
6.0,BIZERTE DD,304.0,0.0,304.0,0.0
7.0,BIZERTE DD,304.0,0.0,304.0,0.0
8.0,BIZERTE DD,304.0,0.0,304.0,0.0
9.0,BIZERTE DD,304.0,0.0,304.0,0.0
10.0,BIZERTE DD,304.0,0.0,304.0,0.0
11.0,BIZERTE DD,304.0,3.0,301.0,0.009868421
12.0,BIZERTE DD,304.0,3.0,301.0,0.009868421
13.0,BIZERTE DD,304.0,4.0,300.0,0.013157895
14.0,BIZERTE DD,304.0,12.0,292.0,0.039473683
15.0,BIZERTE DD,304.0,14.0,290.0,0.04605263
16.0,BIZERTE DD,304.0,7.0,297.0,0.023026315
17.0,BIZERTE DD,304.0,14.0,290.0,0.04605263
18.0,BIZERTE DD,304.0,31.0,273.0,0.10197368
19.0,BIZERTE DD,304.0,28.0,276.0,0.09210526
20.0,BIZERTE DD,304.0,25.0,279.0,0.08223684
21.0,BIZERTE DD,304.0,40.0,264.0,0.13157895
22.0,BIZERTE DD,304.0,43.0,261.0,0.14144737
23.0,BIZERTE DD,304.0,41.0,263.0,0.13486843
24.0,BIZERTE DD,304.0,47.0,257.0,0.15460527
25.0,BIZERTE DD,304.0,52.0,252.0,0.17105263
26.0,BIZERTE DD,304.0,54.0,250.0,0.17763157
27.0,BIZERTE DD,304.0,42.0,262.0,0.13815789
28.0,BIZERTE DD,304.0,50.0,254.0,0.16447368
29.0,BIZERTE DD,304.0,45.0,259.0,0.14802632
30.0,BIZERTE DD,304.0,32.0,272.0,0.10526316
31.0,BIZERTE DD,304.0,25.0,279.0,0.08223684
32.0,BIZERTE DD,304.0,28.0,276.0,0.09210526
33.0,BIZERTE DD,304.0,20.0,284.0,0.065789476
34.0,BIZERTE DD,304.0,16.0,288.0,0.05263158
35.0,BIZERTE DD,304.0,25.0,279.0,0.08223684
36.0,BIZERTE DD,304.0,33.0,271.0,0.108552635
37.0,BIZERTE DD,304.0,33.0,271.0,0.108552635
38.0,BIZERTE DD,304.0,30.0,274.0,0.098684214
39.0,BIZERTE DD,304.0,38.0,266.0,0.125
40.0,BIZERTE DD,304.0,32.0,272.0,0.10526316
41.0,BIZERTE DD,304.0,33.0,271.0,0.108552635
42.0,BIZERTE DD,304.0,29.0,275.0,0.09539474
43.0,BIZERTE DD,304.0,28.0,276.0,0.09210526
44.0,BIZERTE DD,304.0,37.0,267.0,0.121710524
45.0,BIZERTE DD,304.0,21.0,283.0,0.069078945
46.0,BIZERTE DD,304.0,20.0,284.0,0.065789476
