UTC,vehicle_type,type,num_in_utc,num_for_theater,setup_delay
QFEBC,M1078 2.5-Ton LMTV,Road,5,5,0.0
U4477,M1000 70-Ton HET Trailer,Road,96,96,0.0
U4477,M1070 HET Tractor,Road,96,96,0.0
U5BNN,M1083 WOWN 5-Ton MTV,Road,52,52,0.0
U5BNN,M1088 WOWN MTV Tractor,Road,10,10,0.0
U5BNN,M871A2 22.5-Ton Semitrailer,Road,25,25,0.0
U6477,M1000 70-Ton HET Trailer,Road,48,48,0.0
U6477,M1070 HET Tractor,Road,48,48,0.0
U7BNN,M1062 7500-Gal Tanker,Road,60,60,0.0
U7BNN,M915A2 25-Ton Tractor,Road,61,61,0.0
UBBNN,M1088 WOWN MTV Tractor,Road,61,61,0.0
UBBNN,M967A1 5000-Gal Tanker,Road,60,60,0.0
UBE77,M1083 WOWN 5-Ton MTV,Road,52,52,0.0
UBE77,M1088 WOWN MTV Tractor,Road,10,10,0.0
UBE77,M871A2 22.5-Ton Semitrailer,Road,25,25,0.0
UL444,M872A3 34-Ton Semitrailer,Road,120,120,0.0
UL444,M915A2 25-Ton Tractor,Road,61,61,0.0
UUQ77,M1083 WOWN 5-Ton MTV,Road,52,52,0.0
UUQ77,M1088 WOWN MTV Tractor,Road,10,10,0.0
UUQ77,M871A2 22.5-Ton Semitrailer,Road,20,20,0.0
UWUTT,M1088 WOWN MTV Tractor,Road,61,61,0.0
UWUTT,M871A2 22.5-Ton Semitrailer,Road,120,120,0.0
UZ477,M1075 PLS,Road,48,48,0.0
UZ477,M1076 16.5-Ton PLS Trailer,Road,48,48,0.0
UKBNN,LCU-1600,Water,5,5,1.0
UKBNN,LCAC,Water,3,3,1.0
UKBNN,RRDF 1-SP,JLOTS,1,1,12.0
