UTC,clsNetObj,attribute,value,setupDelay
ABCDE,Node,31,1000.0,0.0
KE666,Seaport,68,55.0,0.0
QXTTT,Node,17,1000.0,0.0
UAQEE,Seaport,68,2000.0,0.0
UAQEE,Seaport,69,2000.0,0.0
UAQEE,Seaport,70,100.0,0.0
UAQEE,Seaport,71,100.0,0.0
UAQEE,Seaport,72,400.0,0.0
UAQEE,Seaport,73,400.0,0.0
UCHA1,Seaport,68,2500.0,0.0
UCHA1,Seaport,69,2500.0,0.0
UCHA1,Seaport,70,180.0,0.0
UCHA1,Seaport,71,180.0,0.0
UCHA1,Seaport,72,910.0,0.0
UCHA1,Seaport,73,910.0,0.0
UCHBW,Seaport,68,2500.0,0.0
UCHBW,Seaport,69,2500.0,0.0
UCHBW,Seaport,70,180.0,0.0
UCHBW,Seaport,71,180.0,0.0
UCHBW,Seaport,72,910.0,0.0
UCHBW,Seaport,73,910.0,0.0
UHBNN,Seaport,68,2500.0,0.0
UHBNN,Seaport,69,2500.0,0.0
UHBNN,Seaport,70,180.0,0.0
UHBNN,Seaport,71,180.0,0.0
UHBNN,Seaport,72,910.0,0.0
UHBNN,Seaport,73,910.0,0.0
UPCVV,Node,17,480.0,0.0
URZVV,Node,17,400.0,0.0
UVUUU,Node,17,480.0,0.0
UY1VV,Node,17,500.0,0.0
UY1VV,Seaport,68,2500.0,0.0
UY1VV,Seaport,69,2500.0,0.0
UY1VV,Seaport,70,180.0,0.0
UY1VV,Seaport,71,180.0,0.0
UY1VV,Seaport,72,910.0,0.0
UY1VV,Seaport,73,910.0,0.0
UZT77,Node,17,500.0,0.0
UZT77,Node,34,100.0,0.0
UZT77,Seaport,68,2500.0,0.0
UZT77,Seaport,69,2500.0,0.0
UZT77,Seaport,70,200.0,0.0
UZT77,Seaport,71,200.0,0.0
UZT77,Seaport,72,910.0,0.0
UZT77,Seaport,73,910.0,0.0
