pool_num,record_num,priority,vehicle_type,fromday,today,num_vehicles,percent_avail,cost_per_mi,cost_pax,cost_gal,cost_teu,cost_mton,fuelAdjFactor,accessorial
1,1,1,commercial heavy railcar,-999.0,-999.0,200,90.0,0.0,0.0,0.0,1.86,0.120000005,0.0,0.0
1,2,2,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,120,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,M1074 PLS,-999.0,-999.0,75,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,4,4,M1083 WOWN 5-Ton MTV,-999.0,-999.0,240,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,5,5,M1083 WOWN 5-Ton MTV,-999.0,-999.0,180,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,6,6,M35 2.5-Ton,-999.0,-999.0,320,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,7,7,Commercial POL Truck,-999.0,-999.0,60,95.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1,8,8,Commercial Bus 45-pax,-999.0,-999.0,320,95.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
1,9,9,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,240,90.0,0.0,0.0,0.0,2.22,0.18,0.0,0.0
1,10,10,M123 10-Ton Tractor/M870 40-Ton Lowbed,-999.0,-999.0,120,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,11,11,Commercial HET Tractor/Commercial HET Trailer,-999.0,-999.0,60,90.0,0.0,0.0,0.0,2.22,0.18,0.0,0.0
1,12,12,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,120,90.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
1,13,13,Commercial HET Tractor/Commercial HET Trailer,-999.0,-999.0,60,90.0,0.0,0.0,0.0,2.22,0.18,0.0,0.0
3,1,1,commercial medium railcar,-999.0,-999.0,500,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
3,2,2,54DODX,-999.0,-999.0,200,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,100,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
3,4,4,M1083 WOWN 5-Ton MTV,-999.0,-999.0,200,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
3,5,5,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,270,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
3,6,6,Commercial Bus 45-pax,-999.0,-999.0,100,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,7,7,54DODX,15.0,-999.0,100,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
3,8,8,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,200,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
4,1,1,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
4,3,3,Commercial HET Tractor/Commercial HET Trailer,-999.0,-999.0,99,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
4,4,4,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,99,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
4,5,5,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5,1,1,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
5,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
5,3,3,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
5,4,4,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,1,1,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
6,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
6,3,3,M123 10-Ton Tractor/M870 40-Ton Lowbed,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
6,4,4,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
6,5,5,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7,1,1,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
7,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
7,3,3,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
7,4,4,54DODX,-999.0,-999.0,99,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
7,5,5,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7,6,6,commercial medium railcar,-999.0,-999.0,25,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
7,7,7,commercial boxcar,-999.0,-999.0,25,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
8,1,1,M1088 WOWN MTV Tractor/M967A1 5000-Gal Tanker,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
8,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
8,3,3,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
8,4,4,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8,5,5,54DODX,-999.0,-999.0,99,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
8,6,6,Medium Cargo Truck,-999.0,-999.0,50,95.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
9,1,1,M1074 PLS,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
9,2,2,M1083 WOWN 5-Ton MTV,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
9,3,3,M1070 HET Tractor/M1000 70-Ton HET Trailer,-999.0,-999.0,99,90.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,4,54DODX,7.0,-999.0,55,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
9,5,5,Commercial Bus 45-pax,-999.0,-999.0,99,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
9,6,6,54DODX,-999.0,-999.0,99,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
9,7,7,54DODX,5.0,-999.0,250,90.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
9,8,8,Medium Cargo Truck,-999.0,-999.0,50,95.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
11,1,1,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,200,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
11,2,2,Commercial Bus 45-pax,-999.0,-999.0,50,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
11,3,3,Medium Cargo Truck,-999.0,-999.0,100,95.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
11,4,4,commercial medium railcar,-999.0,-999.0,300,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
12,1,1,commercial medium railcar,-999.0,-999.0,250,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
12,2,2,commercial boxcar,-999.0,-999.0,100,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
13,1,1,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,100,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
13,2,2,Commercial Bus 45-pax,-999.0,-999.0,20,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
13,3,3,commercial medium railcar,-999.0,-999.0,250,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
13,4,4,68FLAT,-999.0,-999.0,250,90.0,0.0,0.0,0.0,1.55,0.1,0.0,0.0
14,1,1,Commercial 10-Ton Tractor/Commercial Semitrailer,-999.0,-999.0,100,90.0,0.0,0.0,0.0,1.85,0.15,0.0,0.0
14,2,2,Commercial Bus 45-pax,-999.0,-999.0,20,95.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
