Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,7.25,7.2101846,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,7,HOME,XDAT,AIR,KC-10,KC10-XDAT001,STRATEGIC,"","",false,false,KC10-XDAT001-D0007R0001S01,7.8351846,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,7.25,7.2101846,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,7,HOME,XDAT,AIR,KC-10,KC10-XDAT002,STRATEGIC,"","",false,false,KC10-XDAT002-D0007R0001S01,7.8351846,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,7.25,7.2101846,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,7,HOME,XDAT,AIR,KC-10,KC10-XDAT003,STRATEGIC,"","",false,false,KC10-XDAT003-D0007R0001S01,7.8351846,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,7.25,7.2101846,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,7,HOME,XDAT,AIR,KC-10,KC10-XDAT004,STRATEGIC,"","",false,false,KC10-XDAT004-D0007R0001S01,7.8976846,false,false,false,84.675,0.34189898,0.6875,0.20833333,0.0625,0.4166667,0,,"","",0
MAIN,7.4,7.354959,ENROUTE,MQNA,RAMP1,7.09375,LOAD,DKFX,AIR,C-17,C17-DKFX001,STRATEGIC,"","",false,false,C17-DKFX001-D0007R0001S01,7.448709,false,false,false,79.81125,0.29087415,0.09375,0.09375,0,0,0,,"","",0
MAIN,7.65,7.640694,UNLOAD,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,7.448709,ENROUTE,MQNA,AIR,C-17,C17-DKFX001,STRATEGIC,"","",false,false,C17-DKFX001-D0007R0001S01,8.265694,false,false,false,86.1,0.005139202,0.6249995,0.09375,0,0.53125,0,,"","",0
MAIN,8.1,8.05232,ENROUTE,MQNA,RAMP1,7.8351846,LOAD,FJXT,AIR,KC-10,KC10-XDAT001,STRATEGIC,"","",false,false,KC10-XDAT001-D0007R0001S01,8.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,8.1,8.05232,ENROUTE,MQNA,RAMP1,7.8351846,LOAD,FJXT,AIR,KC-10,KC10-XDAT002,STRATEGIC,"","",false,false,KC10-XDAT002-D0007R0001S01,8.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,8.1,8.05232,ENROUTE,MQNA,RAMP1,7.8351846,LOAD,FJXT,AIR,KC-10,KC10-XDAT003,STRATEGIC,"","",false,false,KC10-XDAT003-D0007R0001S01,8.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,8.15,8.11482,ENROUTE,MQNA,RAMP1,7.8976846,LOAD,FJXT,AIR,KC-10,KC10-XDAT004,STRATEGIC,"","",false,false,KC10-XDAT004-D0007R0001S01,8.17732,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,8.25,8.210184,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,8,HOME,XDAT,AIR,KC-10,KC10-XDAT005,STRATEGIC,"","",false,false,KC10-XDAT005-D0008R0001S01,8.835184,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,8.25,8.210184,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,8,HOME,XDAT,AIR,KC-10,KC10-XDAT006,STRATEGIC,"","",false,false,KC10-XDAT006-D0008R0001S01,8.835184,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,8.3,8.294507,UNLOAD,HNTK,GABES -HNTK-APT-parking,8.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT001,STRATEGIC,"","",false,false,KC10-XDAT001-D0007R0001S01,8.919507,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,8.3,8.294507,UNLOAD,HNTK,GABES -HNTK-APT-parking,8.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT002,STRATEGIC,"","",false,false,KC10-XDAT002-D0007R0001S01,8.919507,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,8.3,8.294507,UNLOAD,HNTK,GABES -HNTK-APT-parking,8.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT003,STRATEGIC,"","",false,false,KC10-XDAT003-D0007R0001S01,8.919507,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,8.4,8.357007,UNLOAD,HNTK,GABES -HNTK-APT-parking,8.17732,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT004,STRATEGIC,"","",false,false,KC10-XDAT004-D0007R0001S01,8.982007,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,8.7,8.698496,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,8.265694,UNLOAD,FUQN,AIR,C-17,C17-DKFX001,STRATEGIC,"","",false,false,C17-DKFX001-D0007R0001S01,9.323496,false,false,false,13.172001,0.11928144,0.625,0.09375,0,0.53125,0,,"","",0
MAIN,9.1,9.05232,ENROUTE,MQNA,RAMP1,8.835184,LOAD,FJXT,AIR,KC-10,KC10-XDAT005,STRATEGIC,"","",false,false,KC10-XDAT005-D0008R0001S01,9.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.1,9.05232,ENROUTE,MQNA,RAMP1,8.835184,LOAD,FJXT,AIR,KC-10,KC10-XDAT006,STRATEGIC,"","",false,false,KC10-XDAT006-D0008R0001S01,9.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.15,9.123475,ENROUTE,MQNA,RAMP1,8.919507,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT001,STRATEGIC,"","",false,false,KC10-XDAT001-D0007R0001S01,9.185975,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.15,9.123475,ENROUTE,MQNA,RAMP1,8.919507,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT002,STRATEGIC,"","",false,false,KC10-XDAT002-D0007R0001S01,9.185975,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.15,9.123475,ENROUTE,MQNA,RAMP1,8.919507,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT003,STRATEGIC,"","",false,false,KC10-XDAT003-D0007R0001S01,9.185975,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.2,9.185975,ENROUTE,MQNA,RAMP1,8.982007,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT004,STRATEGIC,"","",false,false,KC10-XDAT004-D0007R0001S01,9.248475,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,9.3,9.294507,UNLOAD,HNTK,GABES -HNTK-APT-parking,9.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT005,STRATEGIC,"","",false,false,KC10-XDAT005-D0008R0001S01,9.919507,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,9.3,9.294507,UNLOAD,HNTK,GABES -HNTK-APT-parking,9.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT006,STRATEGIC,"","",false,false,KC10-XDAT006-D0008R0001S01,9.919507,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,9.45,9.409433,HOME,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,9.323496,ENROUTE,PTFL,AIR,C-17,C17-DKFX001,STRATEGIC,"","",false,false,C17-DKFX001-D0007R0001S01,9.503183,false,false,false,86.1,0.4661458,0.09375,0.09375,0,0,0,,"","",0
MAIN,9.45,9.426415,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,9.185975,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT001,STRATEGIC,"","",false,false,KC10-XDAT001-D0007R0001S01,10.051415,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,9.45,9.426415,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,9.185975,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT002,STRATEGIC,"","",false,false,KC10-XDAT002-D0007R0001S01,10.051415,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
