Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,7.05,KC10-XDAT001,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,7,KC10-XDAT001-D0007R0001S01,AIR,FJXT,7.2101846,0.5520833,CHANGE,0,0,0,,false,0
MAIN,7.05,KC10-XDAT002,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,7,KC10-XDAT002-D0007R0001S01,AIR,FJXT,7.2101846,0.5520833,CHANGE,0,0,0,,false,0
MAIN,7.05,KC10-XDAT003,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,7,KC10-XDAT003-D0007R0001S01,AIR,FJXT,7.2101846,0.5520833,CHANGE,0,0,0,,false,0
MAIN,7.05,KC10-XDAT004,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,7,KC10-XDAT004-D0007R0001S01,AIR,FJXT,7.2101846,0.5520833,CHANGE,0,0,0,,false,0
MAIN,7.1,C17-DKFX001,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,7.09375,C17-DKFX001-D0007R0001S01,AIR,MQNA,7.354959,0.5520833,WORK,0,0,0,,false,0
MAIN,7.45,C17-DKFX001,C-17,MQNA,RAMP1,7.448709,C17-DKFX001-D0007R0001S01,AIR,FUQN,7.640694,0.19712415,WORK,0,0,0,,false,0
MAIN,7.85,KC10-XDAT001,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,7.8351846,KC10-XDAT001-D0007R0001S01,AIR,MQNA,8.05232,0.5520833,REST,0,0,0,,false,0
MAIN,7.85,KC10-XDAT002,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,7.8351846,KC10-XDAT002-D0007R0001S01,AIR,MQNA,8.05232,0.5520833,REST,0,0,0,,false,0
MAIN,7.85,KC10-XDAT003,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,7.8351846,KC10-XDAT003-D0007R0001S01,AIR,MQNA,8.05232,0.5520833,REST,0,0,0,,false,0
MAIN,7.9,KC10-XDAT004,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,7.8976846,KC10-XDAT004-D0007R0001S01,AIR,MQNA,8.11482,0.5520833,REST,0.0625,0,0,,false,0
MAIN,8.05,KC10-XDAT005,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,8,KC10-XDAT005-D0008R0001S01,AIR,FJXT,8.210184,0.5520833,CHANGE,0,0,0,,false,0
MAIN,8.05,KC10-XDAT006,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,8,KC10-XDAT006-D0008R0001S01,AIR,FJXT,8.210184,0.5520833,CHANGE,0,0,0,,false,0
