Model,FedTime,RoundTripID,MissionID,AssetID,StartTime
MAIN,7.05,KC10-XDAT001-D0007R0001,KC10-XDAT001-D0007R0001S01,KC10-XDAT001,7
MAIN,7.05,KC10-XDAT002-D0007R0001,KC10-XDAT002-D0007R0001S01,KC10-XDAT002,7
MAIN,7.05,KC10-XDAT003-D0007R0001,KC10-XDAT003-D0007R0001S01,KC10-XDAT003,7
MAIN,7.05,KC10-XDAT004-D0007R0001,KC10-XDAT004-D0007R0001S01,KC10-XDAT004,7
MAIN,7.05,C17-DKFX001-D0007R0001,C17-DKFX001-D0007R0001S01,C17-DKFX001,7
MAIN,8.05,KC10-XDAT005-D0008R0001,KC10-XDAT005-D0008R0001S01,KC10-XDAT005,8
MAIN,8.05,KC10-XDAT006-D0008R0001,KC10-XDAT006-D0008R0001S01,KC10-XDAT006,8
MAIN,10.05,B747-400-XDAT001-D0010R0001,B747-400-XDAT001-D0010R0001S01,B747-400-XDAT001,10
MAIN,10.4,KC10-XDAT001-D0010R0002,KC10-XDAT001-D0010R0002S01,KC10-XDAT001,10.354511
MAIN,12.05,C17-DKFX001-D0012R0002,C17-DKFX001-D0012R0002S01,C17-DKFX001,12
MAIN,12.05,C17-DKFX002-D0012R0001,C17-DKFX002-D0012R0001S01,C17-DKFX002,12
MAIN,12.05,C17-XDAT001-D0012R0001,C17-XDAT001-D0012R0001S01,C17-XDAT001,12
MAIN,12.05,C17-PQWY001-D0012R0001,C17-PQWY001-D0012R0001S01,C17-PQWY001,12
MAIN,12.05,B747-400-XDAT002-D0012R0001,B747-400-XDAT002-D0012R0001S01,B747-400-XDAT002,12
MAIN,13.05,KC10-XDAT002-D0013R0002,KC10-XDAT002-D0013R0002S01,KC10-XDAT002,13
MAIN,13.05,KC10-XDAT003-D0013R0002,KC10-XDAT003-D0013R0002S01,KC10-XDAT003,13
MAIN,13.05,KC10-XDAT004-D0013R0002,KC10-XDAT004-D0013R0002S01,KC10-XDAT004,13
