Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,7.05,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,XDAT,KC-10,PLACE_HOLDER,7,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,7.05,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,XDAT,KC-10,PLACE_HOLDER,7,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,7.05,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,XDAT,KC-10,PLACE_HOLDER,7,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,7.05,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,XDAT,KC-10,PLACE_HOLDER,7,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,7.1,C17-DKFX001,C17-DKFX001-D0007R0001S01,DKFX,C-17,PLACE_HOLDER,7.09375,CHARLESTON AFB-IN -DKFX-JAP-PARKING,false,false
MAIN,7.45,C17-DKFX001,C17-DKFX001-D0007R0001S01,MQNA,C-17,PLACE_HOLDER,7.448709,RAMP1,false,false
MAIN,7.85,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,FJXT,KC-10,PLACE_HOLDER,7.8351846,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,7.85,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,FJXT,KC-10,PLACE_HOLDER,7.8351846,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,7.85,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,FJXT,KC-10,PLACE_HOLDER,7.8351846,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,7.9,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,FJXT,KC-10,PLACE_HOLDER,7.8976846,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,8.05,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,XDAT,KC-10,PLACE_HOLDER,8,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,8.05,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,XDAT,KC-10,PLACE_HOLDER,8,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,8.15,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,8.11482,RAMP1,false,false
MAIN,8.15,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,8.11482,RAMP1,false,false
MAIN,8.15,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,8.11482,RAMP1,false,false
MAIN,8.2,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,8.17732,RAMP1,false,false
MAIN,8.3,C17-DKFX001,C17-DKFX001-D0007R0001S01,FUQN,C-17,PLACE_HOLDER,8.265694,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,8.85,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,FJXT,KC-10,PLACE_HOLDER,8.835184,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,8.85,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,FJXT,KC-10,PLACE_HOLDER,8.835184,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,8.95,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,HNTK,KC-10,PLACE_HOLDER,8.919507,GABES -HNTK-APT-parking,false,false
MAIN,8.95,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,HNTK,KC-10,PLACE_HOLDER,8.919507,GABES -HNTK-APT-parking,false,false
MAIN,8.95,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,HNTK,KC-10,PLACE_HOLDER,8.919507,GABES -HNTK-APT-parking,false,false
MAIN,9,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,HNTK,KC-10,PLACE_HOLDER,8.982007,GABES -HNTK-APT-parking,false,false
MAIN,9.15,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,MQNA,KC-10,PLACE_HOLDER,9.11482,RAMP1,false,false
MAIN,9.15,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,MQNA,KC-10,PLACE_HOLDER,9.11482,RAMP1,false,false
MAIN,9.2,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,9.185975,RAMP1,false,false
MAIN,9.2,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,9.185975,RAMP1,false,false
MAIN,9.2,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,9.185975,RAMP1,false,false
MAIN,9.25,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,MQNA,KC-10,PLACE_HOLDER,9.248475,RAMP1,false,false
MAIN,9.35,C17-DKFX001,C17-DKFX001-D0007R0001S01,PTFL,C-17,PLACE_HOLDER,9.323496,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,9.95,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,HNTK,KC-10,PLACE_HOLDER,9.919507,GABES -HNTK-APT-parking,false,false
MAIN,9.95,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,HNTK,KC-10,PLACE_HOLDER,9.919507,GABES -HNTK-APT-parking,false,false
MAIN,10.05,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,XDAT,B-747P,PLACE_HOLDER,10,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,10.1,KC10-XDAT001,KC10-XDAT001-D0007R0001S01,PTFL,KC-10,PLACE_HOLDER,10.051415,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,10.1,KC10-XDAT002,KC10-XDAT002-D0007R0001S01,PTFL,KC-10,PLACE_HOLDER,10.051415,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,10.1,KC10-XDAT003,KC10-XDAT003-D0007R0001S01,PTFL,KC-10,PLACE_HOLDER,10.051415,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,10.15,KC10-XDAT004,KC10-XDAT004-D0007R0001S01,PTFL,KC-10,PLACE_HOLDER,10.113915,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,10.2,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,QKJA,B-747P,PLACE_HOLDER,10.182927,MIRAMAR NAS -QKJA-MAP-PARKING,false,false
MAIN,10.2,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,MQNA,KC-10,PLACE_HOLDER,10.185975,RAMP1,false,false
MAIN,10.2,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,MQNA,KC-10,PLACE_HOLDER,10.185975,RAMP1,false,false
MAIN,10.4,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,XDAT,KC-10,PLACE_HOLDER,10.354511,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,10.65,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,QKJA,KC-10,PLACE_HOLDER,10.625111,MIRAMAR NAS -QKJA-MAP-PARKING,false,false
MAIN,11,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,TMKH,B-747P,PLACE_HOLDER,10.98647,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,11.1,KC10-XDAT005,KC10-XDAT005-D0008R0001S01,PTFL,KC-10,PLACE_HOLDER,11.051415,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,11.1,KC10-XDAT006,KC10-XDAT006-D0008R0001S01,PTFL,KC-10,PLACE_HOLDER,11.051415,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,11.5,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,PTFL,KC-10,PLACE_HOLDER,11.453484,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,11.5,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,HNTK,B-747P,PLACE_HOLDER,11.485328,GABES -HNTK-APT-parking,false,false
MAIN,11.75,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,MQNA,KC-10,PLACE_HOLDER,11.7284,RAMP1,false,false
MAIN,12.05,C17-DKFX001,C17-DKFX001-D0012R0002S01,DKFX,C-17,PLACE_HOLDER,12,CHARLESTON AFB-IN -DKFX-JAP-PARKING,false,false
MAIN,12.05,C17-DKFX002,C17-DKFX002-D0012R0001S01,DKFX,C-17,PLACE_HOLDER,12,CHARLESTON AFB-IN -DKFX-JAP-PARKING,false,false
MAIN,12.05,C17-XDAT001,C17-XDAT001-D0012R0001S01,XDAT,C-17,PLACE_HOLDER,12,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,12.05,C17-PQWY001,C17-PQWY001-D0012R0001S01,PQWY,C-17,PLACE_HOLDER,12,MCCHORD AFB -PQWY-MAP-PARKING,false,false
MAIN,12.05,B747-400-XDAT002,B747-400-XDAT002-D0012R0001S01,XDAT,B-747P,PLACE_HOLDER,12,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,12.15,C17-DKFX001,C17-DKFX001-D0012R0002S01,TMKH,C-17,PLACE_HOLDER,12.118784,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,12.15,C17-DKFX002,C17-DKFX002-D0012R0001S01,TMKH,C-17,PLACE_HOLDER,12.118784,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,12.15,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,FUQN,B-747P,PLACE_HOLDER,12.12049,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,12.55,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,HNTK,KC-10,PLACE_HOLDER,12.533088,GABES -HNTK-APT-parking,false,false
MAIN,12.85,KC10-XDAT001,KC10-XDAT001-D0010R0002S01,MQNA,KC-10,PLACE_HOLDER,12.799556,RAMP1,false,false
MAIN,12.85,B747-400-XDAT002,B747-400-XDAT002-D0012R0001S01,TMKH,B-747P,PLACE_HOLDER,12.817211,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,12.85,C17-XDAT001,C17-XDAT001-D0012R0001S01,TMKH,C-17,PLACE_HOLDER,12.838197,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,12.85,C17-PQWY001,C17-PQWY001-D0012R0001S01,TMKH,C-17,PLACE_HOLDER,12.838861,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,12.9,B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,TYFR,B-747P,PLACE_HOLDER,12.862044,RAMP1,false,false
MAIN,13,C17-DKFX001,C17-DKFX001-D0012R0002S01,MQNA,C-17,PLACE_HOLDER,12.9956455,RAMP1,false,false
MAIN,13,C17-DKFX002,C17-DKFX002-D0012R0001S01,MQNA,C-17,PLACE_HOLDER,12.9956455,RAMP1,false,false
MAIN,13.05,KC10-XDAT002,KC10-XDAT002-D0013R0002S01,XDAT,KC-10,PLACE_HOLDER,13,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,13.05,KC10-XDAT003,KC10-XDAT003-D0013R0002S01,XDAT,KC-10,PLACE_HOLDER,13,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,13.05,KC10-XDAT004,KC10-XDAT004-D0013R0002S01,XDAT,KC-10,PLACE_HOLDER,13,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,13.2,C17-XDAT001,C17-XDAT001-D0012R0001S01,MQNA,C-17,PLACE_HOLDER,13.183808,RAMP1,false,false
MAIN,13.2,C17-PQWY001,C17-PQWY001-D0012R0001S01,MQNA,C-17,PLACE_HOLDER,13.184473,RAMP1,false,false
MAIN,13.3,C17-DKFX001,C17-DKFX001-D0012R0002S01,FUQN,C-17,PLACE_HOLDER,13.281381,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,13.3,C17-DKFX002,C17-DKFX002-D0012R0001S01,FUQN,C-17,PLACE_HOLDER,13.281381,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,13.45,B747-400-XDAT001,B747-400-XDAT001-D0013R0002S01,XDAT,B-747P,PLACE_HOLDER,13.40863,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,13.45,KC10-XDAT004,KC10-XDAT004-D0013R0002S01,TMKH,KC-10,PLACE_HOLDER,13.409547,POPE AFB -TMKH-MAP-PARKING,false,false
MAIN,13.7,KC10-XDAT001,KC10-XDAT001-D0010R0002S02,PTFL,KC-10,PLACE_HOLDER,13.664996,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,13.9,KC10-XDAT001,KC10-XDAT001-D0010R0002S02,FJXT,KC-10,PLACE_HOLDER,13.883785,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,13.95,B747-400-XDAT002,B747-400-XDAT002-D0012R0001S01,CWKW,B-747P,PLACE_HOLDER,13.904325,RAMP1,false,false
MAIN,13.95,KC10-XDAT002,KC10-XDAT002-D0013R0002S01,FJXT,KC-10,PLACE_HOLDER,13.908965,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,13.95,KC10-XDAT003,KC10-XDAT003-D0013R0002S01,FJXT,KC-10,PLACE_HOLDER,13.908965,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,14.05,KC10-XDAT005,KC10-XDAT005-D0014R0002S01,XDAT,KC-10,PLACE_HOLDER,14,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,14.05,KC10-XDAT006,KC10-XDAT006-D0014R0002S01,XDAT,KC-10,PLACE_HOLDER,14,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,14.05,KC10-XDAT007,KC10-XDAT007-D0014R0001S01,XDAT,KC-10,PLACE_HOLDER,14,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,14.05,KC10-XDAT008,KC10-XDAT008-D0014R0001S01,XDAT,KC-10,PLACE_HOLDER,14,TRAVIS AFB -XDAT-MAP-PARKING,false,false
