Model,FedTime,CargoId,Type,Amount,AmountPriorToSplit,Stons,Rln,CargoCommodity
MAIN,0.05,1:00FB.A2D0001,Available,3.0,3.0,14.09999942779541,1:00FB,RORO
MAIN,0.05,1:00FB.A2D0002,Available,1.0,1.0,4.800000190734863,1:00FB,RORO
MAIN,0.05,1:00FB.J3C0001,Available,3.0,3.0,2.6999999284744263,1:00FB,Breakbulk
MAIN,0.05,1:00FB.J3C0002,Available,1.0,1.0,0.9000000953674316,1:00FB,Breakbulk
MAIN,0.05,1:00FB.J7C0001,Available,42.0,42.0,42.0,1:00FB,Breakbulk
MAIN,0.05,1:00FB.J7C0002,Available,1.0,1.0,0.7999992370605469,1:00FB,Breakbulk
MAIN,0.05,1:00FB.M7C0001,Available,1.0,1.0,0.8999999761581421,1:00FB,Breakbulk
MAIN,0.05,1:00FB.PAX,Available,25.0,25.0,3.750000149011612,1:00FB,PAX
MAIN,0.05,1:00FC.A2D0001,Available,1.0,1.0,2.700000047683716,1:00FC,RORO
MAIN,0.05,1:00FC.J3C0001,Available,1.0,1.0,0.4000000059604645,1:00FC,Breakbulk
MAIN,0.05,1:00FC.J7C0001,Available,30.0,30.0,30.0,1:00FC,Breakbulk
MAIN,0.05,1:00FC.J7C0002,Available,1.0,1.0,0.8999996185302734,1:00FC,Breakbulk
MAIN,0.05,1:00FC.M7C0001,Available,1.0,1.0,0.8999999761581421,1:00FC,Breakbulk
MAIN,0.05,1:00FC.PAX,Available,21.0,21.0,3.150000125169754,1:00FC,PAX
MAIN,0.05,1:00FD.A2D0001,Available,9.0,9.0,40.5,1:00FD,RORO
MAIN,0.05,1:00FD.A2D0002,Available,1.0,1.0,4.700000762939453,1:00FD,RORO
MAIN,0.05,1:00FD.R2B0001,Available,14.0,14.0,65.79999732971191,1:00FD,RORO
MAIN,0.05,1:00FD.R2B0002,Available,1.0,1.0,5.400001525878906,1:00FD,RORO
MAIN,0.05,1:00FD.R2D0001,Available,24.0,24.0,120.0,1:00FD,RORO
MAIN,0.05,1:00FD.R2D0002,Available,1.0,1.0,4.599998474121094,1:00FD,RORO
MAIN,0.05,1:00FDA.PAX,Available,20.0,20.0,3.0000001192092896,1:00FDA,PAX
MAIN,0.05,1:00FE.A2D0001,Available,6.0,6.0,26.40000057220459,1:00FE,RORO
MAIN,0.05,1:00FE.A2D0002,Available,1.0,1.0,4.499998092651367,1:00FE,RORO
MAIN,0.05,1:00FE.J3C0001,Available,1.0,1.0,0.20000000298023224,1:00FE,Breakbulk
MAIN,0.05,1:00FE.J7C0001,Available,14.0,14.0,14.0,1:00FE,Breakbulk
MAIN,0.05,1:00FE.J7C0002,Available,1.0,1.0,0.6999998092651367,1:00FE,Breakbulk
MAIN,0.05,1:00FE.M7C0001,Available,1.0,1.0,0.4000000059604645,1:00FE,Breakbulk
