Model,FedTime,Name,GeneratingOrg,ReceivingOrg,Origin,RLD,POE,POD,Destination,Operation,RDD,CargoType,Amount,Commodity,CargoCategoryCode,HighPriority,Platform,NumPlatforms,ToPoeOwnerName,ToPodOwnerName,ToPodMode,ToDestOwnerName
MAIN,0.05,1:0000000,MECHANICSBURG,BIR EL ATER,PVSD,0,"","",BQWK,THEATER1,11,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,0.05,1:0000001,MECHANICSBURG,BIR EL ATER,PVSD,4,"","",BQWK,THEATER1,11,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,0.05,1:0000002,PHILADELPHIA,BIR EL ATER,TECV,4,"","",BQWK,THEATER1,11,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,2.05,1:0000003,MECHANICSBURG,SEABASE,PVSD,2,"","",SEA1,THEATER1,17,STONS,50.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,6,,,SEA,
MAIN,10.05,1:0000004,MECHANICSBURG,BIR EL ATER,PVSD,10,"","",BQWK,THEATER1,10,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,10.05,1:0000005,MECHANICSBURG,BIR EL ATER,PVSD,10,"","",BQWK,THEATER1,10,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,10.05,1:0000006,PHILADELPHIA,BIR EL ATER,TECV,10,"","",BQWK,THEATER1,10,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,11.05,1:0000007,BIR EL ATER,THYNA-EL MAOU,BQWK,11,"","",FUQN,THEATER1,11,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
MAIN,14.05,1:0000008,BIR EL ATER,GABES,BQWK,14,"","",HNTK,THEATER1,14,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
MAIN,14.05,1:0000009,MECHANICSBURG,BIR EL ATER,PVSD,14,"","",BQWK,THEATER1,30,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,14.05,1:0000010,MECHANICSBURG,BIR EL ATER,PVSD,23,"","",BQWK,THEATER1,30,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,14.05,1:0000011,PHILADELPHIA,BIR EL ATER,TECV,23,"","",BQWK,THEATER1,30,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,17.05,1:0000012,BIR EL ATER,TEBESSA,BQWK,17,"","",WSVC,THEATER1,17,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
MAIN,17.05,1:0000013,MECHANICSBURG,BIR EL ATER,PVSD,17,"","",BQWK,THEATER1,33,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,17.05,1:0000014,MECHANICSBURG,BIR EL ATER,PVSD,26,"","",BQWK,THEATER1,33,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,17.05,1:0000015,PHILADELPHIA,BIR EL ATER,TECV,26,"","",BQWK,THEATER1,33,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,18.05,1:0000016,BIR EL ATER,TEBESSA,BQWK,18,"","",WSVC,THEATER1,18,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
MAIN,18.05,1:0000017,MECHANICSBURG,SEABASE,PVSD,18,"","",SEA1,THEATER1,33,STONS,50.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,6,,,SEA,
MAIN,20.05,1:0000018,MECHANICSBURG,BIR EL ATER,PVSD,20,"","",BQWK,THEATER1,36,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,20.05,1:0000019,MECHANICSBURG,BIR EL ATER,PVSD,29,"","",BQWK,THEATER1,36,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,20.05,1:0000020,PHILADELPHIA,BIR EL ATER,TECV,29,"","",BQWK,THEATER1,36,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,21.05,1:0000021,MECHANICSBURG,BIR EL ATER,PVSD,21,"","",BQWK,THEATER1,37,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,21.05,1:0000022,MECHANICSBURG,BIR EL ATER,PVSD,30,"","",BQWK,THEATER1,37,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,21.05,1:0000023,PHILADELPHIA,BIR EL ATER,TECV,30,"","",BQWK,THEATER1,37,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,22.05,1:0000024,BIR EL ATER,GABES (HNTM),BQWK,22,"","",HNTM,THEATER1,22,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
MAIN,22.05,1:0000025,MECHANICSBURG,BIR EL ATER,PVSD,22,"","",BQWK,THEATER1,38,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,22.05,1:0000026,MECHANICSBURG,BIR EL ATER,PVSD,31,"","",BQWK,THEATER1,38,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,22.05,1:0000027,PHILADELPHIA,BIR EL ATER,TECV,31,"","",BQWK,THEATER1,38,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,23.05,1:0000028,MECHANICSBURG,BIR EL ATER,PVSD,23,"","",BQWK,THEATER1,23,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,23.05,1:0000029,MECHANICSBURG,BIR EL ATER,PVSD,23,"","",BQWK,THEATER1,23,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,23.05,1:0000030,PHILADELPHIA,BIR EL ATER,TECV,23,"","",BQWK,THEATER1,23,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,24.05,1:0000031,MECHANICSBURG,SEABASE,PVSD,24,"","",SEA1,THEATER1,24,STONS,50.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,6,,,SEA,
MAIN,24.05,1:0000032,MECHANICSBURG,BIR EL ATER,PVSD,24,"","",BQWK,THEATER1,40,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,24.05,1:0000033,MECHANICSBURG,BIR EL ATER,PVSD,33,"","",BQWK,THEATER1,40,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,24.05,1:0000034,PHILADELPHIA,BIR EL ATER,TECV,33,"","",BQWK,THEATER1,40,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,25.05,1:0000035,MECHANICSBURG,BIR EL ATER,PVSD,25,"","",BQWK,THEATER1,41,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,25.05,1:0000036,MECHANICSBURG,BIR EL ATER,PVSD,34,"","",BQWK,THEATER1,41,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,25.05,1:0000037,PHILADELPHIA,BIR EL ATER,TECV,34,"","",BQWK,THEATER1,41,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,26.05,1:0000038,MECHANICSBURG,BIR EL ATER,PVSD,26,"","",BQWK,THEATER1,42,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,26.05,1:0000039,MECHANICSBURG,BIR EL ATER,PVSD,35,"","",BQWK,THEATER1,42,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,26.05,1:0000040,PHILADELPHIA,BIR EL ATER,TECV,35,"","",BQWK,THEATER1,42,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,27.05,1:0000041,SEABASE,ABN,SEA1,27,"","",BQWK,THEATER1,27,STONS,10.0,GEN-RESUPPLY,JDB,true,PALLET_463L,10,,,AIR,
MAIN,27.05,1:0000042,SEABASE,ABN,SEA1,27,"","",BQWK,THEATER1,32,STONS,10.0,GEN-RESUPPLY,JDB,true,PALLET_463L,10,,,AIR,
MAIN,27.05,1:0000043,SEABASE,ABN,SEA1,27,"","",BQWK,THEATER1,28,STONS,10.0,GEN-RESUPPLY,JDB,false,PALLET_463L,10,,,AIR,
MAIN,27.05,1:0000044,SEABASE,ABN,SEA1,27,"","",BQWK,THEATER1,34,STONS,10.0,GEN-RESUPPLY,JDB,false,PALLET_463L,10,,,AIR,
MAIN,27.05,1:0000045,MECHANICSBURG,BIR EL ATER,PVSD,27,"","",BQWK,THEATER1,43,STONS,375.0,GEN-RESUPPLY,JDB,false,CONTAINER_20_FOOT,42,,,SEA,
MAIN,27.05,1:0000046,MECHANICSBURG,BIR EL ATER,PVSD,36,"","",BQWK,THEATER1,43,STONS,50.0,GEN-RESUPPLY,JDB,false,PALLET_463L,50,,,AIR,
MAIN,27.05,1:0000047,PHILADELPHIA,BIR EL ATER,TECV,36,"","",BQWK,THEATER1,43,STONS,75.0,GEN-RESUPPLY,JDB,false,PALLET_463L,75,,,AIR,
MAIN,28.05,1:0000048,BIR EL ATER,GAFSA,BQWK,28,"","",HPBF,THEATER1,28,STONS,50.0,GEN-RESUPPLY,JDB,true,PALLET_463L,50,,,LAND,
