Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAB.PAX_1,1.8000001,12,0,0,0,0,0,false,FORE/CENTER/LOWER,1,PAX
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAD.PAX_1,1.8000001,12,0,0,0,0,0,false,FORE/CENTER/LOWER,1,PAX
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAB.D2D0001_1,1.4,0,129,71,75,582,32,false,AFT/CENTER/LOWER,1,
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAB.J3D0001_1,1.3,0,108,88,70,717,19,false,AFT/CENTER/LOWER,1,
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAB.J3D0002_1,1.5,0,108,88,76,603,109,false,AFT/CENTER/LOWER,1,
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAD.D2D0001_1,1.4,0,129,71,75,334,73,false,AFT/CENTER/LOWER,1,
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAD.J3D0001_1,1.3,0,108,88,70,717,113,false,AFT/CENTER/LOWER,1,
MAIN,7.4,C17-DKFX001-D0007R0001S01,1:5CCAD.J3D0002_1,1.5,0,108,88,76,468,67,false,AFT/CENTER/LOWER,1,
MAIN,7.65,C17-DKFX001-D0007R0001S01,1:5CCAB.PAX_1,1.8000001,12,0,0,0,0,0,false,FORE/CENTER/LOWER,2,PAX
MAIN,7.65,C17-DKFX001-D0007R0001S01,1:5CCAD.PAX_1,1.8000001,12,0,0,0,0,0,false,FORE/CENTER/LOWER,2,PAX
MAIN,7.65,C17-DKFX001-D0007R0001S01,1:5CCAB.D2D0001_1,1.4,0,129,71,75,582,32,false,AFT/CENTER/LOWER,2,
MAIN,7.65,C17-DKFX001-D0007R0001S01,1:5CCAB.J3D0001_1,1.3,0,108,88,70,717,19,false,AFT/CENTER/LOWER,2,
