Model,FedTime,RLN,VirtualRlnId,AssetID,MissionID,Amount,CCC,Hot,LocationGeoloc,OutgoingMode
MAIN,7.1,1:5CCAB,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,1.399999976158142,D2D,false,DKFX,AIR
MAIN,7.1,1:5CCAB,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,2.799999952316284,J3D,false,DKFX,AIR
MAIN,7.1,1:5CCAB,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,12.0,PAX,false,DKFX,AIR
MAIN,7.1,1:5CCAD,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,1.399999976158142,D2D,false,DKFX,AIR
MAIN,7.1,1:5CCAD,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,2.799999952316284,J3D,false,DKFX,AIR
MAIN,7.1,1:5CCAD,"",C17-DKFX001,C17-DKFX001-D0007R0001S01,12.0,PAX,false,DKFX,AIR
MAIN,7.85,1:0000001,"",KC10-XDAT001,KC10-XDAT001-D0007R0001S01,22.0,JDB,false,FJXT,AIR
MAIN,7.85,1:0000001,"",KC10-XDAT002,KC10-XDAT002-D0007R0001S01,22.0,JDB,false,FJXT,AIR
MAIN,7.85,1:0000001,"",KC10-XDAT003,KC10-XDAT003-D0007R0001S01,6.0,JDB,false,FJXT,AIR
MAIN,7.85,1:0000002,"",KC10-XDAT003,KC10-XDAT003-D0007R0001S01,16.0,JDB,false,FJXT,AIR
MAIN,7.9,1:0000002,"",KC10-XDAT004,KC10-XDAT004-D0007R0001S01,22.0,JDB,false,FJXT,AIR
MAIN,8.85,1:0000002,"",KC10-XDAT005,KC10-XDAT005-D0008R0001S01,22.0,JDB,false,FJXT,AIR
MAIN,8.85,1:0000002,"",KC10-XDAT006,KC10-XDAT006-D0008R0001S01,15.0,JDB,false,FJXT,AIR
MAIN,9.15,1:0YBPC,"",5432112,5432112-1,21.0,R1D,false,NPTU,SEA
MAIN,9.15,1:0YBPC,"",5432112,5432112-1,120.0,R2D,false,NPTU,SEA
MAIN,10.2,1:5BCAA,"",B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,12.0,PAX,false,QKJA,AIR
MAIN,10.65,1:5BCAA,"",KC10-XDAT001,KC10-XDAT001-D0010R0002S01,0.5,J3B,false,QKJA,AIR
MAIN,11,1:0YBBP,"",B747-400-XDAT001,B747-400-XDAT001-D0010R0001S01,94.0,PAX,false,TMKH,AIR
MAIN,12.15,1:00FH,"",C17-DKFX001,C17-DKFX001-D0012R0002S01,40.0,A2D,false,TMKH,AIR
MAIN,12.15,1:00FH,"",C17-DKFX001,C17-DKFX001-D0012R0002S01,28.0,PAX,false,TMKH,AIR
MAIN,12.15,1:00FH,"",C17-DKFX002,C17-DKFX002-D0012R0001S01,40.0,A2D,false,TMKH,AIR
MAIN,12.15,1:00FH,"",C17-DKFX002,C17-DKFX002-D0012R0001S01,28.0,PAX,false,TMKH,AIR
MAIN,12.85,1:00FH,"",B747-400-XDAT002,B747-400-XDAT002-D0012R0001S01,355.0,PAX,false,TMKH,AIR
MAIN,12.85,1:00FH,"",C17-XDAT001,C17-XDAT001-D0012R0001S01,40.0,A2D,false,TMKH,AIR
MAIN,12.85,1:00FH,"",C17-XDAT001,C17-XDAT001-D0012R0001S01,28.0,PAX,false,TMKH,AIR
MAIN,12.85,1:00FH,"",C17-PQWY001,C17-PQWY001-D0012R0001S01,39.80000305175781,A2D,false,TMKH,AIR
MAIN,12.85,1:00FH,"",C17-PQWY001,C17-PQWY001-D0012R0001S01,28.0,PAX,false,TMKH,AIR
MAIN,13.45,1:00FE,"",KC10-XDAT004,KC10-XDAT004-D0013R0002S01,17.600000381469727,A2D,false,TMKH,AIR
MAIN,13.45,1:00FE,"",KC10-XDAT004,KC10-XDAT004-D0013R0002S01,0.20000000298023224,J3C,false,TMKH,AIR
MAIN,13.45,1:00FE,"",KC10-XDAT004,KC10-XDAT004-D0013R0002S01,14.699999809265137,J7C,false,TMKH,AIR
MAIN,13.45,1:00FG,"",KC10-XDAT004,KC10-XDAT004-D0013R0002S01,1.5,A3D,false,TMKH,AIR
MAIN,13.45,1:00FG,"",KC10-XDAT004,KC10-XDAT004-D0013R0002S01,6.299999833106995,J3C,false,TMKH,AIR
MAIN,13.9,1:0000005,"",KC10-XDAT001,KC10-XDAT001-D0010R0002S02,22.0,JDB,false,FJXT,AIR
MAIN,13.95,1:0000005,"",KC10-XDAT002,KC10-XDAT002-D0013R0002S01,22.0,JDB,false,FJXT,AIR
MAIN,13.95,1:0000005,"",KC10-XDAT003,KC10-XDAT003-D0013R0002S01,6.0,JDB,false,FJXT,AIR
