Model,FedTime,Longitude,Latitude,Geoloc,Name,Theater
MAIN,-2,-66.0,40.0,00A1,NW ATLANTIC,STRATEGIC
MAIN,-2,75.0,-15.0,00IO,INDIAN OCEAN,STRATEGIC
MAIN,-2,6.0,40.0,00XT,WESTERN MED,STRATEGIC
MAIN,-2,-85.26667022705078,31.53333282470703,AAFR,ABBEVILLE,CONUS
MAIN,-2,-76.1361083984375,39.49166488647461,AAMP,ABERDEEN PROV GND,CONUS
MAIN,-2,-4.016666889190674,5.25,AAPV,ABIDJAN,STRATEGIC
MAIN,-2,-99.73332977294922,32.45000076293945,AART,ABILENE,CONUS
MAIN,-2,-99.68194580078125,32.4113883972168,AARV,ABILENE RGNL,CONUS
MAIN,-2,-86.36250305175781,32.349998474121094,ABAA,ABSTON,CONUS
MAIN,-2,50.099998474121094,26.433332443237305,ABFL,AD DAMMAM,STRATEGIC
MAIN,-2,-76.94999694824219,39.0,ABTW,ADELPHI,CONUS
MAIN,-2,-77.00916290283203,38.897499084472656,ABXK,ADELPHI,CONUS
MAIN,-2,-118.25,34.0,ACJP,LOS ANGELES,CONUS
MAIN,-2,-157.93333435058594,21.383333206176758,ACWE,AIEA,CONUS
MAIN,-2,-81.5,41.08333206176758,ADHB,AKRON,CONUS
MAIN,-2,50.599998474121094,26.200000762939453,ADKH,AL BAHRAYN MINA S,STRATEGIC
MAIN,-2,11.050000190734863,35.5,ADLS,AL MAHDIYAH,Tunisia
MAIN,-2,-105.01333618164062,39.70861053466797,ADNA,ALAMEDA,CONUS
MAIN,-2,-122.23332977294922,37.733333587646484,ADNB,ALAMEDA,CONUS
MAIN,-2,-121.48332977294922,37.78333282470703,ADNC,ALAMEDA,CONUS
MAIN,-2,-122.32555389404297,37.79055404663086,ADND,ALAMEDA NAS,CONUS
MAIN,-2,-121.48332977294922,37.78333282470703,ADNE,ALAMEDA,CONUS
MAIN,-2,-122.32444763183594,37.79055404663086,ADNF,ALAMEDA NAS,CONUS
MAIN,-2,-122.2699966430664,37.77694320678711,ADNG,ALAMEDA,CONUS
MAIN,-2,-122.26667022705078,37.78333282470703,ADNK,ALAMEDA PT MARAD,CONUS
MAIN,-2,-122.31666564941406,37.78333282470703,ADNR,ALAMEDA        BA,CONUS
MAIN,-2,-105.9888916015625,32.84138870239258,ADQM,ALAMOGORDO WHITE,CONUS
MAIN,-2,-84.16666412353516,31.616666793823242,ADUK,ALBANY,CONUS
MAIN,-2,-84.08333587646484,31.600000381469727,ADUP,ALBANY        MSC,CONUS
MAIN,-2,-84.16666412353516,31.616666793823242,ADUQ,ALBANY,CONUS
MAIN,-2,-73.80000305175781,42.66666793823242,ADVK,ALBANY,CONUS
MAIN,-2,-73.80194091796875,42.749168395996094,ADVM,ALBANY INTL,CONUS
MAIN,-2,-84.19444274902344,31.535554885864258,ADVN,SOUTHWEST GEORGIA,CONUS
MAIN,-2,-80.3499984741211,35.349998474121094,ADXV,ALBEMARLE,CONUS
MAIN,-2,-98.4111099243164,35.2327766418457,ADYK,ALBERT,CONUS
MAIN,-2,-106.6500015258789,35.08333206176758,AEBS,ALBUQUERQUE,CONUS
MAIN,-2,-84.0,35.78333282470703,AECW,ALCOA,CONUS
MAIN,-2,-0.21138888597488403,52.372501373291016,AEDY,ALCONBURY,STRATEGIC
MAIN,-2,-86.0,32.95000076293945,AELJ,ALEXANDER CITY,CONUS
MAIN,-2,29.899999618530273,31.183332443237305,AELU,ALEXANDRIA,STRATEGIC
MAIN,-2,-77.06666564941406,38.81666564941406,AEPL,ALEXANDRIA,CONUS
MAIN,-2,-77.1500015258789,38.81666564941406,AEPQ,ALEXANDRIA,CONUS
MAIN,-2,-5.449999809265137,36.13333511352539,AEQT,ALGECIRAS,STRATEGIC
