Model,FedTime,AssetID,MissionID,Rln,CargoType,Amount,FromLoc,AssetArrivalTime,ToLoc
MAIN,9.15,5432112,5432112-1,1:0YBPC,STONS,73.69999694824219,NPTU,8.878472,VKNP
MAIN,16.2,6510899,6510899-1,1:0YBPC,CONTAINER_20,1.0,NPTU,15.983334,VKNP
MAIN,16.2,6510899,6510899-1,1:0YBPC,STONS,73.69999694824219,NPTU,15.983334,VKNP
MAIN,17.65,7302897,7302897-1,1:0HEHC,STONS,38.79998731613159,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0HNBC,STONS,27.799989104270935,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0HNBC,STONS,20.399999618530273,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0HVCC,STONS,127.29998517036438,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0HVCC,STONS,30.299999237060547,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0VABC,STONS,670.000020980835,QTUP,16,HNTS
MAIN,17.65,7302897,7302897-1,1:0MBKC,STONS,8.773614883422852,QTUP,16,HNTS
MAIN,17.7,7315571,7315571-1,1:0HEEC,STONS,283.10001015663147,ZBES,15.431945,HNTS
MAIN,17.7,7315571,7315571-1,1:0JLBC,STONS,147.1000063419342,ZBES,15.431945,HNTS
MAIN,17.7,7315571,7315571-1,1:0JLBC,CONTAINER_20,1.0,ZBES,15.431945,HNTS
MAIN,17.7,8211306,8211306-1,1:03AJC,STONS,2.7999961376190186,JTVH,16.405556,VKNP
MAIN,18.05,0429011,0429011-1,1:00JC,STONS,232.39999389648438,DKSD,16.735416,HNTS
MAIN,18.05,0429011,0429011-1,1:0EBQC,STONS,1846.7000877857208,DKSD,16.735416,HNTS
MAIN,18.05,0429011,0429011-1,1:0EBQC,STONS,129.6999969482422,DKSD,16.735416,HNTS
MAIN,18.05,7909968,7909968-1,1:0YCBC,STONS,602.7000246047974,WPVT,17.144793,HNTS
MAIN,18.5,7229423,7229423-1,1:0ZHFC,STONS,593.2002384066582,DKSD,17.05,VKNP
MAIN,18.5,7229423,7229423-1,1:0ZHFC,STONS,104.79999613761902,DKSD,17.05,VKNP
MAIN,18.5,7229423,7229423-1,1:0ZDB,STONS,3.632558822631836,DKSD,17.05,VKNP
MAIN,18.7,7236153,7236153-1,1:0MBDC,STONS,126.09998559951782,QTUP,16,HNTS
MAIN,18.7,7236153,7236153-1,1:0MBKC,STONS,973.6264088153839,QTUP,16,HNTS
MAIN,18.7,7236153,7236153-1,1:0MBKC,STONS,27.999999284744263,QTUP,16,HNTS
MAIN,18.7,7236153,7236153-1,1:0YABC,STONS,498.6000003814697,QTUP,16,HNTS
MAIN,18.7,7236153,7236153-1,1:0YADC,STONS,116.79999685287476,QTUP,16,HNTS
MAIN,18.7,7236153,7236153-1,1:0YADC,STONS,1.4000003784894943,QTUP,16,HNTS
MAIN,19.9,7602247,7602247-1,1:00FD,STONS,14.600000381469727,DKSD,19.01146,HNTS
MAIN,19.9,7602247,7602247-1,1:0TAEC,STONS,1928.32865524292,DKSD,19.01146,HNTS
MAIN,19.9,7602247,7602247-1,1:0TAEC,STONS,74.80000305175781,DKSD,19.01146,HNTS
MAIN,19.9,7602247,7602247-1,1:0EBQC,STONS,129.6999969482422,DKSD,19.01146,HNTS
MAIN,19.95,7602259,7602259-1,1:0ZDC,STONS,165.00011253356934,DKSD,18.51146,VKNP
MAIN,20.5,8211291,8211291-1,1:03AKC,STONS,624.8002376556396,QTUP,19.497223,VKNP
MAIN,20.5,8211291,8211291-1,1:03AKC,STONS,104.79999613761902,QTUP,19.497223,VKNP
MAIN,20.5,8211291,8211291-1,1:03AUC,STONS,530.4829502105713,QTUP,19.497223,VKNP
MAIN,22.3,6913429,6913429-1,1:03AGC,CONTAINER_20,3.0,DKSD,21.711111,HNTS
MAIN,22.5,7506015,7506015-1,1:0ZHCC,STONS,1998.4002151489258,DKSD,22.00382,VKNP
MAIN,22.5,7506015,7506015-1,1:0ZHCC,STONS,104.79999613761902,DKSD,22.00382,VKNP
MAIN,22.55,7050248,7050248-1,1:0YB4C,STONS,151.5,UTAC,22.014584,HNTS
MAIN,22.55,7050248,7050248-1,1:0YB4C,CONTAINER_20,3.0,UTAC,22.014584,HNTS
MAIN,22.55,7050248,7050248-1,1:0YBAC,STONS,117.30000305175781,UTAC,22.014584,HNTS
