Model,FedTime,Rln,VirtualRlnId,StartGeoloc,StartTime,EndGeoloc,RequiredTime,CCC,Amount,Units,RequestedPoe,RequestedSil,RequestedPod,RequestedMode
MAIN,0.05,1:0YBTC,"",HCTL,0,QTUP,14.490196,R2D,102.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0YBTC,"",HCTL,0,QTUP,14.490196,R2D,4.5,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0YBTC,"",HCTL,0,QTUP,14.490196,J3B,11,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0YBTC,"",HCTL,0,QTUP,14.490196,J3B,0.39999962,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,A3D,0.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,A3D,0.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,A2D,86.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,A2D,4.9000015,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,M7C,0.5,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,J7C,8.099999,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GF,"",HCTL,0,QTUP,14.490196,J7C,1.2000008,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R3D,1.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,297,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,393.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,142.8,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,63.600002,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,36.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R1D,15,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2B,15.299999,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,189.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,14,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,9.299999,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,3.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,173.59999,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,2.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,2.6999998,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,22.5,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,21,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,28.8,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,R2D,115.200005,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,M7C,1.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,M7C,0.8000001,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,J7C,96,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,J7C,0.19999695,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,J1D,2.2,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0TABC,"",HCTL,0,QTUP,14.490196,J2D,2.3,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0VAAC,"",HCTL,0,QTUP,14.490196,R2D,65.799995,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0VAAC,"",HCTL,0,QTUP,14.490196,R2D,4.300003,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0VAAC,"",HCTL,0,QTUP,14.490196,J3B,10,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0VAAC,"",HCTL,0,QTUP,14.490196,J3B,0.8999996,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,R1D,9.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,R1D,9.5,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,R2D,1075,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,R2D,2.9000244,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,J3B,87,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0RAAC,"",HCTL,0,QTUP,14.490196,J3B,0.5,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GH,"",HCTL,0,QTUP,14.490196,A2D,52.800003,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GH,"",HCTL,0,QTUP,14.490196,A2D,5.199997,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GH,"",HCTL,0,QTUP,14.490196,M7C,0.2,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GH,"",HCTL,0,QTUP,14.490196,J7C,9.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:00GH,"",HCTL,0,QTUP,14.490196,J7C,1.3000002,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R3D,1.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R1D,17,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R1D,12.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2B,1.8,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2B,0.9,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,4.3,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,9.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,6.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,6.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,3.6,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,7.4,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,R2D,2.1,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,M7C,2.6999998,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,M7C,1.0000002,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,J7C,23,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,J7C,0.8999996,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0HBGC,"",HCTL,0,QTUP,14.490196,C0D,1186.2001,STONS,QTUP,,APFD,SEA
MAIN,0.05,1:0000001,"",FJXT,4,FJXT,4,JDB,50,STONS,FJXT,,HNTK,AIR
MAIN,0.05,1:0000002,"",FJXT,4,FJXT,4,JDB,75,STONS,FJXT,,HNTK,AIR
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,R1D,10.5,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,R1D,10.5,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,R2D,190,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,R2D,3.699997,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,J3B,2.4,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:0YBPC,"",HCTL,3,NPTU,7,J3B,0.89999986,STONS,NPTU,,VKNP,SEA
MAIN,3.05,1:5CCAB,"",VLSB,3,DKFX,5,J3D,1.3,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAB,"",VLSB,3,DKFX,5,J3D,1.5,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAB,"",VLSB,3,DKFX,5,D2D,1.4,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAB,"",VLSB,3,DKFX,5,PAX,12,PAX,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAD,"",VLSB,3,DKFX,5,J3D,1.3,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAD,"",VLSB,3,DKFX,5,J3D,1.5,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAD,"",VLSB,3,DKFX,5,D2D,1.4,STONS,DKFX,,FUQN,AIR
MAIN,3.05,1:5CCAD,"",VLSB,3,DKFX,5,PAX,12,PAX,DKFX,,FUQN,AIR
MAIN,3.05,1:0YBBP,"",HCTL,3,TMKH,10,PAX,94,PAX,TMKH,,FUQN,AIR
MAIN,3.05,1:0YBQP,"",HCTL,3,TMKH,10,PAX,101,PAX,TMKH,,FUQN,AIR
MAIN,4.05,1:5BCAA,"",HUUA,4,QKJA,10,J3B,0.5,STONS,QKJA,,HNTK,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,A2D,26.400002,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,A2D,4.499998,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,M7C,0.4,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,J3C,0.2,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,J7C,14,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FE,"",HCTL,4,TMKH,12,J7C,0.6999998,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FH,"",HCTL,4,TMKH,12,A2D,155,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FH,"",HCTL,4,TMKH,12,A2D,4.800003,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FH,"",HCTL,4,TMKH,12,M7C,2.4,STONS,TMKH,,FUQN,AIR
MAIN,4.05,1:00FH,"",HCTL,4,TMKH,12,M7C,0.89999986,STONS,TMKH,,FUQN,AIR
MAIN,5.05,1:5BCAA,"",HUUA,5,QKJA,10,PAX,12,PAX,QKJA,,HNTK,AIR
MAIN,5.05,1:00FE,"",HCTL,5,TMKH,12,PAX,30,PAX,TMKH,,FUQN,AIR
MAIN,5.05,1:00FH,"",HCTL,5,TMKH,12,PAX,517,PAX,TMKH,,FUQN,AIR
MAIN,5.05,1:00JD,"",HCTL,5,QTUP,14.490196,A1D,12.2,STONS,QTUP,,APFD,SEA
