Model,FedTime,Name,VirtualRlnId,Type,EncodedDetails,ServiceCode,OplanId,Pax,Pol,TotalSTons,DestinationModeSource,ToPoeOwnerName,ToPodOwnerName,ToDestOwnerName,Rdd,Preloaded,Commodity,Rld,BrigadeKey
AMP,-2,1:00DDA,,U,cargoCategoryCode=R1D&mtons=60.0&stons=19.1&sqft=382.0,A,090TP,95,0,19.1,LD,MAIN,MAIN,MAIN,28,false,CSS-OTHER,8,ABN
AMP,-2,1:00DDC,,U,cargoCategoryCode=J3B&mtons=49.0&stons=17.6&sqft=352.0;cargoCategoryCode=R1D&mtons=60.0&stons=19.1&sqft=382.0;cargoCategoryCode=R2D&mtons=747.0&stons=166.3&sqft=3326.0,A,090TP,0,0,203,LD,MAIN,MAIN,MAIN,28,false,CSS-OTHER,8,ABN
AMP,-2,1:00DDP,,U,No Details,A,090TP,9,0,0,LD,MAIN,MAIN,MAIN,20,false,CSS-OTHER,17,ABN
AMP,-2,1:00DEA,,U,No Details,A,090TP,152,0,0,LD,MAIN,MAIN,MAIN,26,false,CSS-OTHER,8,ABN
AMP,-2,1:00DEC,,U,cargoCategoryCode=J3B&mtons=64.0&stons=25.8&sqft=516.0;cargoCategoryCode=R1D&mtons=121.0&stons=15.4&sqft=308.0;cargoCategoryCode=R2D&mtons=1163.0&stons=216.6&sqft=4332.0,A,090TP,0,0,257.8,LD,MAIN,MAIN,MAIN,26,false,CSS-OTHER,8,ABN
AMP,-2,1:00FB,,U,cargoCategoryCode=J3C&mtons=24.0&stons=3.6&sqft=72.0;cargoCategoryCode=J7C&mtons=107.0&stons=42.8&sqft=856.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.9&sqft=1.0;cargoCategoryCode=A2D&mtons=149.0&stons=18.9&sqft=742.0,A,090TP,25,0,66.2,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00FC,,U,cargoCategoryCode=J3C&mtons=5.0&stons=0.4&sqft=8.0;cargoCategoryCode=J7C&mtons=77.0&stons=30.9&sqft=618.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.9&sqft=1.0;cargoCategoryCode=A2D&mtons=22.0&stons=2.7&sqft=106.0,A,090TP,21,0,34.9,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FD,,U,cargoCategoryCode=M7C&mtons=1.0&stons=0.9&sqft=1.0;cargoCategoryCode=A2D&mtons=104.0&stons=45.2&sqft=515.0;cargoCategoryCode=R2B&mtons=338.0&stons=71.2&sqft=2974.0;cargoCategoryCode=R2D&mtons=699.0&stons=124.6&sqft=3712.0,A,090TP,0,0,241.9,LD,MAIN,MAIN,MAIN,33,false,AIRBORNE,0,ABN
AMP,-2,1:00FDA,,U,No Details,A,090TP,20,0,0,LD,MAIN,MAIN,MAIN,33,false,AIRBORNE,0,ABN
AMP,-2,1:00FE,,U,cargoCategoryCode=J3C&mtons=4.0&stons=0.2&sqft=4.0;cargoCategoryCode=J7C&mtons=37.0&stons=14.7&sqft=294.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.4&sqft=1.0;cargoCategoryCode=A2D&mtons=222.0&stons=30.9&sqft=1131.0,A,090TP,30,0,46.199997,LD,MAIN,MAIN,MAIN,16,false,AIRBORNE,0,ABN
AMP,-2,1:00FF,,U,No Details,A,090TP,150,0,0,LD,MAIN,MAIN,MAIN,21,false,AIRBORNE,17,ABN
AMP,-2,1:00FG,,U,cargoCategoryCode=A3D&mtons=11.0&stons=1.5&sqft=105.0;cargoCategoryCode=J3C&mtons=28.0&stons=8.1&sqft=162.0;cargoCategoryCode=J7C&mtons=288.0&stons=115.3&sqft=2306.0;cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=1059.0&stons=157.7&sqft=5477.0,A,090TP,517,0,285.9,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FH,,U,cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=822.0&stons=159.8&sqft=4858.0,A,090TP,517,0,163.1,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FJ,,U,cargoCategoryCode=J3C&mtons=28.0&stons=8.1&sqft=162.0;cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=796.0&stons=150.1&sqft=4660.0,A,090TP,517,0,161.5,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FK,,U,cargoCategoryCode=J7C&mtons=46.0&stons=18.5&sqft=370.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.6&sqft=1.0;cargoCategoryCode=A2D&mtons=107.0&stons=13.5&sqft=530.0,A,090TP,50,0,32.6,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FL,,U,cargoCategoryCode=J7C&mtons=46.0&stons=18.5&sqft=370.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.6&sqft=1.0;cargoCategoryCode=A2D&mtons=341.0&stons=44.1&sqft=1940.0,A,090TP,17,0,63.199997,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FQ,,U,cargoCategoryCode=J7C&mtons=41.0&stons=16.2&sqft=324.0;cargoCategoryCode=M7C&mtons=3.0&stons=2.6&sqft=1.0;cargoCategoryCode=A2D&mtons=43.0&stons=5.4&sqft=212.0,A,090TP,21,0,24.2,LD,MAIN,MAIN,MAIN,17,false,AIRBORNE,0,ABN
AMP,-2,1:00FR,,U,cargoCategoryCode=J7C&mtons=41.0&stons=16.2&sqft=324.0;cargoCategoryCode=M7C&mtons=3.0&stons=2.6&sqft=1.0;cargoCategoryCode=A2D&mtons=65.0&stons=8.1&sqft=318.0,A,090TP,5,0,26.900002,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FS,,U,cargoCategoryCode=J3C&mtons=1.0&stons=0.1&sqft=2.0,A,090TP,15,0,0.1,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FTC,,U,cargoCategoryCode=J3B&mtons=93.0&stons=34.1&sqft=682.0;cargoCategoryCode=R2D&mtons=86.0&stons=10.8&sqft=216.0,A,090TP,0,0,44.899998,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FTP,,U,No Details,A,090TP,10,0,0,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FV,,U,cargoCategoryCode=J7C&mtons=40.0&stons=15.9&sqft=318.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.5&sqft=1.0;cargoCategoryCode=A2D&mtons=563.0&stons=210.8&sqft=3160.0,A,090TP,0,0,227.2,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00FVA,,U,No Details,A,090TP,94,0,0,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,0,ABN
AMP,-2,1:00GB,,U,cargoCategoryCode=J7C&mtons=47.0&stons=18.7&sqft=374.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.7&sqft=1.0,A,090TP,12,0,19.400002,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GC,,U,cargoCategoryCode=J7C&mtons=47.0&stons=18.7&sqft=374.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.7&sqft=1.0;cargoCategoryCode=A2D&mtons=65.0&stons=8.1&sqft=318.0,A,090TP,11,0,27.500002,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GDC,,U,cargoCategoryCode=R1D&mtons=60.0&stons=19.1&sqft=382.0,A,090TP,0,0,19.1,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GDP,,U,No Details,A,090TP,20,0,0,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GE,,U,cargoCategoryCode=J7C&mtons=23.0&stons=9.3&sqft=186.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.5&sqft=1.0;cargoCategoryCode=A2D&mtons=41.0&stons=11.6&sqft=273.0,A,090TP,23,0,21.400002,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GF,,U,cargoCategoryCode=A3D&mtons=7.0&stons=1.8&sqft=60.0;cargoCategoryCode=J7C&mtons=23.0&stons=9.3&sqft=186.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.5&sqft=1.0;cargoCategoryCode=A2D&mtons=349.0&stons=91.3&sqft=2042.0,A,090TP,0,0,102.9,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GFA,,U,No Details,A,090TP,46,0,0,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GG,,U,cargoCategoryCode=J7C&mtons=28.0&stons=11.2&sqft=224.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.2&sqft=1.0;cargoCategoryCode=A2D&mtons=86.0&stons=10.8&sqft=424.0,A,090TP,43,0,22.2,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GH,,U,cargoCategoryCode=J7C&mtons=28.0&stons=11.2&sqft=224.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.2&sqft=1.0;cargoCategoryCode=A2D&mtons=387.0&stons=58.0&sqft=2075.0,A,090TP,0,0,69.4,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00GHA,,U,No Details,A,090TP,63,0,0,LD,MAIN,MAIN,MAIN,25,false,AIRBORNE,0,ABN
AMP,-2,1:00HB,,U,cargoCategoryCode=J3C&mtons=24.0&stons=3.6&sqft=72.0;cargoCategoryCode=J7C&mtons=107.0&stons=42.8&sqft=856.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.9&sqft=1.0;cargoCategoryCode=A2D&mtons=149.0&stons=18.9&sqft=742.0,A,090TP,25,0,66.2,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HC,,U,cargoCategoryCode=J3C&mtons=4.0&stons=0.2&sqft=4.0;cargoCategoryCode=J7C&mtons=37.0&stons=14.7&sqft=294.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.4&sqft=1.0;cargoCategoryCode=A2D&mtons=222.0&stons=30.9&sqft=1131.0,A,090TP,30,0,46.199997,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HDC,,U,cargoCategoryCode=A3D&mtons=11.0&stons=1.5&sqft=105.0;cargoCategoryCode=J3C&mtons=28.0&stons=8.1&sqft=162.0;cargoCategoryCode=J7C&mtons=288.0&stons=115.3&sqft=2306.0;cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=1059.0&stons=157.7&sqft=5477.0,A,090TP,0,0,285.9,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,0,ABN
AMP,-2,1:00HDP,,U,No Details,A,090TP,517,0,0,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,0,ABN
AMP,-2,1:00HE,,U,cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=822.0&stons=159.8&sqft=4858.0,A,090TP,517,0,163.1,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HF,,U,cargoCategoryCode=J3C&mtons=28.0&stons=8.1&sqft=162.0;cargoCategoryCode=M7C&mtons=3.0&stons=3.3&sqft=1.0;cargoCategoryCode=A2D&mtons=796.0&stons=150.1&sqft=4660.0,A,090TP,517,0,161.5,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HG,,U,cargoCategoryCode=J7C&mtons=46.0&stons=18.5&sqft=370.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.6&sqft=1.0;cargoCategoryCode=A2D&mtons=107.0&stons=13.5&sqft=530.0,A,090TP,50,0,32.6,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HK,,U,cargoCategoryCode=J7C&mtons=41.0&stons=16.2&sqft=324.0;cargoCategoryCode=M7C&mtons=3.0&stons=2.6&sqft=1.0;cargoCategoryCode=A2D&mtons=43.0&stons=5.4&sqft=212.0,A,090TP,21,0,24.2,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00HL,,U,cargoCategoryCode=J7C&mtons=41.0&stons=16.2&sqft=324.0;cargoCategoryCode=M7C&mtons=3.0&stons=2.6&sqft=1.0;cargoCategoryCode=A2D&mtons=65.0&stons=8.1&sqft=318.0,A,090TP,5,0,26.900002,LD,MAIN,MAIN,MAIN,18,false,AIRBORNE,4,ABN
AMP,-2,1:00JC,,U,cargoCategoryCode=J7C&mtons=36.0&stons=14.2&sqft=284.0;cargoCategoryCode=M7C&mtons=8.0&stons=7.9&sqft=1.0;cargoCategoryCode=A2D&mtons=548.0&stons=232.4&sqft=2688.0,A,090TP,0,0,254.5,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,5,ABN
