Model,FedTime,ClosedTime,RLN,VirtualRlnId
MAIN,7.65,7.734722,1:5CCAB,""
MAIN,7.65,7.734722,1:5CCAD,""
MAIN,10.05,10.002778,1:0000001,""
MAIN,11.05,11.002778,1:0000002,""
MAIN,11.95,12.033334,1:5BCAA,""
MAIN,12.55,12.531944,1:0YBBP,""
MAIN,12.8,12.751389,1:0000007,""
MAIN,15.3,15.281944,1:00FH,""
MAIN,15.8,15.78125,1:0000008,""
MAIN,16.55,16.500694,1:0000005,""
MAIN,16.9,16.865278,1:00FE,""
MAIN,17.05,17.002777,1:0000006,""
MAIN,18.3,18.271528,1:0000012,""
MAIN,18.65,18.615278,1:00FG,""
MAIN,18.65,18.615278,1:00HC,""
MAIN,19.3,19.271528,1:0000016,""
MAIN,19.3,19.293404,1:0HEEP,""
MAIN,19.3,19.293404,1:0JAAP,""
MAIN,19.3,19.293404,1:0JKBP,""
MAIN,19.3,19.293404,1:0JLDP,""
MAIN,20.3,20.293404,1:0KGBP,""
MAIN,20.3,20.293404,1:0MAAP,""
MAIN,21.3,21.28125,1:00FJ,""
MAIN,21.3,21.28125,1:00FK,""
MAIN,21.3,21.28125,1:00FL,""
MAIN,21.3,21.28125,1:00FQ,""
MAIN,22.15,22.115278,1:00HB,""
MAIN,22.55,22.543404,1:0HEDP,""
MAIN,22.55,22.543404,1:0HEHP,""
MAIN,22.55,22.543404,1:04DDP,""
MAIN,22.75,22.700695,1:00FF,""
MAIN,22.9,22.865278,1:00HE,""
MAIN,23.3,23.29375,1:0HNBP,""
MAIN,23.3,23.29375,1:0MBDP,""
MAIN,23.55,23.54375,1:0MBKP,""
MAIN,23.8,23.77014,1:0000024,""
MAIN,24.3,24.281944,1:00HK,""
MAIN,24.3,24.283333,1:00HL,""
MAIN,24.5,24.450695,1:00GFA,""
MAIN,24.95,24.915277,1:WP00011,""
MAIN,25.05,25.04514,1:0EBFP,""
MAIN,25.3,25.259027,1:0HEHC,""
MAIN,25.4,25.38125,1:5HDC9,""
MAIN,25.55,25.50625,1:0JKBC,""
MAIN,25.55,25.51111,1:0HNBC,""
MAIN,25.55,25.531944,1:00HF,""
MAIN,25.55,25.531944,1:00HG,""
MAIN,25.55,25.531944,1:0LAB,""
MAIN,25.55,25.531944,1:00GE,""
MAIN,25.55,25.531944,1:00GG,""
MAIN,25.8,25.79514,1:0EBQP,""
MAIN,26.05,26.00625,1:0MAAC,""
MAIN,26.05,26.008333,1:0HVCC,""
MAIN,26.05,26.031944,1:00DDP,""
MAIN,26.05,26.031944,1:00GHA,""
MAIN,26.15,26.115278,1:00GB,""
MAIN,26.15,26.115278,1:00GC,""
