Model,FedTime,CompleteTime,Location,RLN,VirtualRlnId
MAIN,6.05,6.0055556,FJXT,1:0000002,""
MAIN,6.1,6.0875,FJXT,1:0000001,""
MAIN,12.4,12.3972225,FJXT,1:0000005,""
MAIN,13.75,13.731944,FJXT,1:0000006,""
MAIN,23.55,23.506945,FJXT,1:0000030,""
MAIN,23.55,23.506945,FJXT,1:0000011,""
MAIN,23.6,23.588888,FJXT,1:0000029,""
MAIN,23.6,23.588888,FJXT,1:0000010,""
MAIN,28.05,28.005556,FJXT,1:0000015,""
MAIN,28.1,28.0875,FJXT,1:0000014,""
MAIN,30.55,30.50625,FJXT,1:0000020,""
MAIN,30.55,30.50625,FJXT,1:0000023,""
MAIN,30.6,30.588194,FJXT,1:0000019,""
MAIN,30.6,30.588194,FJXT,1:0000022,""
MAIN,32.35,32.33889,FJXT,1:0000026,""
MAIN,33.05,33.00625,FJXT,1:0000027,""
MAIN,34.55,34.507637,FJXT,1:0000034,""
MAIN,34.55,34.507637,FJXT,1:0000037,""
MAIN,34.6,34.58889,FJXT,1:0000033,""
MAIN,34.6,34.58889,FJXT,1:0000036,""
MAIN,36.55,36.507637,FJXT,1:0000040,""
MAIN,36.55,36.507637,FJXT,1:0000047,""
MAIN,36.6,36.58889,FJXT,1:0000039,""
MAIN,36.6,36.58889,FJXT,1:0000046,""
MAIN,39.55,39.507637,FJXT,1:0000060,""
MAIN,39.55,39.507637,FJXT,1:0000070,""
MAIN,39.6,39.58889,FJXT,1:0000059,""
MAIN,39.6,39.58889,FJXT,1:0000069,""
MAIN,41.55,41.507637,FJXT,1:0000076,""
MAIN,41.55,41.507637,FJXT,1:0000080,""
MAIN,41.6,41.58889,FJXT,1:0000075,""
MAIN,41.6,41.58889,FJXT,1:0000079,""
MAIN,44.05,44.006943,FJXT,1:0000085,""
MAIN,44.1,44.088196,FJXT,1:0000084,""
MAIN,45.55,45.507637,FJXT,1:0000096,""
MAIN,45.55,45.507637,FJXT,1:0000105,""
MAIN,45.6,45.58889,FJXT,1:0000095,""
MAIN,45.6,45.58889,FJXT,1:0000104,""
MAIN,49.55,49.50625,FJXT,1:0000124,""
MAIN,49.55,49.50625,FJXT,1:0000135,""
MAIN,49.6,49.588196,FJXT,1:0000123,""
MAIN,49.6,49.588196,FJXT,1:0000134,""
MAIN,53.05,53.005554,FJXT,1:0000151,""
MAIN,53.1,53.0875,FJXT,1:0000150,""
MAIN,55.05,55.005554,FJXT,1:0000167,""
MAIN,55.1,55.0875,FJXT,1:0000166,""
MAIN,57.05,57.005554,FJXT,1:0000187,""
MAIN,57.1,57.0875,FJXT,1:0000186,""
MAIN,59.05,59.005554,FJXT,1:0000204,""
MAIN,59.1,59.0875,FJXT,1:0000203,""
MAIN,61.05,61.005554,FJXT,1:0000221,""
MAIN,61.1,61.0875,FJXT,1:0000220,""
MAIN,62.55,62.50625,FJXT,1:0000236,""
MAIN,62.55,62.50625,FJXT,1:0000248,""
MAIN,62.6,62.588196,FJXT,1:0000235,""
MAIN,62.6,62.588196,FJXT,1:0000247,""
MAIN,66.05,66.005554,FJXT,1:0000265,""
MAIN,66.1,66.0875,FJXT,1:0000264,""
MAIN,68.05,68.005554,FJXT,1:0000283,""
MAIN,68.1,68.0875,FJXT,1:0000282,""
MAIN,71.55,71.505554,FJXT,1:0000300,""
MAIN,71.55,71.505554,FJXT,1:0000312,""
MAIN,71.6,71.5875,FJXT,1:0000299,""
MAIN,71.6,71.5875,FJXT,1:0000311,""
MAIN,74.55,74.505554,FJXT,1:0000327,""
MAIN,74.55,74.505554,FJXT,1:0000340,""
MAIN,74.6,74.5875,FJXT,1:0000326,""
MAIN,74.6,74.5875,FJXT,1:0000339,""
MAIN,76.55,76.50625,FJXT,1:0000361,""
MAIN,76.55,76.50625,FJXT,1:0000371,""
MAIN,76.6,76.588196,FJXT,1:0000360,""
MAIN,76.6,76.588196,FJXT,1:0000370,""
MAIN,78.55,78.505554,FJXT,1:0000382,""
MAIN,78.6,78.5875,FJXT,1:0000381,""
MAIN,80.55,80.50625,FJXT,1:0000403,""
MAIN,80.55,80.50625,FJXT,1:0000414,""
MAIN,80.6,80.588196,FJXT,1:0000402,""
MAIN,80.6,80.588196,FJXT,1:0000413,""
