RLNActivityType,RLNActivityArrival,RLNActivityDeparture
UNKNOWN,false,false
ARRIVE_ORG,true,false
DEPART_ORG,false,true
ARRIVE_DAL,true,false
DEPART_DAL,false,true
ARRIVE_OI1,true,false
DEPART_OI1,false,true
ARRIVE_OIL,true,false
DEPART_OIL,false,true
ARRIVE_OI2,true,false
DEPART_OI2,false,true
ARRIVE_OI3,true,false
DEPART_OI3,false,true
ARRIVE_POE,true,false
DEPART_POE,false,true
ARRIVE_STL,true,false
DEPART_STL,false,true
ARRIVE_SIL,true,false
DEPART_SIL,false,true
ARRIVE_POD,true,false
DEPART_POD,false,true
ARRIVE_SA,true,false
DEPART_SA,false,true
ARRIVE_TIL,true,false
DEPART_TIL,false,true
ARRIVE_TSB,true,false
DEPART_TSB,false,true
ARRIVE_DEST,true,false
DEPART_DEST,false,true
ARRIVE_TWS,true,false
DEPART_TWS,false,true
ARRIVE_FO1,true,false
DEPART_FO1,false,true
ARRIVE_FO2,true,false
DEPART_FO2,false,true
ARRIVE_FO3,true,false
DEPART_FO3,false,true
ARRIVE_FO4,true,false
DEPART_FO4,false,true
