Model,FedTime,Visa,LoadedDraft,ToTime,ToPurpose,ToLocation,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,MissionID,VoyageNum,Hot
MAIN,8.9,false,9,8.878472,LOAD,NPTU,3.0151515,UNKNOWN,SERU,SEA,RO/RO,5432112,5432112-1,1,false
MAIN,14.5,false,16,14.491667,LOAD,QTUP,14,UNKNOWN,DKSD,SEA,RO/RO,7208297,7208297-1,1,false
MAIN,15.1,false,16,15.05,LOAD,DKSD,14,UNKNOWN,DKSD,SEA,RO/RO,7027576,7027576-1,1,false
MAIN,15.45,false,18,15.431945,LOAD,ZBES,13.001543,UNKNOWN,SBEQ,SEA,FSS,7315571,7315571-1,1,false
MAIN,16,false,16,15.983334,LOAD,NPTU,13.002315,UNKNOWN,SERU,SEA,T-ACS,6510899,6510899-1,1,false
MAIN,16.05,false,18,16,LOAD,QTUP,13,UNKNOWN,RQNK,SEA,FSS,7236153,7236153-1,1,false
MAIN,16.05,false,18,16,LOAD,QTUP,13,UNKNOWN,RQNK,SEA,FSS,7302897,7302897-1,1,false
MAIN,16.1,false,16,16.093056,LOAD,RULV,14.009259,UNKNOWN,SBEA,SEA,T-ACS,6817845,6817845-1,1,false
MAIN,16.45,false,14,16.405556,LOAD,JTVH,13.055555,UNKNOWN,LCMT,SEA,RO/RO,8211306,8211306-1,1,false
MAIN,16.65,false,16,16.63646,LOAD,RRRK,14.006945,UNKNOWN,RULV,SEA,T-ACS,6916433,6916433-1,1,false
MAIN,16.75,false,18,16.735416,LOAD,DKSD,13.00463,UNKNOWN,RQNK,SEA,RO/RO,0429011,0429011-1,1,false
MAIN,17.1,false,16,17.05,LOAD,DKSD,14,UNKNOWN,DKSD,SEA,RO/RO,7229423,7229423-1,1,false
MAIN,17.15,false,15,17.144793,LOAD,WPVT,13.007353,UNKNOWN,SERU,SEA,RO/RO,7909968,7909968-1,1,false
MAIN,18.05,false,19,18.041666,LOAD,NPTU,16.011364,UNKNOWN,NSAN,SEA,CONT-NSS,9002037,9002037-1,1,false
MAIN,18.4,false,15,18.39375,LOAD,RUAM,16.134058,UNKNOWN,"",SEA,CONT-NSS,1811111,1811111-1,1,false
MAIN,18.55,false,14,18.51146,LOAD,DKSD,13.017157,UNKNOWN,LCMT,SEA,RO/RO,7602259,7602259-1,1,false
