Model,FedTime,SqFt,MTons,NumContainers,NumItems,ArrivalTime,CargoID,Amount,CargoType,RLN,VirtualRlnId,CCC,MissionID,MissionNum,AssetID,FromPurpose,FromLocationType,ToPurpose,ToLocationType,DynamicPOD,Hot,OnloadGeoloc,LoadTime,OffloadGeoloc,LoadRule,Decontaminatable,CommodityType,Consolidated
MAIN,24.6,450.66666,0,0,2,24.585417,1:0HEDC.R1D0001,25.799999237060547,STONS,1:0HEDC,,R1D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,225.33333,0,0,1,24.585417,1:0HEDC.R1D0002,12.899999618530273,STONS,1:0HEDC,,R1D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,2048,0,0,8,24.585417,1:0HEDC.R1D0003,73.5999984741211,STONS,1:0HEDC,,R1D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,93.333336,0,0,1,24.585417,1:0HEDC.R2B0001,0.8999999761581421,STONS,1:0HEDC,,R2B,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,89.333336,0,0,1,24.585417,1:0HEDC.R2D0001,1.5,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,720,0,0,5,24.585417,1:0HEDC.R2D0005,14.0,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,380,0,0,1,24.585417,1:0HEDC.R2D0006,21.799999237060547,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,186.66667,0,0,1,24.585417,1:0HEDC.R2D0007,3.5999999046325684,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,148,0,0,1,24.585417,1:0HEDC.R2D0008,2.0999999046325684,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,66.666664,0,0,1,24.585417,1:0HEDC.R3D0001,1.399999976158142,STONS,1:0HEDC,,R3D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,5668,0,0,13,24.585417,1:0HEDC.R2D0003,126.0999984741211,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,4796,0,0,11,24.585417,1:0HEDC.R2D0003,106.69999694824219,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,2616,0,0,6,24.585417,1:0HEDC.R2D0003,58.19999694824219,STONS,1:0HEDC,,R2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,1,true,22,false
MAIN,24.6,373.33334,0,0,14,24.585417,1:0HEDC.J7C0001,14.0,STONS,1:0HEDC,,J7C,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,8,true,22,false
MAIN,24.6,53.333332,0,0,2,24.585417,1:0HEDC.J7C0001,2.0,STONS,1:0HEDC,,J7C,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,8,true,22,false
MAIN,24.6,26.666666,0,0,1,24.585417,1:0HEDC.J7C0002,1.0,STONS,1:0HEDC,,J7C,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,8,true,22,false
MAIN,24.6,134.66667,0,0,1,24.585417,1:0HEDC.J2D0001,2.299999952316284,STONS,1:0HEDC,,J2D,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,8,true,22,false
MAIN,24.6,26.666666,0,0,1,24.585417,1:0HEDC.J7C0001,1.0,STONS,1:0HEDC,,J7C,7302897-1,1,7302897,LOAD,POE,UNLOAD,POD,HNTS,false,QTUP,16.083334,HNTS,8,true,22,false
